phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi,split_factor,sub_bins_count,sub_bins_sizes,noise_bins_count,noise_ratio
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,2|00|2,558,558,20.61,72.49,77.91,558,51.61,82.37,90.9,85.06,89.11,class_code,12,"158,153,112,96,28,5,1,1,1,1,1,1",8,66.7
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,2|00|5,1017,1017,20.65,69.57,74.1,1017,52.51,83.32,89.6,80.28,86.29,class_code,11,"280,249,213,198,52,13,6,3,1,1,1",6,54.5
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,2|5|2,538,538,21.56,75.61,78.58,538,52.04,81.41,89.41,81.37,86.49,class_code,11,"154,147,101,97,29,5,1,1,1,1,1",7,63.6
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,2|中距離|00,686,686,19.24,67.08,73.79,686,50.44,82.81,89.23,83.65,88.11,keibajo_code,10,"107,102,84,80,73,71,55,41,37,36",3,30.0
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,2|中距離|5,651,651,19.82,67.54,73.78,651,51.0,83.7,88.35,82.95,87.92,keibajo_code,10,"104,87,80,75,70,68,54,42,36,35",3,30.0
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,2|H|00,552,552,17.93,62.34,69.95,552,48.73,81.05,87.69,85.08,88.56,class_code,11,"136,129,119,112,37,8,5,3,1,1,1",7,63.6
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei+joshodo_code,2|5|3,608,608,16.94,62.02,66.65,608,48.68,82.6,86.68,82.35,86.71,keibajo_code,10,"85,81,75,64,63,57,56,50,41,36",2,20.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,5|00|1,697,697,20.95,78.46,79.0,697,49.64,82.98,86.59,80.28,86.29,keibajo_code,10,"94,94,88,82,68,67,63,59,43,39",2,20.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+da_tekisei_code,5|00|2,486,486,22.84,66.87,77.31,486,51.65,77.76,84.71,82.05,88.19,keibajo_code,10,"97,79,59,49,45,44,43,38,18,14",7,70.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,5|00|2,558,558,19.35,65.0,78.12,558,46.42,81.09,84.19,85.06,89.11,keibajo_code,10,"92,85,74,63,55,51,41,41,35,21",4,40.0
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,4|00|0.0,599,599,10.68,63.29,82.27,599,32.72,84.46,82.11,80.65,84.14,class_code,18,"194,118,71,69,43,32,22,21,6,5,4,3,3,2,2,2,1,1",14,77.8
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,5|H|00,498,498,16.87,74.16,68.85,498,44.98,78.05,81.78,85.08,88.56,keibajo_code,10,"82,73,67,58,52,48,39,30,29,20",5,50.0
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,2|00|0.0,597,597,12.9,91.26,91.41,597,32.16,81.36,81.11,80.65,84.14,class_code,18,"169,122,71,63,63,34,25,14,9,6,6,4,3,2,2,2,1,1",13,72.2
3,COURSE_27_北海道U字_芝,uma_deokure_ritsu+uma_start_shisu+ls_shisu_juni,0.0|0.0|4.0,645,645,6.98,83.26,97.71,645,24.19,101.61,80.61,82.62,89.8,class_code,19,"316,135,58,36,23,21,14,10,9,5,4,3,2,2,2,2,1,1,1",16,84.2
3,KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+umakigo_code+kyusha_hyoka_code,3|00|3,572,572,6.47,80.19,76.18,572,22.73,86.43,79.37,80.63,83.2,class_code,9,"473,49,39,3,2,2,2,1,1",8,88.9
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,3|00|0.0,594,594,9.6,72.88,71.3,594,31.65,87.47,78.94,80.65,84.14,class_code,16,"183,111,76,64,50,30,29,11,11,9,7,4,4,2,2,1",11,68.8
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,7|00|0.0,555,555,8.65,86.04,78.11,555,29.01,86.83,76.35,80.65,84.14,class_code,18,"180,109,79,70,32,18,17,14,8,8,5,4,3,3,2,1,1,1",14,77.8
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,5|00|0.0,585,585,10.43,60.1,81.96,585,30.6,84.0,76.27,80.65,84.14,class_code,18,"201,117,70,70,29,23,19,16,10,7,6,6,3,3,2,1,1,1",14,77.8
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,1|00|0.0,607,607,11.37,64.18,87.4,607,28.5,65.42,74.8,80.65,84.14,class_code,16,"187,132,82,62,43,29,29,11,10,7,5,4,3,1,1,1",12,75.0
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,6|00|0.0,574,574,8.36,71.71,72.63,574,24.91,74.11,65.25,80.65,84.14,class_code,17,"199,121,80,61,35,21,20,11,9,4,3,2,2,2,2,1,1",13,76.5
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,8|00|0.0,529,529,6.62,36.64,63.62,529,23.82,69.87,64.39,80.65,84.14,class_code,18,"172,104,80,44,27,23,19,16,15,8,5,4,3,3,2,2,1,1",15,83.3
