phase,segment,combo,bin_key,n_horses,sample_size_bucket,tansho_roi_corr,fukusho_roi_corr,Y,rank
1,COURSE_27_東京U字_芝,kyori_tekisei_2,1,8,1-9,265.69,95.39,146.48,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,3,325,100+,76.23,77.13,76.85999999999999,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,5,894,100+,74.19,71.38,72.22299999999998,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,2,2666,100+,81.82,78.34,79.384,
1,GLOBAL_条件戦,kyori_tekisei_2,1,127,100+,77.82,86.9,84.17599999999999,
1,GLOBAL_条件戦,kyori_tekisei_2,3,277,100+,79.07,89.74,86.53899999999999,
1,GLOBAL_条件戦,kyori_tekisei_2,5,1047,100+,78.5,83.78,82.196,
1,GLOBAL_条件戦,kyori_tekisei_2,2,1132,100+,71.43,90.02,84.443,
1,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2,1,8,1-9,265.69,95.39,146.48,
1,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2,5,897,100+,75.13,71.51,72.596,
1,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2,3,1104,100+,73.33,74.79,74.352,
1,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2,2,2770,100+,82.78,78.13,79.52499999999999,
1,KEIBAJO_SURFACE_05_芝_新馬,kyori_tekisei_2,1,2,1-9,301.44,157.16,200.444,
1,KEIBAJO_SURFACE_05_芝_新馬,kyori_tekisei_2,3,162,100+,68.32,76.74,74.214,
1,KEIBAJO_SURFACE_05_芝_新馬,kyori_tekisei_2,5,179,100+,68.06,81.47,77.447,
1,KEIBAJO_SURFACE_05_芝_新馬,kyori_tekisei_2,2,512,100+,81.66,80.23,80.65899999999999,
1,KEIBAJO_SURFACE_05_芝_条件戦,uma_deokure_bin,5-9%,8,1-9,165.95,78.66,104.847,
1,KEIBAJO_SURFACE_05_芝_条件戦,uma_deokure_bin,15-19%,80,10-99,70.21,47.89,54.586,
1,KEIBAJO_SURFACE_05_芝_条件戦,uma_deokure_bin,10-14%,113,100+,75.32,78.52,77.55999999999999,
1,KEIBAJO_SURFACE_05_芝_条件戦,uma_deokure_bin,20%+,2999,100+,80.43,74.76,76.461,
1,KEIBAJO_SURFACE_05_芝_条件戦,uma_deokure_bin,0-4%,3053,100+,78.96,77.1,77.65799999999999,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,18.0,16,10-99,114.94,29.3,54.992,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,17.0,26,10-99,91.49,41.38,56.413,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,16.0,44,10-99,91.24,57.11,67.34899999999999,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,15.0,52,10-99,106.68,68.19,79.737,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,14.0,53,10-99,42.54,66.89,59.585,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,13.0,62,10-99,76.77,54.86,61.43299999999999,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,11.0,73,10-99,64.17,90.9,82.881,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,12.0,78,10-99,111.05,72.62,84.149,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,9.0,78,10-99,66.73,67.95,67.584,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,10.0,83,10-99,103.01,70.42,80.197,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,7.0,87,10-99,71.93,62.81,65.54599999999999,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,6.0,90,10-99,43.74,55.08,51.678,
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,8.0,90,10-99,66.69,62.04,63.434999999999995,
