segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+rotation+class_code,joken_class_code,omo_tekisei_code,rotation,class_code,4,532,76.15,7.53,68.77,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+da_tekisei_code+class_code,joken_class_code,omo_tekisei_code,da_tekisei_code,class_code,8,1984,76.08,11.02,68.44,False
COURSE_27_02_ダ_中距離,hizume_code+omo_tekisei_code+da_tekisei_code+kyori_tekisei,hizume_code,omo_tekisei_code,da_tekisei_code,kyori_tekisei,3,395,75.29,6.05,68.44,False
COURSE_27_02_ダ_中距離,joken_class_code+rotation+ls_shisu_juni+class_code,joken_class_code,rotation,ls_shisu_juni,class_code,3,463,78.49,9.18,68.1,False
COURSE_27_02_ダ_中距離,omo_tekisei_code+da_tekisei_code+kyakushitsu+kyori_tekisei,omo_tekisei_code,da_tekisei_code,kyakushitsu,kyori_tekisei,6,830,75.77,9.99,67.78,False
COURSE_27_02_ダ_中距離,joken_class_code+kyakushitsu+ls_shisu_juni+class_code,joken_class_code,kyakushitsu,ls_shisu_juni,class_code,6,1163,70.08,3.34,67.41,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+kyakushitsu+class_code,joken_class_code,da_tekisei_code,kyakushitsu,class_code,10,1854,73.24,10.37,66.81,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+class_code+kyori_tekisei,joken_class_code,da_tekisei_code,class_code,kyori_tekisei,8,2021,74.64,11.95,66.36,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+da_tekisei_code+kyori_tekisei,joken_class_code,omo_tekisei_code,da_tekisei_code,kyori_tekisei,12,1923,73.47,12.75,66.26,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+kyakushitsu+class_code,joken_class_code,omo_tekisei_code,kyakushitsu,class_code,8,1279,72.25,9.63,65.58,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+ls_shisu_juni+class_code,joken_class_code,da_tekisei_code,ls_shisu_juni,class_code,5,1454,77.22,13.35,65.52,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+uma_start_shisu+class_code,joken_class_code,da_tekisei_code,uma_start_shisu,class_code,3,541,69.01,3.12,65.49,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+uma_start_shisu+class_code,joken_class_code,omo_tekisei_code,uma_start_shisu,class_code,3,382,79.16,12.17,65.39,False
COURSE_27_02_ダ_中距離,joken_class_code+uma_start_shisu+kyakushitsu+class_code,joken_class_code,uma_start_shisu,kyakushitsu,class_code,3,350,70.83,5.65,64.44,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+kyakushitsu+kyori_tekisei,joken_class_code,omo_tekisei_code,kyakushitsu,kyori_tekisei,4,470,75.81,11.93,64.13,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+rotation+class_code,joken_class_code,da_tekisei_code,rotation,class_code,4,698,69.8,6.16,63.75,False
COURSE_27_02_ダ_中距離,joken_class_code+hizume_code+da_tekisei_code+class_code,joken_class_code,hizume_code,da_tekisei_code,class_code,6,974,69.97,7.96,63.6,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+class_code+kyori_tekisei,joken_class_code,omo_tekisei_code,class_code,kyori_tekisei,9,1676,71.35,12.06,63.47,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+kyakushitsu+ls_shisu_juni,joken_class_code,omo_tekisei_code,kyakushitsu,ls_shisu_juni,6,834,67.92,6.18,62.98,False
COURSE_27_02_ダ_中距離,joken_class_code+uma_deokure_ritsu+da_tekisei_code+class_code,joken_class_code,uma_deokure_ritsu,da_tekisei_code,class_code,3,596,73.99,9.91,62.77,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+da_tekisei_code+rotation,joken_class_code,omo_tekisei_code,da_tekisei_code,rotation,4,492,71.13,8.97,62.34,False
COURSE_27_02_ダ_中距離,kyakushitsu+ls_shisu_juni+class_code+kyori_tekisei,kyakushitsu,ls_shisu_juni,class_code,kyori_tekisei,3,340,67.41,4.48,62.34,False
