factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,4404,73.57,0.36,73.17,False
manken_shisu,万券指数,numeric,22,2691,77.34,11.13,72.69,False
joken_class_code,条件クラス,code,5,4404,72.93,1.2,71.88,False
kyori_tekisei,距離適性,code,4,4372,74.95,4.23,70.81,False
umakigo_code,馬記号,code,3,4384,75.16,4.02,70.62,False
omo_tekisei_code,重適性,code,3,3638,72.2,3.99,67.68,False
gekiso_juni,激走順位,numeric,15,4319,72.27,10.81,66.8,False
manken_shirushi,万券印,code,8,2741,73.71,10.09,66.72,False
hizume_code,蹄コード,code,9,3497,72.76,9.26,66.71,False
shiba_tekisei_code,芝適性,code,3,3573,71.44,4.83,65.98,False
kishu_shisu,騎手指数,numeric,18,3886,72.98,15.53,65.8,False
nyukyu_nannichimae,入厩何日前,numeric,5,563,77.45,13.66,65.47,False
uma_start_shisu,馬スタート指数,numeric,13,3267,71.02,11.31,64.88,False
tenkai_kigo_code,展開記号,code,5,4404,73.02,9.32,64.85,False
class_code,クラスコード,code,7,3278,70.47,8.35,64.29,False
agari_shisu_juni,上がり指数順位,numeric,15,4318,70.4,12.7,63.97,False
ls_shisu_juni,LS指数順位,numeric,6,4100,73.17,11.66,63.84,False
rotation,ローテーション,numeric,10,3111,70.55,11.36,63.51,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,14,4311,69.8,13.62,62.67,False
pace_shisu_juni,ペース指数順位,numeric,15,4315,68.76,12.68,62.34,False
ichi_shisu_juni,位置指数順位,numeric,15,4325,69.45,14.07,62.33,False
ten_shisu_juni,テン指数順位,numeric,15,4327,68.36,12.15,62.22,False
uma_deokure_ritsu,馬出遅率,numeric,9,2392,71.58,16.17,61.01,False
kyakushitsu,脚質,code,5,4404,70.61,11.26,60.75,False
kishu_minarai_code,騎手見習,code,3,719,70.52,9.95,59.27,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,6,1092,56.83,17.3,42.99,False
chokyo_shisu,調教指数,numeric,3,377,57.56,15.28,40.28,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,4,496,49.15,11.01,38.36,False
pace_shisu,ペース指数,numeric,3,582,62.51,30.54,27.95,False
agari_shisu,上がり指数,numeric,3,538,61.51,31.06,26.36,False
