factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
manken_shirushi,万券印,code,8,4286,74.14,2.68,72.28,False
idm,IDM指数,numeric,21,3128,77.37,12.09,72.19,False
joken_class_code,条件クラス,code,5,6836,72.38,1.26,71.28,False
da_tekisei_code,ダ適性,code,3,5933,74.24,2.84,71.02,False
manken_shisu,万券指数,numeric,30,5271,73.43,8.55,70.37,False
ls_shisu_juni,LS指数順位,numeric,7,6761,73.51,5.68,69.3,False
umakigo_code,馬記号,code,3,6814,75.83,5.98,69.06,False
uma_start_shisu,馬スタート指数,numeric,15,5857,72.17,6.43,68.92,False
nyukyu_nannichimae,入厩何日前,numeric,15,2755,73.78,9.69,68.88,False
hizume_code,蹄コード,code,9,6032,72.78,6.33,68.64,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,15,6836,79.97,22.67,68.5,False
omo_tekisei_code,重適性,code,3,6453,73.03,4.25,68.22,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,16,3334,76.63,17.19,68.2,False
kishu_minarai_code,騎手見習,code,5,2481,73.31,6.0,68.06,False
uma_deokure_ritsu,馬出遅率,numeric,16,4933,72.69,9.76,67.91,False
kyori_tekisei,距離適性,code,4,6684,75.7,8.1,67.76,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,13,3504,75.95,15.44,67.56,False
kyakushitsu,脚質,code,5,6836,71.54,4.82,67.31,False
agari_shisu_juni,上がり指数順位,numeric,15,6836,71.8,9.15,67.17,False
ichi_shisu_juni,位置指数順位,numeric,15,6836,71.08,8.82,66.61,False
pace_shisu_juni,ペース指数順位,numeric,15,6836,70.42,7.58,66.58,False
class_code,クラスコード,code,9,6273,71.49,8.0,66.27,False
kishu_shisu,騎手指数,numeric,21,6355,72.4,14.73,66.1,False
chokyo_shisu,調教指数,numeric,9,1767,73.12,10.86,66.03,False
gekiso_juni,激走順位,numeric,15,6836,70.69,9.57,65.84,False
kyusha_shisu,厩舎指数,numeric,5,1161,69.99,4.81,65.78,False
joho_shisu,情報指数,numeric,20,4922,69.97,10.17,65.51,False
ten_shisu_juni,テン指数順位,numeric,15,6836,69.83,9.68,64.93,False
tenkai_kigo_code,展開記号,code,5,6836,72.35,8.49,64.91,False
rotation,ローテーション,numeric,16,5846,70.75,11.92,64.9,False
joshodo_code,上昇度,code,3,6807,75.29,9.53,64.51,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,20,3182,74.73,26.75,63.01,False
kyuyo_riyu_bunrui_code,休養理由,code,3,1827,62.18,6.05,55.34,False
kyusha_hyoka_code,厩舎評価,code,4,6836,69.05,16.55,52.83,False
