factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,5826,73.96,0.47,73.43,False
shiba_tekisei_code,芝適性,code,3,5118,76.14,3.04,72.7,False
kyori_tekisei,距離適性,code,3,5541,73.23,1.17,71.91,False
uma_deokure_ritsu,馬出遅率,numeric,11,3551,79.45,12.88,71.84,False
hizume_code,蹄コード,code,10,4891,74.93,5.51,71.51,False
joken_class_code,条件クラス,code,5,5826,73.33,2.25,71.36,False
manken_shirushi,万券印,code,8,3728,75.24,6.1,71.01,False
manken_shisu,万券指数,numeric,29,4274,74.9,11.02,70.89,False
rotation,ローテーション,numeric,13,4515,73.7,6.1,70.39,False
idm,IDM指数,numeric,16,1750,75.83,11.68,70.1,False
ls_shisu_juni,LS指数順位,numeric,7,5748,74.1,6.64,69.18,False
joshodo_code,上昇度,code,3,5763,75.23,5.42,69.1,False
uma_start_shisu,馬スタート指数,numeric,13,4781,72.63,7.43,68.59,False
tenkai_kigo_code,展開記号,code,5,5826,73.76,5.92,68.57,False
kyakushitsu,脚質,code,5,5826,73.14,5.77,68.08,False
ten_shisu_juni,テン指数順位,numeric,16,5716,72.88,10.26,67.85,False
ichi_shisu_juni,位置指数順位,numeric,16,5753,71.06,7.68,67.29,False
agari_shisu_juni,上がり指数順位,numeric,15,5672,71.8,9.17,67.16,False
pace_shisu_juni,ペース指数順位,numeric,15,5671,71.5,9.19,66.85,False
kyusha_hyoka_code,厩舎評価,code,4,5826,76.05,9.41,66.82,False
kishu_shisu,騎手指数,numeric,20,5238,72.14,12.3,66.75,False
nyukyu_nannichimae,入厩何日前,numeric,11,2133,71.84,9.03,66.5,False
class_code,クラスコード,code,10,5020,72.02,9.76,65.96,False
gekiso_juni,激走順位,numeric,16,5753,71.33,12.87,65.02,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,14,5680,71.38,17.11,62.41,False
joho_shisu,情報指数,numeric,11,3204,70.6,14.74,61.89,False
kishu_minarai_code,騎手見習,code,3,944,70.34,8.38,60.87,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,13,1848,71.7,23.15,59.11,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,10,2059,70.49,18.46,59.05,False
omo_tekisei_code,重適性,code,3,5192,68.8,11.52,55.77,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,8,959,66.33,16.59,54.83,False
chokyo_shisu,調教指数,numeric,4,739,64.81,15.03,50.07,False
kyusha_shisu,厩舎指数,numeric,5,875,58.78,16.4,44.4,False
ten_shisu,テン指数,numeric,3,438,56.34,15.07,39.29,False
pace_shisu,ペース指数,numeric,3,514,56.63,19.44,34.64,False
agari_shisu,上がり指数,numeric,3,489,58.4,22.25,33.22,False
