factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,2040,74.59,0.97,73.49,False
class_code,クラスコード,code,3,1394,75.11,1.61,73.29,False
uma_start_shisu,馬スタート指数,numeric,5,1352,81.71,10.53,72.48,False
joken_class_code,条件クラス,code,5,2040,73.55,1.86,71.92,False
manken_shirushi,万券印,code,8,1306,78.37,9.78,71.59,False
tenkai_kigo_code,展開記号,code,5,2040,77.36,8.32,70.07,False
kyori_tekisei,距離適性,code,3,1914,72.74,2.97,69.37,False
agari_shisu_juni,上がり指数順位,numeric,10,1672,75.22,10.5,68.71,False
ichi_shisu_juni,位置指数順位,numeric,10,1654,74.24,9.13,68.59,False
ls_shisu_juni,LS指数順位,numeric,5,1904,74.92,7.55,68.3,False
kyakushitsu,脚質,code,4,2014,72.99,5.13,67.97,False
ten_shisu_juni,テン指数順位,numeric,10,1610,74.05,9.93,67.9,False
gekiso_juni,激走順位,numeric,10,1674,73.88,10.02,67.67,False
shiba_tekisei_code,芝適性,code,3,1966,71.74,3.72,67.53,False
omo_tekisei_code,重適性,code,3,2001,72.8,5.22,66.89,False
hizume_code,蹄コード,code,7,1795,72.59,8.08,66.6,False
pace_shisu_juni,ペース指数順位,numeric,10,1652,71.46,8.12,66.43,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,10,1793,70.05,11.43,62.96,False
rotation,ローテーション,numeric,4,1082,68.87,8.3,60.74,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,3,352,61.59,2.8,58.43,False
kishu_shisu,騎手指数,numeric,6,952,61.57,6.19,56.61,False
