segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_08_芝_中距離,agari_shisu_juni+kijun_ninkijun_tansho,agari_shisu_juni,kijun_ninkijun_tansho,5,723,86.77,5.65,81.82,True
COURSE_27_08_芝_中距離,hizume_code+ten_shisu_juni,hizume_code,ten_shisu_juni,11,1279,85.21,12.39,77.89,False
COURSE_27_08_芝_中距離,manken_shirushi+hizume_code,manken_shirushi,hizume_code,8,1003,83.84,9.34,77.37,False
COURSE_27_08_芝_中距離,hizume_code+gekiso_juni,hizume_code,gekiso_juni,13,1612,81.41,8.58,76.75,False
COURSE_27_08_芝_中距離,ten_shisu_juni+kijun_ninkijun_tansho,ten_shisu_juni,kijun_ninkijun_tansho,3,350,84.94,7.31,76.67,False
COURSE_27_08_芝_中距離,manken_shirushi+rotation,manken_shirushi,rotation,3,331,89.56,11.47,76.58,False
COURSE_27_08_芝_中距離,manken_shirushi+uma_start_shisu,manken_shirushi,uma_start_shisu,8,1376,79.77,4.94,76.35,False
COURSE_27_08_芝_中距離,pace_shisu_juni+kijun_ninkijun_tansho,pace_shisu_juni,kijun_ninkijun_tansho,3,404,84.32,8.42,74.79,False
COURSE_27_08_芝_中距離,uma_start_shisu+pace_shisu_juni,uma_start_shisu,pace_shisu_juni,10,1773,77.91,5.63,74.42,False
COURSE_27_08_芝_中距離,manken_shirushi+tenkai_kigo_code,manken_shirushi,tenkai_kigo_code,16,2752,79.85,11.46,74.24,False
COURSE_27_08_芝_中距離,pace_yoso+joshodo_code,pace_yoso,joshodo_code,5,5648,75.88,1.93,74.19,False
COURSE_27_08_芝_中距離,pace_shisu_juni+gekiso_juni,pace_shisu_juni,gekiso_juni,3,338,88.72,13.25,73.73,False
COURSE_27_08_芝_中距離,manken_shirushi+joshodo_code,manken_shirushi,joshodo_code,8,3191,77.97,6.25,73.64,False
COURSE_27_08_芝_中距離,manken_shirushi+pace_yoso,manken_shirushi,pace_yoso,17,3482,77.98,9.27,73.57,False
COURSE_27_08_芝_中距離,hizume_code+pace_shisu_juni,hizume_code,pace_shisu_juni,11,1326,78.75,8.81,73.54,False
COURSE_27_08_芝_中距離,manken_shirushi+kyakushitsu,manken_shirushi,kyakushitsu,17,2450,79.78,13.27,73.47,False
COURSE_27_08_芝_中距離,manken_shirushi+joken_class_code,manken_shirushi,joken_class_code,13,2679,78.66,9.66,73.41,False
COURSE_27_08_芝_中距離,kijun_ninkijun_tansho+gekiso_juni,kijun_ninkijun_tansho,gekiso_juni,6,832,81.82,11.0,73.01,False
COURSE_27_08_芝_中距離,joken_class_code+joshodo_code,joken_class_code,joshodo_code,6,5618,74.85,2.36,72.96,False
COURSE_27_08_芝_中距離,class_code+tenkai_kigo_code,class_code,tenkai_kigo_code,12,3214,77.03,7.22,72.94,False
COURSE_27_08_芝_中距離,pace_yoso+joken_class_code,pace_yoso,joken_class_code,11,5882,74.0,2.19,72.71,False
COURSE_27_08_芝_中距離,manken_shirushi+ichi_shisu_juni,manken_shirushi,ichi_shisu_juni,7,945,79.53,9.29,72.65,False
COURSE_27_08_芝_中距離,nyukyu_nannichimae+joshodo_code,nyukyu_nannichimae,joshodo_code,7,990,82.88,14.34,72.26,False
COURSE_27_08_芝_中距離,class_code+shiba_tekisei_code,class_code,shiba_tekisei_code,10,3847,76.81,7.34,72.26,False
COURSE_27_08_芝_中距離,kyori_tekisei+manken_shisu,kyori_tekisei,manken_shisu,10,1125,76.83,8.22,71.74,False
COURSE_27_08_芝_中距離,manken_shirushi+uma_deokure_ritsu,manken_shirushi,uma_deokure_ritsu,7,1247,77.22,7.54,71.63,False
COURSE_27_08_芝_中距離,pace_yoso+omo_tekisei_code,pace_yoso,omo_tekisei_code,9,4916,76.75,8.12,71.45,False
COURSE_27_08_芝_中距離,pace_yoso+pace_shisu_juni,pace_yoso,pace_shisu_juni,22,4642,74.68,7.75,71.44,False
COURSE_27_08_芝_中距離,pace_yoso+uma_deokure_ritsu,pace_yoso,uma_deokure_ritsu,6,2446,75.41,4.96,71.44,False
COURSE_27_08_芝_中距離,joken_class_code+kyori_tekisei,joken_class_code,kyori_tekisei,11,5779,73.78,3.99,71.42,False
COURSE_27_08_芝_中距離,kyori_tekisei+ichi_shisu,kyori_tekisei,ichi_shisu,3,1345,77.65,5.54,71.38,False
COURSE_27_08_芝_中距離,manken_shirushi+kyori_tekisei,manken_shirushi,kyori_tekisei,19,3511,76.15,10.62,71.37,False
COURSE_27_08_芝_中距離,hizume_code+kijun_ninkijun_tansho,hizume_code,kijun_ninkijun_tansho,14,1760,76.45,9.76,71.34,False
COURSE_27_08_芝_中距離,joken_class_code+ten_shisu_juni,joken_class_code,ten_shisu_juni,18,3550,75.08,8.31,71.24,False
COURSE_27_08_芝_中距離,class_code+joshodo_code,class_code,joshodo_code,8,4130,75.05,5.61,71.16,False
COURSE_27_08_芝_中距離,pace_yoso+class_code,pace_yoso,class_code,13,3925,73.92,5.14,71.12,False
COURSE_27_08_芝_中距離,kyakushitsu+tenkai_kigo_code,kyakushitsu,tenkai_kigo_code,13,5696,76.92,10.84,71.03,False
COURSE_27_08_芝_中距離,rotation+ten_shisu_juni,rotation,ten_shisu_juni,5,561,81.49,12.24,70.76,False
COURSE_27_08_芝_中距離,joken_class_code+class_code,joken_class_code,class_code,8,4066,75.04,6.17,70.76,False
COURSE_27_08_芝_中距離,uma_deokure_ritsu+joshodo_code,uma_deokure_ritsu,joshodo_code,6,3002,76.92,7.7,70.76,False
COURSE_27_08_芝_中距離,hizume_code+tenkai_kigo_code,hizume_code,tenkai_kigo_code,13,3398,75.14,8.17,70.7,False
COURSE_27_08_芝_中距離,rotation+agari_shisu_juni,rotation,agari_shisu_juni,5,555,78.2,8.63,70.64,False
COURSE_27_08_芝_中距離,hizume_code+ichi_shisu_juni,hizume_code,ichi_shisu_juni,12,1439,77.99,13.02,70.62,False
COURSE_27_08_芝_中距離,hizume_code+agari_shisu_juni,hizume_code,agari_shisu_juni,11,1319,79.16,14.59,70.54,False
COURSE_27_08_芝_中距離,joken_class_code+agari_shisu_juni,joken_class_code,agari_shisu_juni,18,3575,75.06,9.96,70.46,False
COURSE_27_08_芝_中距離,manken_shisu+joshodo_code,manken_shisu,joshodo_code,22,3060,74.74,10.28,70.45,False
COURSE_27_08_芝_中距離,uma_deokure_ritsu+hizume_code,uma_deokure_ritsu,hizume_code,9,2002,75.83,8.26,70.43,False
COURSE_27_08_芝_中距離,pace_shisu_juni+kyakushitsu,pace_shisu_juni,kyakushitsu,30,4160,74.03,10.14,70.4,False
COURSE_27_08_芝_中距離,joken_class_code+kyakushitsu,joken_class_code,kyakushitsu,18,5772,74.15,8.34,70.29,False
COURSE_27_08_芝_中距離,joken_class_code+omo_tekisei_code,joken_class_code,omo_tekisei_code,13,4829,74.71,8.29,70.21,False
COURSE_27_08_芝_中距離,rotation+joshodo_code,rotation,joshodo_code,12,3946,77.16,12.33,70.18,False
COURSE_27_08_芝_中距離,manken_shirushi+omo_tekisei_code,manken_shirushi,omo_tekisei_code,15,2934,75.6,10.79,70.14,False
COURSE_27_08_芝_中距離,shiba_tekisei_code+joshodo_code,shiba_tekisei_code,joshodo_code,4,4631,74.84,4.82,70.13,False
COURSE_27_08_芝_中距離,hizume_code+uma_start_shisu,hizume_code,uma_start_shisu,8,1968,74.56,6.51,70.05,False
COURSE_27_08_芝_中距離,class_code+omo_tekisei_code,class_code,omo_tekisei_code,14,3883,74.76,9.22,69.93,False
COURSE_27_08_芝_中距離,pace_yoso+kyakushitsu,pace_yoso,kyakushitsu,12,5751,74.48,8.09,69.9,False
COURSE_27_08_芝_中距離,uma_deokure_ritsu+ichi_shisu_juni,uma_deokure_ritsu,ichi_shisu_juni,8,1636,76.54,9.73,69.8,False
COURSE_27_08_芝_中距離,shiba_tekisei_code+kyakushitsu,shiba_tekisei_code,kyakushitsu,10,4560,74.67,7.89,69.77,False
COURSE_27_08_芝_中距離,class_code+kyori_tekisei,class_code,kyori_tekisei,12,3846,74.21,7.86,69.76,False
COURSE_27_08_芝_中距離,joken_class_code+uma_start_shisu,joken_class_code,uma_start_shisu,8,2519,80.15,14.99,69.76,False
COURSE_27_08_芝_中距離,kyori_tekisei+ten_shisu_juni,kyori_tekisei,ten_shisu_juni,26,4797,73.78,10.45,69.76,False
COURSE_27_08_芝_中距離,hizume_code+joshodo_code,hizume_code,joshodo_code,8,4270,73.08,4.79,69.76,False
COURSE_27_08_芝_中距離,kyori_tekisei+ichi_shisu_juni,kyori_tekisei,ichi_shisu_juni,20,4793,73.8,9.29,69.73,False
COURSE_27_08_芝_中距離,kyakushitsu+agari_shisu_juni,kyakushitsu,agari_shisu_juni,27,3831,75.0,14.02,69.71,False
COURSE_27_08_芝_中距離,rotation+tenkai_kigo_code,rotation,tenkai_kigo_code,14,2949,74.42,9.15,69.63,False
COURSE_27_08_芝_中距離,kyakushitsu+ls_shisu_juni,kyakushitsu,ls_shisu_juni,29,5315,74.23,12.68,69.62,False
COURSE_27_08_芝_中距離,pace_yoso+ichi_shisu_juni,pace_yoso,ichi_shisu_juni,21,4641,73.74,9.92,69.5,False
COURSE_27_08_芝_中距離,pace_yoso+shiba_tekisei_code,pace_yoso,shiba_tekisei_code,8,4700,74.68,7.47,69.5,False
COURSE_27_08_芝_中距離,joken_class_code+hizume_code,joken_class_code,hizume_code,14,3163,75.11,10.76,69.48,False
COURSE_27_08_芝_中距離,manken_shirushi+class_code,manken_shirushi,class_code,7,955,75.88,8.79,69.36,False
COURSE_27_08_芝_中距離,rotation+pace_shisu_juni,rotation,pace_shisu_juni,6,689,75.74,7.99,69.35,False
