segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_09_ダ_中距離,manken_shirushi+ten_shisu_juni,manken_shirushi,ten_shisu_juni,20,2223,82.54,9.54,78.36,False
COURSE_27_09_ダ_中距離,manken_shirushi+ichi_shisu_juni,manken_shirushi,ichi_shisu_juni,25,3150,80.38,9.16,76.79,False
COURSE_27_09_ダ_中距離,manken_shirushi+agari_shisu_juni,manken_shirushi,agari_shisu_juni,22,3298,80.49,10.59,76.06,False
COURSE_27_09_ダ_中距離,pace_yoso+manken_shirushi,pace_yoso,manken_shirushi,22,8525,77.79,7.44,74.68,False
COURSE_27_09_ダ_中距離,ichi_shisu_juni+agari_shisu_juni,ichi_shisu_juni,agari_shisu_juni,19,2498,78.46,8.6,74.59,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+umakigo_code,nyukyu_nannichimae,umakigo_code,17,3948,78.04,7.41,74.52,False
COURSE_27_09_ダ_中距離,manken_shirushi+pace_shisu_juni,manken_shirushi,pace_shisu_juni,26,2910,79.1,12.13,74.44,False
COURSE_27_09_ダ_中距離,manken_shirushi+joken_class_code,manken_shirushi,joken_class_code,24,7758,76.68,5.92,74.31,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+pace_yoso,nyukyu_nannichimae,pace_yoso,16,2538,80.43,12.55,74.29,False
COURSE_27_09_ダ_中距離,pace_yoso+kyuyo_riyu_bunrui_code,pace_yoso,kyuyo_riyu_bunrui_code,4,2114,77.05,3.03,74.09,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+kyori_tekisei,nyukyu_nannichimae,kyori_tekisei,14,2606,78.47,8.55,73.99,False
COURSE_27_09_ダ_中距離,gekiso_juni+agari_shisu_juni,gekiso_juni,agari_shisu_juni,30,3786,78.06,11.53,73.93,False
COURSE_27_09_ダ_中距離,manken_shirushi+ls_shisu_juni,manken_shirushi,ls_shisu_juni,30,6151,77.98,11.73,73.78,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+kyusha_hyoka_code,nyukyu_nannichimae,kyusha_hyoka_code,17,3899,77.5,8.05,73.68,False
COURSE_27_09_ダ_中距離,pace_yoso+rotation,pace_yoso,rotation,24,10069,77.03,8.57,73.61,False
COURSE_27_09_ダ_中距離,manken_shirushi+gekiso_juni,manken_shirushi,gekiso_juni,34,5378,77.24,10.83,73.6,False
COURSE_27_09_ダ_中距離,da_tekisei_code+idm,da_tekisei_code,idm,33,5144,77.56,11.67,73.58,False
COURSE_27_09_ダ_中距離,manken_shirushi+kyakushitsu,manken_shirushi,kyakushitsu,30,7961,76.31,7.73,73.54,False
COURSE_27_09_ダ_中距離,ten_shisu_juni+gekiso_juni,ten_shisu_juni,gekiso_juni,27,3414,77.15,10.24,73.28,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+kyakushitsu,nyukyu_nannichimae,kyakushitsu,8,961,80.4,10.29,73.27,False
COURSE_27_09_ダ_中距離,omo_tekisei_code+manken_shirushi,omo_tekisei_code,manken_shirushi,24,8064,75.81,6.57,73.18,False
COURSE_27_09_ダ_中距離,uma_deokure_ritsu+rotation,uma_deokure_ritsu,rotation,19,4704,77.46,9.53,73.17,False
COURSE_27_09_ダ_中距離,pace_shisu_juni+agari_shisu_juni,pace_shisu_juni,agari_shisu_juni,32,3578,76.78,10.62,73.1,False
COURSE_27_09_ダ_中距離,omo_tekisei_code+kyori_tekisei_2,omo_tekisei_code,kyori_tekisei_2,3,900,77.77,4.2,73.02,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+da_tekisei_code,nyukyu_nannichimae,da_tekisei_code,10,1716,79.89,11.12,73.0,False
COURSE_27_09_ダ_中距離,omo_tekisei_code+rotation,omo_tekisei_code,rotation,26,9608,76.63,9.47,72.99,False
COURSE_27_09_ダ_中距離,manken_shirushi+hizume_code,manken_shirushi,hizume_code,23,5327,75.7,6.8,72.92,False
COURSE_27_09_ダ_中距離,manken_shirushi+joshodo_code,manken_shirushi,joshodo_code,8,7888,75.94,4.48,72.83,False
COURSE_27_09_ダ_中距離,pace_yoso+joken_class_code,pace_yoso,joken_class_code,9,13096,73.56,1.21,72.77,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+joken_class_code,nyukyu_nannichimae,joken_class_code,11,1393,80.64,13.48,72.68,False
COURSE_27_09_ダ_中距離,rotation+da_tekisei_code,rotation,da_tekisei_code,18,8359,76.25,7.76,72.67,False
COURSE_27_09_ダ_中距離,manken_shirushi+tenkai_kigo_code,manken_shirushi,tenkai_kigo_code,26,7593,76.66,10.6,72.59,False
COURSE_27_09_ダ_中距離,nyukyu_nannichimae+joshodo_code,nyukyu_nannichimae,joshodo_code,17,3730,76.75,8.76,72.59,False
COURSE_27_09_ダ_中距離,rotation+kyusha_hyoka_code,rotation,kyusha_hyoka_code,21,11024,76.1,8.25,72.57,False
COURSE_27_09_ダ_中距離,hizume_code+kyori_tekisei_2,hizume_code,kyori_tekisei_2,3,489,80.85,7.37,72.51,False
COURSE_27_09_ダ_中距離,uma_deokure_ritsu+da_tekisei_code,uma_deokure_ritsu,da_tekisei_code,27,8000,76.3,10.11,72.48,False
COURSE_27_09_ダ_中距離,kyakushitsu+ten_shisu_juni,kyakushitsu,ten_shisu_juni,46,11843,74.75,8.34,72.34,False
COURSE_27_09_ダ_中距離,pace_yoso+ichi_shisu_juni,pace_yoso,ichi_shisu_juni,35,12551,74.77,7.38,72.32,False
COURSE_27_09_ダ_中距離,manken_shirushi+umakigo_code,manken_shirushi,umakigo_code,8,8137,76.04,5.45,72.26,False
COURSE_27_09_ダ_中距離,uma_start_shisu+da_tekisei_code,uma_start_shisu,da_tekisei_code,24,9423,75.49,8.26,72.18,False
COURSE_27_09_ダ_中距離,hizume_code+pace_shisu_juni,hizume_code,pace_shisu_juni,32,6951,75.43,9.35,72.18,False
COURSE_27_09_ダ_中距離,manken_shirushi+kyusha_hyoka_code,manken_shirushi,kyusha_hyoka_code,8,7966,75.66,5.13,72.11,False
COURSE_27_09_ダ_中距離,manken_shirushi+class_code,manken_shirushi,class_code,28,5753,76.38,11.53,72.11,False
COURSE_27_09_ダ_中距離,manken_shisu+kyori_tekisei,manken_shisu,kyori_tekisei,34,7576,75.07,8.86,72.09,False
COURSE_27_09_ダ_中距離,ichi_shisu_juni+joshodo_code,ichi_shisu_juni,joshodo_code,17,12485,75.53,7.24,72.09,False
COURSE_27_09_ダ_中距離,ten_shisu_juni+pace_shisu_juni,ten_shisu_juni,pace_shisu_juni,38,6121,75.53,10.84,72.08,False
COURSE_27_09_ダ_中距離,rotation+kyakushitsu,rotation,kyakushitsu,28,9224,75.17,8.68,71.96,False
COURSE_27_09_ダ_中距離,gekiso_juni+pace_shisu_juni,gekiso_juni,pace_shisu_juni,36,4484,75.53,10.99,71.94,False
