factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,8747,73.97,0.53,73.38,False
joken_class_code,条件クラス,code,5,8747,74.16,1.12,73.18,False
manken_shirushi,万券印,code,8,5688,76.18,4.79,72.86,False
uma_deokure_bin,馬出遅率ビン,code,5,8082,74.74,2.77,72.31,False
omo_tekisei_code,重適性,code,3,8016,74.12,1.69,72.21,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,8059,74.7,3.67,72.16,False
bataiju_zogen,馬体重増減,numeric,14,7758,74.8,7.61,70.81,False
shiba_tekisei_code,芝適性,code,3,7948,73.43,2.41,70.71,False
kyakushitsu,脚質,code,5,8747,73.52,3.37,70.56,False
bataiju,馬体重,numeric,38,7117,73.88,10.68,70.49,False
hizume_code,蹄コード,code,10,7628,75.47,8.21,70.38,False
kyori_tekisei,距離適性,code,5,8647,73.73,4.83,69.5,False
ten_shisu_juni,テン指数順位,numeric,16,8747,72.09,5.37,69.46,False
rotation_bin,ローテーションビン,code,8,8117,73.55,6.58,68.99,False
pace_shisu_juni,ペース指数順位,numeric,15,8667,72.57,7.58,68.73,False
manken_shisu_decile,万券指数10分位,code,10,8747,72.35,6.14,68.55,False
class_code,クラスコード,code,11,7742,76.05,12.76,68.51,False
gekiso_juni,激走順位,numeric,15,8650,71.59,6.4,68.35,False
kyori_tekisei_2,距離適性2,code,3,1505,74.93,5.82,68.35,False
ichi_shisu_juni,位置指数順位,numeric,15,8662,71.8,7.34,68.09,False
umakigo_code,馬記号,code,3,8687,72.22,4.14,67.54,False
agari_shisu_juni,上がり指数順位,numeric,15,8665,70.4,8.83,65.94,False
joho_shisu_decile,情報指数10分位,code,6,8747,73.85,11.01,65.03,False
ls_shisu_juni,LS指数順位,numeric,9,8699,70.97,11.26,63.61,False
tenkai_kigo_code,展開記号,code,5,8747,73.58,11.96,63.09,False
kishu_shisu_decile,騎手指数10分位,code,9,8666,71.22,12.84,62.83,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,9,8667,71.47,13.42,62.7,False
kishu_minarai_code,騎手見習,code,4,8700,69.26,7.14,62.26,False
joshodo_code,上昇度,code,3,8682,69.48,7.36,61.14,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,9,8667,69.4,13.89,60.33,False
kyusha_shisu_decile,厩舎指数10分位,code,10,8747,67.96,13.89,59.35,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,14,8660,68.62,18.04,59.17,False
idm_decile,IDM指数10分位,code,9,8713,68.72,15.06,58.88,False
sogo_shisu_decile,総合指数10分位,code,9,8715,67.65,16.39,56.95,False
ninki_shisu_decile,人気指数10分位,code,10,8747,66.21,17.0,55.68,False
chokyo_shisu_decile,調教指数10分位,code,10,8747,64.45,14.3,55.59,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,16,2182,61.41,18.85,52.17,False
