segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_北海道U字_ダ,manken_shisu_decile+kishu_minarai_code+omo_tekisei_code+kyori_tekisei,manken_shisu_decile,kishu_minarai_code,omo_tekisei_code,kyori_tekisei,3,351,83.17,3.24,79.5,False
COURSE_27_北海道U字_ダ,kyakushitsu+kyori_tekisei+umakigo_code+gekiso_juni,kyakushitsu,kyori_tekisei,umakigo_code,gekiso_juni,3,396,86.61,6.71,79.02,False
COURSE_27_北海道U字_ダ,joken_class_code+kyori_tekisei+umakigo_code+gekiso_juni,joken_class_code,kyori_tekisei,umakigo_code,gekiso_juni,7,807,84.89,8.16,78.84,False
COURSE_27_北海道U字_ダ,joken_class_code+pace_yoso+kyori_tekisei+gekiso_juni,joken_class_code,pace_yoso,kyori_tekisei,gekiso_juni,5,541,84.63,7.75,77.83,False
COURSE_27_北海道U字_ダ,joken_class_code+hizume_code+uma_deokure_bin+class_code,joken_class_code,hizume_code,uma_deokure_bin,class_code,3,326,83.67,6.19,76.66,False
COURSE_27_北海道U字_ダ,joken_class_code+manken_shirushi+kyori_tekisei+umakigo_code,joken_class_code,manken_shirushi,kyori_tekisei,umakigo_code,5,549,80.24,4.47,76.31,False
COURSE_27_北海道U字_ダ,hizume_code+umakigo_code+uma_deokure_bin+class_code,hizume_code,umakigo_code,uma_deokure_bin,class_code,3,329,82.08,6.17,75.11,False
COURSE_27_北海道U字_ダ,pace_yoso+hizume_code+omo_tekisei_code+kyori_tekisei,pace_yoso,hizume_code,omo_tekisei_code,kyori_tekisei,3,438,80.91,5.23,74.99,False
COURSE_27_北海道U字_ダ,pace_yoso+hizume_code+kyori_tekisei+umakigo_code,pace_yoso,hizume_code,kyori_tekisei,umakigo_code,6,1109,78.47,4.47,74.89,False
COURSE_27_北海道U字_ダ,joken_class_code+agari_shisu_juni+class_code+tenkai_kigo_code,joken_class_code,agari_shisu_juni,class_code,tenkai_kigo_code,5,546,79.44,6.1,74.1,False
COURSE_27_北海道U字_ダ,joken_class_code+kishu_minarai_code+agari_shisu_juni+tenkai_kigo_code,joken_class_code,kishu_minarai_code,agari_shisu_juni,tenkai_kigo_code,3,336,80.73,6.13,73.79,False
COURSE_27_北海道U字_ダ,kishu_minarai_code+kyakushitsu+umakigo_code+bataiju_zogen,kishu_minarai_code,kyakushitsu,umakigo_code,bataiju_zogen,3,329,79.56,5.12,73.76,False
COURSE_27_北海道U字_ダ,pace_yoso+kyori_tekisei+umakigo_code+bataiju_zogen,pace_yoso,kyori_tekisei,umakigo_code,bataiju_zogen,6,996,77.32,4.54,73.69,False
COURSE_27_北海道U字_ダ,pace_yoso+uma_start_shisu_decile+kishu_minarai_code+kyori_tekisei,pace_yoso,uma_start_shisu_decile,kishu_minarai_code,kyori_tekisei,6,888,75.91,2.89,73.6,False
COURSE_27_北海道U字_ダ,manken_shisu_decile+kishu_minarai_code+kyakushitsu+kyori_tekisei,manken_shisu_decile,kishu_minarai_code,kyakushitsu,kyori_tekisei,3,367,77.74,3.71,73.55,False
