segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_右回り急坂O字_ダ,bataiju+kijun_ninkijun_tansho,bataiju,kijun_ninkijun_tansho,3,305,90.41,3.21,86.78,True
COURSE_27_右回り急坂O字_ダ,bataiju+manken_shisu_decile,bataiju,manken_shisu_decile,39,4256,80.0,11.45,76.41,False
COURSE_27_右回り急坂O字_ダ,bataiju+sogo_shisu_decile,bataiju,sogo_shisu_decile,13,1393,80.22,8.2,75.77,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+uma_start_shisu_decile,manken_shirushi,uma_start_shisu_decile,61,17078,77.47,9.64,75.05,False
COURSE_27_右回り急坂O字_ダ,bataiju+kyusha_shisu_decile,bataiju,kyusha_shisu_decile,51,5741,78.0,11.18,74.93,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+bataiju_zogen,manken_shirushi,bataiju_zogen,61,14185,77.0,8.4,74.89,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+kyori_tekisei_2,manken_shirushi,kyori_tekisei_2,8,1761,78.47,5.6,74.59,False
COURSE_27_右回り急坂O字_ダ,bataiju+rotation_bin,bataiju,rotation_bin,104,13593,76.51,10.17,74.55,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+rotation_bin,manken_shirushi,rotation_bin,47,16464,76.47,6.85,74.52,False
COURSE_27_右回り急坂O字_ダ,hizume_code+joshodo_code,hizume_code,joshodo_code,19,26114,76.45,4.53,74.41,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+ten_shisu_juni,manken_shirushi,ten_shisu_juni,96,16666,76.37,10.13,74.35,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+omo_tekisei_code,manken_shirushi,omo_tekisei_code,24,17251,76.19,5.3,74.07,False
COURSE_27_右回り急坂O字_ダ,hizume_code+manken_shirushi,hizume_code,manken_shirushi,61,15360,76.54,9.87,74.06,False
COURSE_27_右回り急坂O字_ダ,bataiju+bataiju_zogen,bataiju,bataiju_zogen,30,3494,77.82,11.03,73.87,False
COURSE_27_右回り急坂O字_ダ,pace_yoso+manken_shirushi,pace_yoso,manken_shirushi,24,18853,76.37,6.51,73.76,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+pace_shisu_juni,manken_shirushi,pace_shisu_juni,93,16703,75.81,10.51,73.68,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+da_tekisei_code,manken_shirushi,da_tekisei_code,20,15204,76.61,6.79,73.64,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+kyakushitsu,manken_shirushi,kyakushitsu,40,18852,75.86,7.52,73.53,False
COURSE_27_右回り急坂O字_ダ,uma_deokure_bin+omo_tekisei_code,uma_deokure_bin,omo_tekisei_code,15,26593,74.97,2.92,73.49,False
COURSE_27_右回り急坂O字_ダ,hizume_code+kyusha_hyoka_code,hizume_code,kyusha_hyoka_code,23,25576,76.14,6.61,73.44,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+kyori_tekisei,manken_shirushi,kyori_tekisei,24,17846,75.66,5.56,73.44,False
COURSE_27_右回り急坂O字_ダ,pace_yoso+uma_start_shisu_decile,pace_yoso,uma_start_shisu_decile,22,26581,76.57,7.55,73.42,False
COURSE_27_右回り急坂O字_ダ,manken_shirushi+ls_shisu_juni,manken_shirushi,ls_shisu_juni,56,18181,76.2,10.69,73.4,False
