segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_右回り急坂O字_芝,manken_shirushi+joken_class_code+kyuyo_riyu_bunrui_code,manken_shirushi,joken_class_code,kyuyo_riyu_bunrui_code,3,333,93.16,8.95,83.03,True
COURSE_27_右回り急坂O字_芝,ten_shisu_juni+kyuyo_riyu_bunrui_code+uma_start_shisu,ten_shisu_juni,kyuyo_riyu_bunrui_code,uma_start_shisu,5,612,83.73,5.55,78.86,False
COURSE_27_右回り急坂O字_芝,kyakushitsu+idm+shiba_tekisei_code,kyakushitsu,idm,shiba_tekisei_code,5,560,83.7,7.06,77.52,False
COURSE_27_右回り急坂O字_芝,joken_class_code+ichi_shisu_juni+rotation,joken_class_code,ichi_shisu_juni,rotation,5,597,86.32,10.38,77.22,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+rotation+shiba_tekisei_code,manken_shirushi,rotation,shiba_tekisei_code,14,1967,80.13,5.89,77.05,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+manken_shisu+shiba_tekisei_code,uma_deokure_ritsu,manken_shisu,shiba_tekisei_code,9,1063,81.22,6.4,77.04,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+kyakushitsu+uma_start_shisu,manken_shirushi,kyakushitsu,uma_start_shisu,16,3049,80.07,7.42,76.44,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+nyukyu_nannichimae+shiba_tekisei_code,uma_deokure_ritsu,nyukyu_nannichimae,shiba_tekisei_code,6,775,83.28,9.54,75.65,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+uma_deokure_ritsu+kyuyo_riyu_bunrui_code,manken_shirushi,uma_deokure_ritsu,kyuyo_riyu_bunrui_code,5,678,80.72,5.95,75.5,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+nyukyu_nannichimae+kyori_tekisei,uma_deokure_ritsu,nyukyu_nannichimae,kyori_tekisei,6,873,81.74,8.1,75.26,False
COURSE_27_右回り急坂O字_芝,kyakushitsu+uma_start_shisu+rotation,kyakushitsu,uma_start_shisu,rotation,22,4028,78.03,7.4,74.94,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+omo_tekisei_code+uma_start_shisu,manken_shirushi,omo_tekisei_code,uma_start_shisu,16,3642,78.1,6.54,74.89,False
COURSE_27_右回り急坂O字_芝,pace_yoso+uma_deokure_ritsu+uma_start_shisu,pace_yoso,uma_deokure_ritsu,uma_start_shisu,15,5289,77.13,4.57,74.82,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+uma_deokure_ritsu+kyakushitsu,manken_shirushi,uma_deokure_ritsu,kyakushitsu,16,2932,77.91,6.68,74.64,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+uma_deokure_ritsu+joken_class_code,manken_shirushi,uma_deokure_ritsu,joken_class_code,15,2683,76.78,4.51,74.49,False
COURSE_27_右回り急坂O字_芝,uma_start_shisu+rotation+shiba_tekisei_code,uma_start_shisu,rotation,shiba_tekisei_code,23,4736,77.06,6.29,74.49,False
COURSE_27_右回り急坂O字_芝,ichi_shisu+kyori_tekisei+shiba_tekisei_code,ichi_shisu,kyori_tekisei,shiba_tekisei_code,8,932,81.78,10.53,74.48,False
COURSE_27_右回り急坂O字_芝,kyori_tekisei+idm+shiba_tekisei_code,kyori_tekisei,idm,shiba_tekisei_code,27,4221,77.34,7.86,74.38,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+joshodo_code+ichi_shisu_juni,manken_shirushi,joshodo_code,ichi_shisu_juni,53,6788,76.62,8.35,74.38,False
COURSE_27_右回り急坂O字_芝,manken_shisu+uma_start_shisu+shiba_tekisei_code,manken_shisu,uma_start_shisu,shiba_tekisei_code,11,1288,80.49,10.58,74.23,False
COURSE_27_右回り急坂O字_芝,ten_shisu_juni+kyakushitsu+uma_start_shisu,ten_shisu_juni,kyakushitsu,uma_start_shisu,23,4248,77.81,8.74,74.23,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+joken_class_code+kyakushitsu,manken_shirushi,joken_class_code,kyakushitsu,48,6167,77.06,10.08,74.21,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+joken_class_code+joshodo_code,uma_deokure_ritsu,joken_class_code,joshodo_code,21,9114,76.93,6.39,74.19,False
COURSE_27_右回り急坂O字_芝,ten_shisu_juni+rotation+shiba_tekisei_code,ten_shisu_juni,rotation,shiba_tekisei_code,17,2273,77.99,8.02,74.17,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+ichi_shisu_juni+kyori_tekisei,manken_shirushi,ichi_shisu_juni,kyori_tekisei,25,3097,77.23,7.82,74.17,False
COURSE_27_右回り急坂O字_芝,pace_yoso+manken_shirushi+kyuyo_riyu_bunrui_code,pace_yoso,manken_shirushi,kyuyo_riyu_bunrui_code,13,2040,77.49,6.31,74.07,False
COURSE_27_右回り急坂O字_芝,omo_tekisei_code+uma_start_shisu+rotation,omo_tekisei_code,uma_start_shisu,rotation,24,4797,77.1,7.59,74.06,False
COURSE_27_右回り急坂O字_芝,kyori_tekisei+ten_shisu_juni+rotation,kyori_tekisei,ten_shisu_juni,rotation,21,2740,78.31,10.02,74.03,False
COURSE_27_右回り急坂O字_芝,ichi_shisu_juni+kyori_tekisei+rotation,ichi_shisu_juni,kyori_tekisei,rotation,19,2734,78.77,10.55,74.03,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+joken_class_code+kyuyo_riyu_bunrui_code,uma_deokure_ritsu,joken_class_code,kyuyo_riyu_bunrui_code,5,1421,76.19,2.5,74.0,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+joken_class_code+uma_start_shisu,manken_shirushi,joken_class_code,uma_start_shisu,15,2267,78.06,8.03,74.0,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+kyori_tekisei+ten_shisu_juni,manken_shirushi,kyori_tekisei,ten_shisu_juni,11,1167,80.2,10.54,73.97,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+ichi_shisu_juni+shiba_tekisei_code,manken_shirushi,ichi_shisu_juni,shiba_tekisei_code,13,1410,79.31,9.98,73.89,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+uma_deokure_ritsu+joshodo_code,manken_shirushi,uma_deokure_ritsu,joshodo_code,10,4077,76.29,3.92,73.87,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+joken_class_code+shiba_tekisei_code,uma_deokure_ritsu,joken_class_code,shiba_tekisei_code,24,8254,77.04,8.02,73.83,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+joken_class_code+ichi_shisu_juni,manken_shirushi,joken_class_code,ichi_shisu_juni,8,1471,77.3,5.08,73.78,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+kyuyo_riyu_bunrui_code+shiba_tekisei_code,manken_shirushi,kyuyo_riyu_bunrui_code,shiba_tekisei_code,8,1459,78.22,6.46,73.74,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+joken_class_code+kyori_tekisei,uma_deokure_ritsu,joken_class_code,kyori_tekisei,22,7597,77.93,10.18,73.68,False
