segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+hizume_code+class_code+idm_decile,shiba_tekisei_code,hizume_code,class_code,idm_decile,5,530,89.07,7.42,82.57,True
COURSE_27_左回り平坦O字_芝,pace_yoso+joken_class_code+hizume_code+idm_decile,pace_yoso,joken_class_code,hizume_code,idm_decile,4,454,86.17,4.9,81.36,True
COURSE_27_左回り平坦O字_芝,joken_class_code+shiba_tekisei_code+rotation_bin+hizume_code,joken_class_code,shiba_tekisei_code,rotation_bin,hizume_code,3,378,89.51,7.27,81.28,True
COURSE_27_左回り平坦O字_芝,joken_class_code+shiba_tekisei_code+hizume_code+idm_decile,joken_class_code,shiba_tekisei_code,hizume_code,idm_decile,7,850,84.14,5.78,79.86,False
COURSE_27_左回り平坦O字_芝,joken_class_code+rotation_bin+hizume_code+class_code,joken_class_code,rotation_bin,hizume_code,class_code,4,476,93.02,13.61,79.69,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+joshodo_code+hizume_code+bataiju_zogen,shiba_tekisei_code,joshodo_code,hizume_code,bataiju_zogen,3,367,86.59,6.65,79.07,False
COURSE_27_左回り平坦O字_芝,rotation_bin+joshodo_code+hizume_code+class_code,rotation_bin,joshodo_code,hizume_code,class_code,4,479,93.22,14.51,79.0,False
COURSE_27_左回り平坦O字_芝,joken_class_code+joshodo_code+bataiju_zogen+idm_decile,joken_class_code,joshodo_code,bataiju_zogen,idm_decile,6,643,85.77,9.43,78.22,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+joshodo_code+bataiju_zogen+idm_decile,shiba_tekisei_code,joshodo_code,bataiju_zogen,idm_decile,6,706,83.41,6.68,78.06,False
COURSE_27_左回り平坦O字_芝,uma_deokure_bin+kyakushitsu+ichi_shisu_juni+tenkai_kigo_code,uma_deokure_bin,kyakushitsu,ichi_shisu_juni,tenkai_kigo_code,3,366,81.56,4.1,76.93,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+manken_shirushi+joshodo_code+uma_start_shisu_decile,shiba_tekisei_code,manken_shirushi,joshodo_code,uma_start_shisu_decile,3,349,82.7,5.14,76.88,False
COURSE_27_左回り平坦O字_芝,pace_yoso+joken_class_code+rotation_bin+uma_start_shisu_decile,pace_yoso,joken_class_code,rotation_bin,uma_start_shisu_decile,4,433,78.71,1.97,76.79,False
COURSE_27_左回り平坦O字_芝,joshodo_code+hizume_code+class_code+idm_decile,joshodo_code,hizume_code,class_code,idm_decile,9,1084,82.4,10.57,75.49,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+rotation_bin+class_code+idm_decile,shiba_tekisei_code,rotation_bin,class_code,idm_decile,8,925,79.5,6.36,75.1,False
COURSE_27_左回り平坦O字_芝,joken_class_code+hizume_code+class_code+idm_decile,joken_class_code,hizume_code,class_code,idm_decile,9,1074,82.12,11.09,74.87,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+joshodo_code+uma_start_shisu_decile+pace_shisu_juni,shiba_tekisei_code,joshodo_code,uma_start_shisu_decile,pace_shisu_juni,4,430,82.73,8.58,74.32,False
COURSE_27_左回り平坦O字_芝,joken_class_code+joshodo_code+uma_start_shisu_decile+bataiju_zogen,joken_class_code,joshodo_code,uma_start_shisu_decile,bataiju_zogen,3,373,82.61,7.39,74.25,False
COURSE_27_左回り平坦O字_芝,uma_deokure_bin+joken_class_code+manken_shirushi+joshodo_code,uma_deokure_bin,joken_class_code,manken_shirushi,joshodo_code,9,1095,78.17,6.4,73.99,False
COURSE_27_左回り平坦O字_芝,pace_yoso+joshodo_code+hizume_code+idm_decile,pace_yoso,joshodo_code,hizume_code,idm_decile,9,1276,80.72,10.39,73.93,False
COURSE_27_左回り平坦O字_芝,pace_yoso+joshodo_code+manken_shisu_decile+idm_decile,pace_yoso,joshodo_code,manken_shisu_decile,idm_decile,5,543,83.42,10.93,73.84,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+rotation_bin+uma_start_shisu_decile+class_code,shiba_tekisei_code,rotation_bin,uma_start_shisu_decile,class_code,5,593,82.53,10.1,73.67,False
COURSE_27_左回り平坦O字_芝,joken_class_code+rotation_bin+class_code+idm_decile,joken_class_code,rotation_bin,class_code,idm_decile,14,1748,77.54,7.91,73.4,False
COURSE_27_左回り平坦O字_芝,shiba_tekisei_code+rotation_bin+joshodo_code+idm_decile,shiba_tekisei_code,rotation_bin,joshodo_code,idm_decile,22,3118,76.65,8.06,73.29,False
