factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
shiba_tekisei_code,芝適性,code,3,5895,74.34,0.7,73.56,False
pace_yoso,ペース予想,code,3,7661,74.3,0.85,73.34,False
umakigo_code,馬記号,code,3,7651,78.46,4.59,73.26,False
joken_class_code,条件クラス,code,5,7661,73.34,1.23,72.26,False
bataiju,馬体重,numeric,37,6128,75.81,11.42,72.13,False
rotation_bin,ローテーションビン,code,7,6010,74.31,2.94,72.13,False
tenkai_kigo_code,展開記号,code,5,7661,73.87,2.56,71.63,False
hizume_code,蹄コード,code,10,5783,73.88,5.21,70.66,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,6062,73.31,4.16,70.43,False
manken_shirushi,万券印,code,8,4609,73.15,4.01,70.37,False
ten_shisu_juni,テン指数順位,numeric,17,7575,73.03,6.49,69.94,False
kyusha_hyoka_code,厩舎評価,code,4,7661,76.25,6.73,69.65,False
bataiju_zogen,馬体重増減,numeric,12,5622,74.43,8.77,69.47,False
agari_shisu_juni,上がり指数順位,numeric,17,7564,72.22,6.04,69.35,False
kyori_tekisei,距離適性,code,4,7515,75.3,6.25,69.17,False
ls_shisu_juni,LS指数順位,numeric,8,7622,74.98,8.44,69.13,False
pace_shisu_juni,ペース指数順位,numeric,16,7485,72.1,6.48,68.92,False
uma_deokure_bin,馬出遅率ビン,code,5,6084,73.53,5.43,68.77,False
class_code,クラスコード,code,10,5832,73.64,8.55,68.34,False
manken_shisu_decile,万券指数10分位,code,10,7628,73.11,8.71,67.72,False
gekiso_juni,激走順位,numeric,17,7553,71.89,9.07,67.58,False
sogo_shisu_decile,総合指数10分位,code,10,7661,71.76,7.31,67.23,False
ichi_shisu_juni,位置指数順位,numeric,17,7572,72.04,10.7,66.95,False
joho_shisu_decile,情報指数10分位,code,6,7661,73.31,8.72,66.34,False
omo_tekisei_code,重適性,code,4,6223,71.44,5.27,66.27,False
idm_decile,IDM指数10分位,code,10,7661,71.5,8.5,66.24,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,7575,72.84,14.43,65.77,False
kishu_minarai_code,騎手見習,code,5,7578,68.81,4.06,65.25,False
kyakushitsu,脚質,code,5,7660,72.07,7.95,65.1,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,7661,70.21,9.15,64.55,False
joshodo_code,上昇度,code,3,7502,70.74,5.51,64.5,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,7661,69.27,9.14,63.6,False
kyusha_shisu_decile,厩舎指数10分位,code,10,7661,69.71,10.24,63.37,False
kishu_shisu_decile,騎手指数10分位,code,10,7661,69.06,10.14,62.77,False
ninki_shisu_decile,人気指数10分位,code,10,7661,67.97,9.97,61.79,False
chokyo_shisu_decile,調教指数10分位,code,10,7649,69.39,12.27,61.78,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,17,2372,72.29,22.92,61.4,False
