segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
GLOBAL_1勝クラス,kyori_kubun+kishu_shisu+pace_yoso+uma_deokure_ritsu,kyori_kubun,kishu_shisu,pace_yoso,uma_deokure_ritsu,7,934,83.59,6.62,78.69,False
GLOBAL_1勝クラス,kyori_tekisei_2+keibajo_code+kishu_shisu+pace_yoso,kyori_tekisei_2,keibajo_code,kishu_shisu,pace_yoso,3,312,81.34,3.62,77.25,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code+uma_deokure_ritsu,kyori_tekisei_2,kyori_tekisei,omo_tekisei_code,uma_deokure_ritsu,7,1634,78.63,4.68,75.17,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+keibajo_code+blinker,kyori_tekisei_2,kyori_tekisei,keibajo_code,blinker,3,341,84.72,8.96,74.58,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+kyori_kubun+uma_deokure_ritsu,kyori_tekisei_2,kyori_tekisei,kyori_kubun,uma_deokure_ritsu,6,1689,80.55,7.51,74.54,False
GLOBAL_1勝クラス,kyori_tekisei+kyori_kubun+pace_shisu_juni+uma_deokure_ritsu,kyori_tekisei,kyori_kubun,pace_shisu_juni,uma_deokure_ritsu,5,604,77.44,3.37,74.49,False
GLOBAL_1勝クラス,kyori_tekisei_2+umakigo_code+pace_yoso+blinker,kyori_tekisei_2,umakigo_code,pace_yoso,blinker,3,975,79.4,4.34,74.49,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_kubun+gekiso_juni+pace_yoso,kyori_tekisei_2,kyori_kubun,gekiso_juni,pace_yoso,27,3812,76.82,7.74,73.9,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+pace_yoso+blinker,kyori_tekisei_2,kyori_tekisei,pace_yoso,blinker,3,1080,79.68,5.24,73.75,False
GLOBAL_1勝クラス,kyori_tekisei_2+keibajo_code+kyori_kubun+shiba_tekisei_code,kyori_tekisei_2,keibajo_code,kyori_kubun,shiba_tekisei_code,21,2743,78.07,10.27,73.67,False
GLOBAL_1勝クラス,kyori_tekisei+keibajo_code+omo_tekisei_code+uma_deokure_ritsu,kyori_tekisei,keibajo_code,omo_tekisei_code,uma_deokure_ritsu,11,1353,78.27,8.17,73.44,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+umakigo_code+blinker,kyori_tekisei_2,kyori_tekisei,umakigo_code,blinker,3,1102,79.11,5.27,73.15,False
GLOBAL_1勝クラス,kyori_tekisei_2+gekiso_juni+pace_yoso+omo_tekisei_code,kyori_tekisei_2,gekiso_juni,pace_yoso,omo_tekisei_code,22,2903,77.14,9.61,73.12,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+keibajo_code+kyori_kubun,kyori_tekisei_2,kyori_tekisei,keibajo_code,kyori_kubun,32,7741,76.04,9.13,72.88,False
GLOBAL_1勝クラス,kyori_kubun+gekiso_juni+pace_yoso+uma_deokure_ritsu,kyori_kubun,gekiso_juni,pace_yoso,uma_deokure_ritsu,11,1403,78.14,9.08,72.77,False
GLOBAL_1勝クラス,kyori_tekisei_2+pace_yoso+omo_tekisei_code+uma_deokure_ritsu,kyori_tekisei_2,pace_yoso,omo_tekisei_code,uma_deokure_ritsu,7,1472,77.12,5.94,72.73,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_kubun+pace_yoso+uma_deokure_ritsu,kyori_tekisei_2,kyori_kubun,pace_yoso,uma_deokure_ritsu,6,1502,80.65,9.9,72.73,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+keibajo_code+pace_yoso,kyori_tekisei_2,kyori_tekisei,keibajo_code,pace_yoso,24,7781,75.46,6.88,72.71,False
GLOBAL_1勝クラス,kyori_tekisei_2+kyori_tekisei+gekiso_juni+omo_tekisei_code,kyori_tekisei_2,kyori_tekisei,gekiso_juni,omo_tekisei_code,27,3830,76.26,9.49,72.68,False
GLOBAL_1勝クラス,keibajo_code+shiba_tekisei_code+pace_yoso+uma_deokure_ritsu,keibajo_code,shiba_tekisei_code,pace_yoso,uma_deokure_ritsu,14,2490,79.01,12.11,72.67,False
GLOBAL_1勝クラス,kyori_tekisei+keibajo_code+kyori_kubun+uma_deokure_ritsu,kyori_tekisei,keibajo_code,kyori_kubun,uma_deokure_ritsu,15,2416,79.06,12.65,72.66,False
