segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code+uma_start_shisu,kyori_tekisei_2,pace_yoso,umakigo_code,uma_start_shisu,4,567,93.21,1.81,91.43,True
GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_tekisei+uma_start_shisu,kyori_tekisei_2,pace_yoso,kyori_tekisei,uma_start_shisu,3,412,91.89,2.41,89.17,True
GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi+umakigo_code+kyori_tekisei,kyori_tekisei_2,manken_shirushi,umakigo_code,kyori_tekisei,7,989,92.13,5.81,87.83,True
GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+umakigo_code,kyori_tekisei_2,uma_deokure_ritsu,kyori_kubun,umakigo_code,5,847,88.32,2.77,85.9,True
GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+kyori_tekisei,kyori_tekisei_2,uma_deokure_ritsu,kyori_kubun,kyori_tekisei,4,685,88.47,3.14,85.4,True
GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+uma_start_shisu,kyori_tekisei_2,kyori_kubun,umakigo_code,uma_start_shisu,3,442,92.53,7.36,84.2,True
GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+keibajo_code,kyori_tekisei_2,kyori_kubun,umakigo_code,keibajo_code,3,322,90.82,6.3,83.69,True
GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,kyori_tekisei_2,kyori_kubun,umakigo_code,kyori_tekisei,7,2044,88.05,6.59,83.16,True
GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code+hizume_code,kyori_tekisei_2,pace_yoso,umakigo_code,hizume_code,6,650,92.14,11.95,82.58,True
GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+umakigo_code+kyori_tekisei,kyori_tekisei_2,uma_deokure_ritsu,umakigo_code,kyori_tekisei,3,858,87.2,4.13,82.52,True
GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+pace_yoso+umakigo_code,kyori_tekisei_2,uma_deokure_ritsu,pace_yoso,umakigo_code,4,760,87.39,5.07,82.42,True
GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei+hizume_code,kyori_tekisei_2,umakigo_code,kyori_tekisei,hizume_code,7,1090,90.42,11.03,82.25,True
GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+keibajo_code+kyori_tekisei,kyori_tekisei_2,umakigo_code,keibajo_code,kyori_tekisei,5,616,92.58,11.89,82.15,True
GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+kyori_tekisei,kyori_tekisei_2,pace_yoso,kyori_kubun,kyori_tekisei,8,1475,89.35,11.33,81.49,True
GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+umakigo_code,kyori_tekisei_2,pace_yoso,kyori_kubun,umakigo_code,10,1802,87.4,9.92,81.25,True
GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+hizume_code,kyori_tekisei_2,kyori_kubun,umakigo_code,hizume_code,3,385,91.99,9.68,81.03,True
GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code+kyori_tekisei,kyori_tekisei_2,pace_yoso,umakigo_code,kyori_tekisei,8,2052,85.58,8.07,79.99,False
GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+pace_yoso+kyori_tekisei,kyori_tekisei_2,uma_deokure_ritsu,pace_yoso,kyori_tekisei,4,655,87.22,7.55,79.83,False
