segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_01_芝,manken_shirushi+kyori_tekisei+uma_start_shisu,manken_shirushi,kyori_tekisei,uma_start_shisu,3,316,85.9,3.26,82.22,True
KEIBAJO_SURFACE_01_芝,kyori_kubun+manken_shirushi+uma_start_shisu,kyori_kubun,manken_shirushi,uma_start_shisu,4,456,87.64,6.16,81.6,True
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_shisu_juni+ichi_shisu_juni,kyori_kubun,pace_shisu_juni,ichi_shisu_juni,3,403,88.6,6.57,81.16,True
KEIBAJO_SURFACE_01_芝,kyori_tekisei_2+hizume_code+joshodo_code,kyori_tekisei_2,hizume_code,joshodo_code,4,511,81.55,2.56,79.04,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+kyakushitsu+uma_deokure_ritsu,manken_shirushi,kyakushitsu,uma_deokure_ritsu,4,423,86.15,7.59,78.71,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+ichi_shisu_juni+ten_shisu_juni,kyori_kubun,ichi_shisu_juni,ten_shisu_juni,3,387,88.59,9.04,78.35,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei_2+hizume_code+umakigo_code,kyori_tekisei_2,hizume_code,umakigo_code,4,470,81.45,5.84,75.73,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+joshodo_code+tenkai_kigo_code,manken_shirushi,joshodo_code,tenkai_kigo_code,17,4264,79.66,9.45,75.17,False
KEIBAJO_SURFACE_01_芝,rotation+kyori_tekisei_2+joshodo_code,rotation,kyori_tekisei_2,joshodo_code,3,409,78.3,2.91,75.01,False
KEIBAJO_SURFACE_01_芝,rotation+kyori_tekisei_2+umakigo_code,rotation,kyori_tekisei_2,umakigo_code,3,389,76.75,1.75,74.77,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyori_tekisei_2+kyori_tekisei,kyori_kubun,kyori_tekisei_2,kyori_tekisei,5,1343,77.5,3.21,74.68,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+uma_start_shisu+ichi_shisu_juni,kyori_tekisei,uma_start_shisu,ichi_shisu_juni,4,449,81.83,7.47,74.51,False
