factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
manken_shirushi,万券印,code,8,1902,76.04,4.51,72.92,False
pace_yoso,ペース予想,code,3,2770,73.96,1.77,71.96,False
uma_start_shisu,馬スタート指数,numeric,8,1794,75.93,8.12,70.3,False
rotation,ローテーション,numeric,7,2093,74.93,9.28,68.05,False
kyakushitsu,脚質,code,5,2770,73.09,6.05,67.79,False
kyori_tekisei,距離適性,code,4,2709,76.42,9.53,67.08,False
omo_tekisei_code,重適性,code,3,2553,78.61,10.56,66.66,False
ls_shisu_juni,LS指数順位,numeric,5,2510,76.61,12.16,65.95,False
ten_shisu_juni,テン指数順位,numeric,12,2659,71.76,11.4,65.31,False
pace_shisu_juni,ペース指数順位,numeric,12,2679,71.85,12.49,64.78,False
manken_shisu,万券指数,numeric,6,645,76.08,14.19,64.73,False
gekiso_juni,激走順位,numeric,12,2668,72.29,13.45,64.68,False
agari_shisu_juni,上がり指数順位,numeric,12,2669,71.79,12.97,64.45,False
uma_deokure_ritsu,馬出遅率,numeric,7,1894,71.88,10.28,64.27,False
ichi_shisu_juni,位置指数順位,numeric,12,2696,70.99,12.87,63.7,False
idm,IDM指数,numeric,7,789,75.77,16.37,63.65,False
hizume_code,蹄コード,code,8,2328,71.59,12.19,63.14,False
tenkai_kigo_code,展開記号,code,5,2770,74.0,13.68,62.01,False
kishu_minarai_code,騎手見習,code,3,755,76.36,13.2,61.42,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,11,2654,65.42,18.46,54.51,False
kishu_shisu,騎手指数,numeric,9,1709,64.5,15.72,54.23,False
class_code,クラスコード,code,3,2560,74.23,19.19,52.51,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,4,633,43.44,7.67,35.92,False
