segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_02_芝_新馬,idm_decile+kyusha_shisu_decile,idm_decile,kyusha_shisu_decile,3,347,85.94,1.93,83.76,True
KEIBAJO_SURFACE_02_芝_新馬,ichi_shisu_juni+kyakushitsu,ichi_shisu_juni,kyakushitsu,3,328,86.12,4.17,81.39,True
KEIBAJO_SURFACE_02_芝_新馬,ninki_shisu_decile+idm_decile,ninki_shisu_decile,idm_decile,4,473,85.6,7.77,77.99,False
KEIBAJO_SURFACE_02_芝_新馬,kishu_shisu_decile+idm_decile,kishu_shisu_decile,idm_decile,4,476,85.95,9.59,76.55,False
KEIBAJO_SURFACE_02_芝_新馬,ninki_shisu_decile+kijun_ninkijun_tansho,ninki_shisu_decile,kijun_ninkijun_tansho,5,590,78.17,3.77,74.86,False
KEIBAJO_SURFACE_02_芝_新馬,omo_tekisei_code+bataiju_zogen,omo_tekisei_code,bataiju_zogen,8,1138,79.92,7.48,74.74,False
KEIBAJO_SURFACE_02_芝_新馬,kyakushitsu+kyusha_shisu_decile,kyakushitsu,kyusha_shisu_decile,3,317,83.5,8.24,74.18,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+kyori_kubun,pace_yoso,kyori_kubun,6,2139,75.82,2.26,74.01,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_kubun+omo_tekisei_code,kyori_kubun,omo_tekisei_code,5,1960,75.93,2.27,73.94,False
KEIBAJO_SURFACE_02_芝_新馬,ls_shisu_juni+kishu_minarai_code,ls_shisu_juni,kishu_minarai_code,4,1702,75.35,1.72,73.66,False
KEIBAJO_SURFACE_02_芝_新馬,idm_decile+chokyo_shisu_decile,idm_decile,chokyo_shisu_decile,4,435,80.82,7.37,73.6,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+kishu_minarai_code,pace_yoso,kishu_minarai_code,3,1916,76.47,2.75,73.35,False
KEIBAJO_SURFACE_02_芝_新馬,sogo_shisu_decile+chokyo_shisu_decile,sogo_shisu_decile,chokyo_shisu_decile,4,472,77.33,4.3,73.12,False
KEIBAJO_SURFACE_02_芝_新馬,bataiju_zogen+kyakushitsu,bataiju_zogen,kyakushitsu,6,687,83.21,12.7,73.05,False
KEIBAJO_SURFACE_02_芝_新馬,ninki_shisu_decile+sogo_shisu_decile,ninki_shisu_decile,sogo_shisu_decile,4,515,81.83,9.28,72.74,False
KEIBAJO_SURFACE_02_芝_新馬,ls_shisu_juni+kyori_kubun,ls_shisu_juni,kyori_kubun,4,1460,78.88,6.56,72.45,False
KEIBAJO_SURFACE_02_芝_新馬,ls_shisu_juni+uma_deokure_bin,ls_shisu_juni,uma_deokure_bin,5,1354,77.12,5.35,72.43,False
KEIBAJO_SURFACE_02_芝_新馬,ninki_shisu_decile+kyakushitsu,ninki_shisu_decile,kyakushitsu,8,912,78.61,9.24,72.21,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_tekisei+kishu_minarai_code,kyori_tekisei,kishu_minarai_code,4,1879,76.44,4.32,72.21,False
KEIBAJO_SURFACE_02_芝_新馬,pace_shisu_juni+kishu_minarai_code,pace_shisu_juni,kishu_minarai_code,11,1717,76.3,6.94,72.2,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_tekisei+omo_tekisei_code,kyori_tekisei,omo_tekisei_code,6,1869,74.6,3.03,72.18,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_kubun+kishu_minarai_code,kyori_kubun,kishu_minarai_code,3,1916,74.56,2.13,72.14,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_kubun+bataiju_zogen,kyori_kubun,bataiju_zogen,8,1121,79.58,10.73,72.14,False
KEIBAJO_SURFACE_02_芝_新馬,uma_deokure_bin+kishu_minarai_code,uma_deokure_bin,kishu_minarai_code,5,1912,75.17,3.53,72.07,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+tenkai_kigo_code,pace_yoso,tenkai_kigo_code,7,1917,75.65,4.99,71.96,False
KEIBAJO_SURFACE_02_芝_新馬,kishu_shisu_decile+sogo_shisu_decile,kishu_shisu_decile,sogo_shisu_decile,5,593,80.03,9.25,71.92,False
KEIBAJO_SURFACE_02_芝_新馬,uma_start_shisu_decile+kishu_minarai_code,uma_start_shisu_decile,kishu_minarai_code,8,1905,75.24,5.31,71.56,False
KEIBAJO_SURFACE_02_芝_新馬,omo_tekisei_code+idm_decile,omo_tekisei_code,idm_decile,8,1820,77.8,9.02,71.55,False
KEIBAJO_SURFACE_02_芝_新馬,ls_shisu_juni+ichi_shisu_juni,ls_shisu_juni,ichi_shisu_juni,9,1016,78.03,10.3,71.3,False
KEIBAJO_SURFACE_02_芝_新馬,manken_shisu_decile+kishu_minarai_code,manken_shisu_decile,kishu_minarai_code,7,1778,76.58,7.32,71.15,False
KEIBAJO_SURFACE_02_芝_新馬,hizume_code+idm_decile,hizume_code,idm_decile,4,475,74.79,3.72,71.14,False
KEIBAJO_SURFACE_02_芝_新馬,rotation_bin+sogo_shisu_decile,rotation_bin,sogo_shisu_decile,4,518,75.27,4.28,71.08,False
KEIBAJO_SURFACE_02_芝_新馬,ichi_shisu_juni+kishu_minarai_code,ichi_shisu_juni,kishu_minarai_code,11,1706,75.64,7.77,71.05,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+omo_tekisei_code,pace_yoso,omo_tekisei_code,5,2031,76.67,6.47,71.0,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+kyori_tekisei,pace_yoso,kyori_tekisei,7,2015,74.1,4.28,70.93,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+bataiju_zogen,pace_yoso,bataiju_zogen,8,1211,79.83,12.84,70.93,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_tekisei+kyori_kubun,kyori_tekisei,kyori_kubun,5,1986,74.12,3.83,70.77,False
