segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_03_ダ,kyori_kubun+joken_class_code+omo_tekisei_code+gekiso_juni,kyori_kubun,joken_class_code,omo_tekisei_code,gekiso_juni,4,421,83.6,4.9,78.8,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+class_code+uma_start_shisu_decile+hizume_code,pace_yoso,class_code,uma_start_shisu_decile,hizume_code,4,590,86.46,7.9,78.71,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+joken_class_code+hizume_code+manken_shisu_decile,pace_yoso,joken_class_code,hizume_code,manken_shisu_decile,4,436,84.7,7.41,77.44,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+omo_tekisei_code+hizume_code+manken_shisu_decile,pace_yoso,omo_tekisei_code,hizume_code,manken_shisu_decile,3,317,80.96,4.17,76.24,False
KEIBAJO_SURFACE_03_ダ,joken_class_code+omo_tekisei_code+uma_start_shisu_decile+hizume_code,joken_class_code,omo_tekisei_code,uma_start_shisu_decile,hizume_code,5,636,79.92,6.27,74.42,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_kubun+manken_shirushi+manken_shisu_decile,pace_yoso,kyori_kubun,manken_shirushi,manken_shisu_decile,13,1650,78.76,8.02,74.4,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+joken_class_code+uma_start_shisu_decile+hizume_code,pace_yoso,joken_class_code,uma_start_shisu_decile,hizume_code,13,1772,79.14,9.81,73.81,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+joken_class_code+manken_shirushi+manken_shisu_decile,pace_yoso,joken_class_code,manken_shirushi,manken_shisu_decile,4,510,84.61,11.66,73.18,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+bataiju_zogen+ls_shisu_juni+tenkai_kigo_code,pace_yoso,bataiju_zogen,ls_shisu_juni,tenkai_kigo_code,10,1479,79.08,9.61,73.13,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_kubun+manken_shirushi+kyori_tekisei,pace_yoso,kyori_kubun,manken_shirushi,kyori_tekisei,21,3326,77.26,9.77,73.09,False
KEIBAJO_SURFACE_03_ダ,class_code+joho_shisu_decile+hizume_code+ls_shisu_juni,class_code,joho_shisu_decile,hizume_code,ls_shisu_juni,4,475,98.11,25.63,72.99,False
