segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+uma_start_shisu+tenkai_kigo_code,kyori_kubun,kyori_tekisei,uma_start_shisu,tenkai_kigo_code,4,629,83.93,4.77,79.26,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+uma_start_shisu+omo_tekisei_code+tenkai_kigo_code,kyori_tekisei,uma_start_shisu,omo_tekisei_code,tenkai_kigo_code,3,534,78.62,4.26,73.8,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_tekisei+rotation+omo_tekisei_code,class_code,kyori_tekisei,rotation,omo_tekisei_code,3,559,78.94,4.62,73.71,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+uma_start_shisu+uma_deokure_ritsu+tenkai_kigo_code,kyori_tekisei,uma_start_shisu,uma_deokure_ritsu,tenkai_kigo_code,3,618,78.6,4.38,73.65,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+kyakushitsu+ichi_shisu_juni,pace_yoso,kyori_kubun,kyakushitsu,ichi_shisu_juni,3,1542,72.57,0.55,71.95,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+kyori_tekisei+ichi_shisu_juni,pace_yoso,kyori_kubun,kyori_tekisei,ichi_shisu_juni,3,1642,72.16,0.21,71.92,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+uma_deokure_ritsu+omo_tekisei_code+tenkai_kigo_code,kyori_kubun,uma_deokure_ritsu,omo_tekisei_code,tenkai_kigo_code,6,1287,77.78,7.46,71.82,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+kakutoku_shokin_ruikei+ichi_shisu_juni,pace_yoso,kyori_kubun,kakutoku_shokin_ruikei,ichi_shisu_juni,3,1605,71.98,0.28,71.67,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+omo_tekisei_code+tenkai_kigo_code,kyori_kubun,kyori_tekisei,omo_tekisei_code,tenkai_kigo_code,9,1808,77.09,8.35,71.63,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+uma_deokure_ritsu+tenkai_kigo_code,pace_yoso,kyori_kubun,uma_deokure_ritsu,tenkai_kigo_code,6,1073,78.4,8.67,71.47,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+uma_deokure_ritsu+omo_tekisei_code,pace_yoso,kyori_kubun,uma_deokure_ritsu,omo_tekisei_code,9,1760,76.91,8.54,71.33,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+pace_yoso+kyori_kubun+kyori_tekisei,class_code,pace_yoso,kyori_kubun,kyori_tekisei,12,2447,74.24,5.26,71.26,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_kubun+kyori_tekisei+rotation,class_code,kyori_kubun,kyori_tekisei,rotation,5,682,80.58,11.2,70.76,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_tekisei+ls_shisu_juni+tenkai_kigo_code,class_code,kyori_tekisei,ls_shisu_juni,tenkai_kigo_code,3,678,78.25,6.75,70.61,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+uma_deokure_ritsu+ls_shisu_juni,kyori_kubun,kyori_tekisei,uma_deokure_ritsu,ls_shisu_juni,4,562,86.17,15.9,70.59,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+pace_shisu_juni+ichi_shisu_juni,pace_yoso,kyori_kubun,pace_shisu_juni,ichi_shisu_juni,4,472,84.76,14.46,70.59,False
