segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_04_ダ_新馬,kyakushitsu+uma_start_shisu+ls_shisu_juni+umakigo_code,kyakushitsu,uma_start_shisu,ls_shisu_juni,umakigo_code,3,414,88.12,11.36,75.26,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+rotation+uma_start_shisu+umakigo_code,kyori_kubun,rotation,uma_start_shisu,umakigo_code,3,371,80.38,5.52,74.14,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+kyakushitsu+uma_start_shisu+umakigo_code,kyori_kubun,kyakushitsu,uma_start_shisu,umakigo_code,5,1063,77.97,5.23,73.38,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+kyakushitsu+uma_start_shisu+omo_tekisei_code,kyori_kubun,kyakushitsu,uma_start_shisu,omo_tekisei_code,5,635,82.04,11.1,72.31,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+kyakushitsu+ichi_shisu_juni+umakigo_code,kyori_kubun,kyakushitsu,ichi_shisu_juni,umakigo_code,10,1106,80.02,13.07,71.92,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+uma_deokure_ritsu+kyakushitsu+uma_start_shisu,kyori_kubun,uma_deokure_ritsu,kyakushitsu,uma_start_shisu,3,445,78.78,6.21,71.75,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+uma_deokure_ritsu+uma_start_shisu+omo_tekisei_code,kyori_kubun,uma_deokure_ritsu,uma_start_shisu,omo_tekisei_code,4,442,79.24,8.77,70.64,False
KEIBAJO_SURFACE_04_ダ_新馬,uma_deokure_ritsu+uma_start_shisu+omo_tekisei_code+umakigo_code,uma_deokure_ritsu,uma_start_shisu,omo_tekisei_code,umakigo_code,3,510,79.84,8.38,70.37,False
KEIBAJO_SURFACE_04_ダ_新馬,rotation+hizume_code+omo_tekisei_code+umakigo_code,rotation,hizume_code,omo_tekisei_code,umakigo_code,3,356,76.64,5.87,70.0,False
KEIBAJO_SURFACE_04_ダ_新馬,rotation+kyakushitsu+omo_tekisei_code+umakigo_code,rotation,kyakushitsu,omo_tekisei_code,umakigo_code,6,724,77.25,9.18,69.9,False
KEIBAJO_SURFACE_04_ダ_新馬,kyori_kubun+uma_start_shisu+omo_tekisei_code+umakigo_code,kyori_kubun,uma_start_shisu,omo_tekisei_code,umakigo_code,7,1331,76.9,9.8,69.64,False
