factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_kubun,距離区分,code,4,1802,73.07,0.65,72.43,False
tenkai_kigo_code,展開記号,code,5,1802,75.64,4.04,72.1,False
uma_start_shisu_decile,馬スタート指数10分位,code,7,1731,72.73,3.73,69.96,False
ichi_shisu_juni,位置指数順位,numeric,10,1324,75.77,9.54,69.85,False
rotation_bin,ローテーションビン,code,6,1711,76.82,9.13,69.52,False
shiba_tekisei_code,芝適性,code,3,1759,89.34,17.99,68.98,False
ls_shisu_juni,LS指数順位,numeric,7,1743,74.47,7.87,68.64,False
kyakushitsu,脚質,code,4,1802,72.88,4.49,68.47,False
hizume_code,蹄コード,code,5,1374,75.69,8.28,68.43,False
kyori_tekisei,距離適性,code,3,1716,71.59,3.8,67.29,False
agari_shisu_juni,上がり指数順位,numeric,11,1421,73.36,10.43,67.2,False
ten_shisu_juni,テン指数順位,numeric,10,1320,72.53,9.24,66.8,False
bataiju_zogen,馬体重増減,numeric,8,1468,70.81,6.14,66.55,False
uma_deokure_bin,馬出遅率ビン,code,5,1802,70.67,5.25,66.07,False
manken_shirushi,万券印,code,8,1060,73.51,12.71,64.7,False
gekiso_juni,激走順位,numeric,11,1448,69.99,11.14,63.4,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,8,1647,70.84,11.23,63.06,False
pace_shisu_juni,ペース指数順位,numeric,11,1409,74.05,18.75,62.97,False
manken_shisu_decile,万券指数10分位,code,9,1707,72.35,14.57,62.83,False
omo_tekisei_code,重適性,code,3,1802,70.3,7.53,61.78,False
kyusha_shisu_decile,厩舎指数10分位,code,10,1802,68.59,11.77,61.29,False
joho_shisu_decile,情報指数10分位,code,6,1802,71.05,12.9,60.73,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,8,1688,68.15,11.39,60.26,False
ninki_shisu_decile,人気指数10分位,code,8,1724,68.37,12.28,59.86,False
chokyo_shisu_decile,調教指数10分位,code,9,1746,68.58,14.38,59.19,False
class_code,クラスコード,code,3,1694,70.93,11.0,58.48,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,10,1429,69.5,18.32,58.15,False
sogo_shisu_decile,総合指数10分位,code,4,1672,69.25,11.95,57.53,False
kishu_shisu_decile,騎手指数10分位,code,9,1731,66.55,14.16,57.3,False
idm_decile,IDM指数10分位,code,4,1710,67.73,13.68,54.32,False
