segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+uma_start_shisu_decile+kyakushitsu,tenkai_kigo_code,uma_start_shisu_decile,kyakushitsu,3,345,76.96,1.91,74.8,False
KEIBAJO_SURFACE_04_芝_未勝利,uma_start_shisu_decile+shiba_tekisei_code+kyakushitsu,uma_start_shisu_decile,shiba_tekisei_code,kyakushitsu,4,481,76.05,3.01,73.1,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+uma_deokure_bin+omo_tekisei_code,tenkai_kigo_code,uma_deokure_bin,omo_tekisei_code,3,433,73.75,1.26,72.33,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+kyakushitsu+kyori_tekisei,kyori_kubun,kyakushitsu,kyori_tekisei,5,768,76.45,6.55,70.71,False
KEIBAJO_SURFACE_04_芝_未勝利,rotation_bin+shiba_tekisei_code+uma_deokure_bin,rotation_bin,shiba_tekisei_code,uma_deokure_bin,3,410,71.34,1.97,69.11,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+uma_start_shisu_decile+shiba_tekisei_code,tenkai_kigo_code,uma_start_shisu_decile,shiba_tekisei_code,4,572,70.6,2.52,68.13,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+kyori_tekisei+omo_tekisei_code,kyori_kubun,kyori_tekisei,omo_tekisei_code,6,1112,75.07,9.23,67.69,False
KEIBAJO_SURFACE_04_芝_未勝利,kishu_kitai_rentai_decile+omo_tekisei_code+kishu_kitai_tansho_decile,kishu_kitai_rentai_decile,omo_tekisei_code,kishu_kitai_tansho_decile,3,335,75.79,7.89,66.86,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kishu_kitai_rentai_decile+kishu_kitai_tansho_decile,shiba_tekisei_code,kishu_kitai_rentai_decile,kishu_kitai_tansho_decile,6,908,73.4,8.37,66.7,False
KEIBAJO_SURFACE_04_芝_未勝利,uma_start_shisu_decile+shiba_tekisei_code+omo_tekisei_code,uma_start_shisu_decile,shiba_tekisei_code,omo_tekisei_code,4,542,75.7,9.74,66.16,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+omo_tekisei_code,tenkai_kigo_code,shiba_tekisei_code,omo_tekisei_code,3,866,69.64,3.65,65.5,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+kyori_tekisei+uma_deokure_bin,kyori_kubun,kyori_tekisei,uma_deokure_bin,5,677,75.82,11.88,65.41,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+kyakushitsu+uma_deokure_bin,tenkai_kigo_code,kyakushitsu,uma_deokure_bin,3,410,72.37,6.44,65.09,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+omo_tekisei_code+joho_shisu_decile,kyori_kubun,omo_tekisei_code,joho_shisu_decile,3,471,70.83,5.1,65.06,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyakushitsu+uma_deokure_bin,shiba_tekisei_code,kyakushitsu,uma_deokure_bin,3,554,70.58,4.93,64.99,False
