factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
bataiju_zogen,馬体重増減,numeric,6,954,79.49,7.68,73.35,False
ichi_shisu_juni,位置指数順位,numeric,4,424,78.56,5.36,73.3,False
agari_shisu_juni,上がり指数順位,numeric,5,546,77.14,7.44,70.62,False
pace_shisu_juni,ペース指数順位,numeric,6,626,75.41,6.4,70.29,False
hizume_code,蹄コード,code,6,1144,72.24,4.24,68.85,False
ten_shisu_juni,テン指数順位,numeric,5,524,76.2,8.73,68.54,False
kyori_tekisei,距離適性,code,3,1336,71.64,3.4,67.79,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,8,1315,71.91,6.21,67.61,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,8,1344,71.69,6.37,67.27,False
tenkai_kigo_code,展開記号,code,5,1424,75.18,9.28,67.05,False
kishu_shisu_decile,騎手指数10分位,code,8,1287,72.66,8.19,66.98,False
kyusha_shisu_decile,厩舎指数10分位,code,8,1299,74.05,11.38,66.17,False
kyakushitsu,脚質,code,4,1424,76.16,11.15,65.24,False
omo_tekisei_code,重適性,code,3,1422,70.09,4.36,65.16,False
joho_shisu_decile,情報指数10分位,code,6,1424,71.98,8.91,64.84,False
shiba_tekisei_code,芝適性,code,3,940,70.85,5.5,64.63,False
uma_deokure_bin,馬出遅率ビン,code,5,1422,71.69,8.73,64.04,False
manken_shisu_decile,万券指数10分位,code,5,1114,71.74,8.87,63.96,False
ls_shisu_juni,LS指数順位,numeric,7,1364,73.96,14.27,63.39,False
ninki_shisu_decile,人気指数10分位,code,8,1358,72.63,13.74,63.11,False
rotation_bin,ローテーションビン,code,5,1293,74.55,13.52,62.7,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,9,1015,71.35,13.81,62.32,False
uma_start_shisu_decile,馬スタート指数10分位,code,6,1243,74.07,14.75,62.27,False
kyori_tekisei_2,距離適性2,code,3,610,71.45,8.29,62.08,False
gekiso_juni,激走順位,numeric,7,759,70.21,11.78,61.48,False
manken_shirushi,万券印,code,4,429,78.21,19.88,58.72,False
chokyo_shisu_decile,調教指数10分位,code,8,1302,67.59,13.23,58.42,False
