segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_06_ダ_新馬,pace_shisu_juni+kijun_ninkijun_tansho,pace_shisu_juni,kijun_ninkijun_tansho,3,363,91.59,8.47,82.0,True
KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+umakigo_code,kishu_minarai_code,umakigo_code,4,1290,83.11,3.21,79.96,False
KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+tenkai_kigo_code,kishu_minarai_code,tenkai_kigo_code,5,1014,82.45,4.25,78.73,False
KEIBAJO_SURFACE_06_ダ_新馬,pace_shisu_juni+gekiso_juni,pace_shisu_juni,gekiso_juni,3,333,89.23,9.81,78.13,False
KEIBAJO_SURFACE_06_ダ_新馬,kijun_ninkijun_tansho+gekiso_juni,kijun_ninkijun_tansho,gekiso_juni,5,680,84.73,8.35,77.42,False
KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+class_code,kishu_minarai_code,class_code,3,1143,81.21,3.68,77.05,False
KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+kyusha_hyoka_code,kishu_minarai_code,kyusha_hyoka_code,3,1382,81.59,4.25,76.77,False
KEIBAJO_SURFACE_06_ダ_新馬,ichi_shisu_juni+rotation,ichi_shisu_juni,rotation,9,1112,84.0,11.95,76.2,False
KEIBAJO_SURFACE_06_ダ_新馬,gekiso_juni+rotation,gekiso_juni,rotation,12,1491,81.1,9.15,75.92,False
KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+omo_tekisei_code,kishu_minarai_code,omo_tekisei_code,8,1339,86.17,14.85,75.87,False
KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+kyori_kubun,kishu_minarai_code,kyori_kubun,6,1357,82.54,8.68,75.59,False
KEIBAJO_SURFACE_06_ダ_新馬,pace_shisu_juni+rotation,pace_shisu_juni,rotation,12,1522,80.18,10.49,74.24,False
KEIBAJO_SURFACE_06_ダ_新馬,uma_start_shisu+rotation,uma_start_shisu,rotation,12,2021,80.17,11.34,73.76,False
KEIBAJO_SURFACE_06_ダ_新馬,ichi_shisu_juni+pace_shisu_juni,ichi_shisu_juni,pace_shisu_juni,7,920,79.75,8.15,73.71,False
KEIBAJO_SURFACE_06_ダ_新馬,manken_shirushi+agari_shisu_juni,manken_shirushi,agari_shisu_juni,5,556,81.25,8.87,73.47,False
KEIBAJO_SURFACE_06_ダ_新馬,ten_shisu_juni+rotation,ten_shisu_juni,rotation,11,1286,80.45,12.09,73.3,False
KEIBAJO_SURFACE_06_ダ_新馬,hizume_code+rotation,hizume_code,rotation,20,3246,77.33,9.79,73.04,False
KEIBAJO_SURFACE_06_ダ_新馬,manken_shirushi+rotation,manken_shirushi,rotation,8,1035,79.81,9.91,72.94,False
KEIBAJO_SURFACE_06_ダ_新馬,idm+kyori_tekisei,idm,kyori_tekisei,15,1793,79.5,13.16,72.84,False
KEIBAJO_SURFACE_06_ダ_新馬,omo_tekisei_code+idm,omo_tekisei_code,idm,22,2603,78.19,12.92,72.79,False
KEIBAJO_SURFACE_06_ダ_新馬,manken_shirushi+tenkai_kigo_code,manken_shirushi,tenkai_kigo_code,18,4008,76.55,8.91,72.44,False
KEIBAJO_SURFACE_06_ダ_新馬,kyori_kubun+uma_deokure_ritsu,kyori_kubun,uma_deokure_ritsu,20,4984,76.67,10.07,72.26,False
KEIBAJO_SURFACE_06_ダ_新馬,kyakushitsu+nyukyu_nannichimae,kyakushitsu,nyukyu_nannichimae,8,867,78.24,8.86,72.1,False
KEIBAJO_SURFACE_06_ダ_新馬,ten_shisu_juni+pace_shisu_juni,ten_shisu_juni,pace_shisu_juni,7,970,81.3,12.42,72.1,False
KEIBAJO_SURFACE_06_ダ_新馬,manken_shisu+tenkai_kigo_code,manken_shisu,tenkai_kigo_code,22,2983,76.45,10.46,72.08,False
KEIBAJO_SURFACE_06_ダ_新馬,kyori_tekisei+rotation,kyori_tekisei,rotation,24,5471,75.78,9.4,72.02,False
KEIBAJO_SURFACE_06_ダ_新馬,agari_shisu_juni+rotation,agari_shisu_juni,rotation,15,1836,79.56,15.22,71.86,False
KEIBAJO_SURFACE_06_ダ_新馬,kijun_ninkijun_tansho+rotation,kijun_ninkijun_tansho,rotation,17,2200,77.52,11.93,71.85,False
KEIBAJO_SURFACE_06_ダ_新馬,ls_shisu_juni+rotation,ls_shisu_juni,rotation,25,4222,75.59,10.45,71.49,False
KEIBAJO_SURFACE_06_ダ_新馬,manken_shirushi+gekiso_juni,manken_shirushi,gekiso_juni,9,1254,78.26,10.43,71.44,False
KEIBAJO_SURFACE_06_ダ_新馬,uma_start_shisu+agari_shisu_juni,uma_start_shisu,agari_shisu_juni,13,1864,76.26,8.88,71.43,False
KEIBAJO_SURFACE_06_ダ_新馬,omo_tekisei_code+rotation,omo_tekisei_code,rotation,29,6594,75.21,10.39,71.42,False
KEIBAJO_SURFACE_06_ダ_新馬,kyori_kubun+kyusha_hyoka_code,kyori_kubun,kyusha_hyoka_code,5,8493,75.61,4.85,71.36,False
