segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_06_ダ_未勝利,uma_start_shisu_decile+ichi_shisu_juni,uma_start_shisu_decile,ichi_shisu_juni,4,454,87.88,8.84,79.22,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+umakigo_code,kyori_tekisei_2,umakigo_code,3,1373,79.84,5.02,74.16,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+kyori_tekisei,kyori_tekisei_2,kyori_tekisei,3,1434,79.02,4.76,73.63,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+manken_shisu_decile,kyori_tekisei_2,manken_shisu_decile,5,577,78.4,6.52,72.69,False
KEIBAJO_SURFACE_06_ダ_未勝利,manken_shisu_decile+chokyo_shisu_decile,manken_shisu_decile,chokyo_shisu_decile,7,834,76.82,6.52,71.99,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+idm_decile,kyori_tekisei_2,idm_decile,6,1126,77.42,7.04,71.79,False
KEIBAJO_SURFACE_06_ダ_未勝利,kishu_minarai_code+kyori_tekisei_2,kishu_minarai_code,kyori_tekisei_2,3,1382,77.13,4.79,71.72,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+manken_shirushi,kyakushitsu,manken_shirushi,8,857,79.94,12.27,71.44,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+omo_tekisei_code,kyori_tekisei_2,omo_tekisei_code,5,1300,79.84,9.66,71.37,False
KEIBAJO_SURFACE_06_ダ_未勝利,umakigo_code+kyori_tekisei,umakigo_code,kyori_tekisei,5,4040,72.05,1.07,71.11,False
KEIBAJO_SURFACE_06_ダ_未勝利,bataiju_zogen+manken_shisu_decile,bataiju_zogen,manken_shisu_decile,3,328,85.18,12.5,71.04,False
KEIBAJO_SURFACE_06_ダ_未勝利,kishu_minarai_code+umakigo_code,kishu_minarai_code,umakigo_code,4,4253,71.91,0.98,70.95,False
KEIBAJO_SURFACE_06_ダ_未勝利,kishu_minarai_code+kyori_kubun,kishu_minarai_code,kyori_kubun,4,4209,72.25,1.36,70.91,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+uma_deokure_bin,kyakushitsu,uma_deokure_bin,15,4126,73.95,6.4,70.71,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+sogo_shisu_decile,kyori_tekisei_2,sogo_shisu_decile,6,1030,78.14,9.46,70.57,False
KEIBAJO_SURFACE_06_ダ_未勝利,uma_deokure_bin+rotation_bin,uma_deokure_bin,rotation_bin,19,3654,74.78,9.46,70.53,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei+class_code,kyori_tekisei,class_code,7,4087,78.34,10.72,70.4,False
KEIBAJO_SURFACE_06_ダ_未勝利,bataiju_zogen+idm_decile,bataiju_zogen,idm_decile,15,2506,75.17,9.44,70.39,False
KEIBAJO_SURFACE_06_ダ_未勝利,omo_tekisei_code+ls_shisu_juni,omo_tekisei_code,ls_shisu_juni,15,3899,74.07,7.69,70.17,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+bataiju_zogen,kyakushitsu,bataiju_zogen,17,2668,73.93,7.99,70.13,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+uma_deokure_bin,kyori_tekisei_2,uma_deokure_bin,6,1010,75.7,6.99,70.1,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+kyori_tekisei,kyori_kubun,kyori_tekisei,6,4117,72.95,3.59,70.07,False
KEIBAJO_SURFACE_06_ダ_未勝利,umakigo_code+kyori_kubun,umakigo_code,kyori_kubun,5,4329,73.36,3.84,69.99,False
KEIBAJO_SURFACE_06_ダ_未勝利,omo_tekisei_code+rotation_bin,omo_tekisei_code,rotation_bin,14,4053,76.24,11.97,69.97,False
KEIBAJO_SURFACE_06_ダ_未勝利,manken_shirushi+rotation_bin,manken_shirushi,rotation_bin,3,359,71.88,1.69,69.97,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+kyakushitsu,kyori_kubun,kyakushitsu,11,4480,72.9,5.03,69.93,False
KEIBAJO_SURFACE_06_ダ_未勝利,omo_tekisei_code+kyori_tekisei,omo_tekisei_code,kyori_tekisei,9,4215,73.22,5.22,69.81,False
