factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_tekisei_2,距離適性2,code,3,959,78.22,4.2,73.46,False
kyori_kubun,距離区分,code,4,2216,72.95,0.77,72.19,False
uma_start_shisu,馬スタート指数,numeric,6,1549,78.07,7.64,71.95,False
agari_shisu_juni,上がり指数順位,numeric,13,2016,74.62,6.78,70.93,False
kyori_tekisei,距離適性,code,3,2106,72.98,3.61,68.89,False
ichi_shisu_juni,位置指数順位,numeric,12,1924,73.62,8.48,68.82,False
rotation,ローテーション,numeric,9,1666,74.72,9.75,68.35,False
gekiso_juni,激走順位,numeric,12,1943,74.59,11.93,67.84,False
manken_shirushi,万券印,code,8,1338,74.08,9.02,67.82,False
ls_shisu_juni,LS指数順位,numeric,7,2174,72.42,7.52,66.85,False
pace_shisu_juni,ペース指数順位,numeric,13,2014,72.42,12.66,65.54,False
omo_tekisei_code,重適性,code,3,2216,70.54,5.27,64.57,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,12,2025,70.08,11.69,63.47,False
tenkai_kigo_code,展開記号,code,5,2216,71.14,9.12,63.15,False
ten_shisu_juni,テン指数順位,numeric,13,1994,72.41,17.25,63.03,False
hizume_code,蹄コード,code,8,1973,73.75,15.8,62.8,False
kyakushitsu,脚質,code,4,2216,72.52,13.54,59.25,False
kishu_shisu,騎手指数,numeric,7,1188,65.64,16.79,53.2,False
