segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_07_ダ_新馬,nyukyu_nannichimae+omo_tekisei_code+umakigo_code,nyukyu_nannichimae,omo_tekisei_code,umakigo_code,3,303,88.39,2.78,85.24,True
KEIBAJO_SURFACE_07_ダ_新馬,kyusha_hyoka_code+uma_deokure_ritsu+kishu_kitai_tansho_ritsu,kyusha_hyoka_code,uma_deokure_ritsu,kishu_kitai_tansho_ritsu,3,441,90.91,7.78,82.1,True
KEIBAJO_SURFACE_07_ダ_新馬,uma_deokure_ritsu+kishu_shisu+kishu_kitai_tansho_ritsu,uma_deokure_ritsu,kishu_shisu,kishu_kitai_tansho_ritsu,3,464,88.12,6.02,81.31,True
KEIBAJO_SURFACE_07_ダ_新馬,ls_shisu_juni+uma_deokure_ritsu+kishu_kitai_tansho_ritsu,ls_shisu_juni,uma_deokure_ritsu,kishu_kitai_tansho_ritsu,3,347,88.73,6.93,80.89,True
KEIBAJO_SURFACE_07_ダ_新馬,uma_deokure_ritsu+umakigo_code+kishu_kitai_tansho_ritsu,uma_deokure_ritsu,umakigo_code,kishu_kitai_tansho_ritsu,3,390,86.3,5.93,79.59,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+tenkai_kigo_code+agari_shisu_juni,manken_shirushi,tenkai_kigo_code,agari_shisu_juni,4,512,84.3,4.94,79.45,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+gekiso_juni+kyori_tekisei,kyakushitsu,gekiso_juni,kyori_tekisei,6,710,83.4,5.25,79.2,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+manken_shisu+kyori_tekisei,kyori_kubun,manken_shisu,kyori_tekisei,3,310,89.87,11.36,77.01,False
KEIBAJO_SURFACE_07_ダ_新馬,hizume_code+tenkai_kigo_code+agari_shisu_juni,hizume_code,tenkai_kigo_code,agari_shisu_juni,17,2206,81.23,9.14,76.88,False
KEIBAJO_SURFACE_07_ダ_新馬,hizume_code+umakigo_code+agari_shisu_juni,hizume_code,umakigo_code,agari_shisu_juni,18,2286,80.34,8.59,76.37,False
KEIBAJO_SURFACE_07_ダ_新馬,hizume_code+omo_tekisei_code+rotation,hizume_code,omo_tekisei_code,rotation,6,882,80.46,5.64,75.95,False
KEIBAJO_SURFACE_07_ダ_新馬,kyuyo_riyu_bunrui_code+rotation+tenkai_kigo_code,kyuyo_riyu_bunrui_code,rotation,tenkai_kigo_code,3,349,78.26,2.23,75.73,False
KEIBAJO_SURFACE_07_ダ_新馬,omo_tekisei_code+gekiso_juni+kyori_tekisei,omo_tekisei_code,gekiso_juni,kyori_tekisei,13,1519,80.12,8.21,75.66,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+omo_tekisei_code+agari_shisu_juni,kyakushitsu,omo_tekisei_code,agari_shisu_juni,7,766,83.64,10.99,75.5,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+uma_deokure_ritsu+umakigo_code,manken_shirushi,uma_deokure_ritsu,umakigo_code,8,1291,81.5,8.88,75.35,False
KEIBAJO_SURFACE_07_ダ_新馬,hizume_code+umakigo_code+pace_shisu_juni,hizume_code,umakigo_code,pace_shisu_juni,17,2168,79.67,9.37,75.22,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+umakigo_code+gekiso_juni,manken_shirushi,umakigo_code,gekiso_juni,6,861,83.79,10.83,75.12,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+kyusha_hyoka_code+umakigo_code,manken_shirushi,kyusha_hyoka_code,umakigo_code,13,4259,80.7,10.99,74.73,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+uma_deokure_ritsu+umakigo_code,kyakushitsu,uma_deokure_ritsu,umakigo_code,9,2545,78.77,6.19,74.72,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+kyakushitsu+umakigo_code,manken_shirushi,kyakushitsu,umakigo_code,22,3913,78.3,8.65,74.69,False
KEIBAJO_SURFACE_07_ダ_新馬,uma_deokure_ritsu+kishu_shisu+tenkai_kigo_code,uma_deokure_ritsu,kishu_shisu,tenkai_kigo_code,3,436,89.93,13.52,74.63,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+omo_tekisei_code+umakigo_code,manken_shirushi,omo_tekisei_code,umakigo_code,24,4619,78.11,8.8,74.59,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+omo_tekisei_code+kyori_tekisei,manken_shirushi,omo_tekisei_code,kyori_tekisei,10,1140,79.67,8.2,74.59,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+kyakushitsu+gekiso_juni,kyori_kubun,kyakushitsu,gekiso_juni,10,1214,80.06,9.04,74.46,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+umakigo_code+kyori_tekisei,manken_shirushi,umakigo_code,kyori_tekisei,24,4525,78.15,10.01,74.15,False
KEIBAJO_SURFACE_07_ダ_新馬,omo_tekisei_code+agari_shisu_juni+kyori_tekisei,omo_tekisei_code,agari_shisu_juni,kyori_tekisei,8,912,79.46,7.78,74.07,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+kyusha_hyoka_code+gekiso_juni,manken_shirushi,kyusha_hyoka_code,gekiso_juni,5,699,80.8,7.75,74.01,False
KEIBAJO_SURFACE_07_ダ_新馬,ls_shisu_juni+kyusha_hyoka_code+omo_tekisei_code,ls_shisu_juni,kyusha_hyoka_code,omo_tekisei_code,21,7186,77.89,9.14,73.99,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+manken_shirushi+umakigo_code,kyori_kubun,manken_shirushi,umakigo_code,24,4624,78.01,10.27,73.9,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+hizume_code+umakigo_code,manken_shirushi,hizume_code,umakigo_code,17,2164,80.14,13.5,73.72,False
KEIBAJO_SURFACE_07_ダ_新馬,omo_tekisei_code+pace_shisu_juni+kyori_tekisei,omo_tekisei_code,pace_shisu_juni,kyori_tekisei,8,906,80.98,10.54,73.68,False
KEIBAJO_SURFACE_07_ダ_新馬,umakigo_code+rotation+ten_shisu_juni,umakigo_code,rotation,ten_shisu_juni,9,947,80.65,10.71,73.65,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+pace_shisu_juni+kyori_tekisei,kyori_kubun,pace_shisu_juni,kyori_tekisei,28,4329,76.15,6.77,73.64,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+umakigo_code+tenkai_kigo_code,manken_shirushi,umakigo_code,tenkai_kigo_code,16,3354,78.32,9.77,73.53,False
KEIBAJO_SURFACE_07_ダ_新馬,ichi_shisu_juni+omo_tekisei_code+umakigo_code,ichi_shisu_juni,omo_tekisei_code,umakigo_code,37,6334,75.38,6.23,73.38,False
KEIBAJO_SURFACE_07_ダ_新馬,hizume_code+umakigo_code+ten_shisu_juni,hizume_code,umakigo_code,ten_shisu_juni,17,2168,77.99,9.76,73.35,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+umakigo_code+rotation,manken_shirushi,umakigo_code,rotation,8,867,80.71,10.67,73.32,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+manken_shirushi+uma_start_shisu,kyori_kubun,manken_shirushi,uma_start_shisu,6,655,82.57,11.56,73.32,False
KEIBAJO_SURFACE_07_ダ_新馬,umakigo_code+rotation+gekiso_juni,umakigo_code,rotation,gekiso_juni,14,1507,80.54,13.83,73.3,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+ten_shisu_juni+kyori_tekisei,kyakushitsu,ten_shisu_juni,kyori_tekisei,12,1349,78.87,9.87,73.29,False
KEIBAJO_SURFACE_07_ダ_新馬,omo_tekisei_code+umakigo_code+rotation,omo_tekisei_code,umakigo_code,rotation,19,4520,77.8,10.2,73.22,False
KEIBAJO_SURFACE_07_ダ_新馬,uma_start_shisu+uma_deokure_ritsu+gekiso_juni,uma_start_shisu,uma_deokure_ritsu,gekiso_juni,4,435,82.29,9.32,73.16,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+umakigo_code+pace_shisu_juni,kyori_kubun,umakigo_code,pace_shisu_juni,37,6397,75.57,7.6,73.12,False
KEIBAJO_SURFACE_07_ダ_新馬,uma_start_shisu+umakigo_code+kyori_tekisei,uma_start_shisu,umakigo_code,kyori_tekisei,20,5038,78.04,11.22,73.12,False
KEIBAJO_SURFACE_07_ダ_新馬,ichi_shisu_juni+umakigo_code+kyori_tekisei,ichi_shisu_juni,umakigo_code,kyori_tekisei,38,6160,76.27,9.92,73.12,False
KEIBAJO_SURFACE_07_ダ_新馬,kyuyo_riyu_bunrui_code+tenkai_kigo_code+agari_shisu_juni,kyuyo_riyu_bunrui_code,tenkai_kigo_code,agari_shisu_juni,3,419,75.12,1.83,73.06,False
KEIBAJO_SURFACE_07_ダ_新馬,ichi_shisu_juni+omo_tekisei_code+kyori_tekisei,ichi_shisu_juni,omo_tekisei_code,kyori_tekisei,9,1033,79.02,9.22,72.99,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+umakigo_code+rotation,kyori_kubun,umakigo_code,rotation,21,4711,77.7,11.04,72.98,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+ichi_shisu_juni+omo_tekisei_code,kyori_kubun,ichi_shisu_juni,omo_tekisei_code,14,1735,76.64,7.01,72.97,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+manken_shirushi+kyakushitsu,kyori_kubun,manken_shirushi,kyakushitsu,10,1193,78.09,8.27,72.96,False
KEIBAJO_SURFACE_07_ダ_新馬,umakigo_code+pace_shisu_juni+kyori_tekisei,umakigo_code,pace_shisu_juni,kyori_tekisei,35,5953,75.89,9.06,72.89,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+manken_shirushi+kyori_tekisei,kyori_kubun,manken_shirushi,kyori_tekisei,22,3842,77.35,11.0,72.75,False
KEIBAJO_SURFACE_07_ダ_新馬,rotation+tenkai_kigo_code+agari_shisu_juni,rotation,tenkai_kigo_code,agari_shisu_juni,14,1727,77.88,9.87,72.71,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+manken_shirushi+omo_tekisei_code,kyori_kubun,manken_shirushi,omo_tekisei_code,14,1693,77.57,9.51,72.58,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+uma_start_shisu+omo_tekisei_code,kyakushitsu,uma_start_shisu,omo_tekisei_code,16,3158,79.42,13.99,72.56,False
KEIBAJO_SURFACE_07_ダ_新馬,umakigo_code+rotation+kyori_tekisei,umakigo_code,rotation,kyori_tekisei,18,4191,76.61,8.8,72.55,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+uma_deokure_ritsu+hizume_code,kyakushitsu,uma_deokure_ritsu,hizume_code,7,1174,76.05,4.74,72.53,False
KEIBAJO_SURFACE_07_ダ_新馬,omo_tekisei_code+umakigo_code+idm,omo_tekisei_code,umakigo_code,idm,12,1403,80.3,13.82,72.48,False
KEIBAJO_SURFACE_07_ダ_新馬,kyori_kubun+ls_shisu_juni+kyusha_hyoka_code,kyori_kubun,ls_shisu_juni,kyusha_hyoka_code,20,7133,76.66,9.54,72.48,False
KEIBAJO_SURFACE_07_ダ_新馬,ichi_shisu_juni+umakigo_code+pace_shisu_juni,ichi_shisu_juni,umakigo_code,pace_shisu_juni,6,775,75.86,4.26,72.46,False
KEIBAJO_SURFACE_07_ダ_新馬,manken_shirushi+kyusha_hyoka_code+uma_deokure_ritsu,manken_shirushi,kyusha_hyoka_code,uma_deokure_ritsu,8,1143,78.4,8.62,72.42,False
KEIBAJO_SURFACE_07_ダ_新馬,uma_start_shisu+gekiso_juni+kyori_tekisei,uma_start_shisu,gekiso_juni,kyori_tekisei,5,567,80.62,9.37,72.41,False
KEIBAJO_SURFACE_07_ダ_新馬,kyakushitsu+pace_shisu_juni+kyori_tekisei,kyakushitsu,pace_shisu_juni,kyori_tekisei,8,886,80.02,11.04,72.37,False
