segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_07_芝_条件戦,ichi_shisu_juni+ten_shisu_juni+agari_shisu_juni,ichi_shisu_juni,ten_shisu_juni,agari_shisu_juni,3,395,90.19,1.3,88.71,True
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+omo_tekisei_code+agari_shisu_juni,uma_deokure_ritsu,omo_tekisei_code,agari_shisu_juni,4,429,85.25,1.85,83.43,True
KEIBAJO_SURFACE_07_芝_条件戦,tenkai_kigo_code+agari_shisu_juni+kijun_ninkijun_tansho,tenkai_kigo_code,agari_shisu_juni,kijun_ninkijun_tansho,3,408,87.08,5.43,80.94,True
KEIBAJO_SURFACE_07_芝_条件戦,pace_shisu_juni+ichi_shisu_juni+agari_shisu_juni,pace_shisu_juni,ichi_shisu_juni,agari_shisu_juni,3,441,87.59,6.07,80.73,True
KEIBAJO_SURFACE_07_芝_条件戦,uma_start_shisu+omo_tekisei_code+kijun_ninkijun_tansho,uma_start_shisu,omo_tekisei_code,kijun_ninkijun_tansho,4,434,86.0,5.41,80.69,True
KEIBAJO_SURFACE_07_芝_条件戦,pace_shisu_juni+ichi_shisu+agari_shisu_juni,pace_shisu_juni,ichi_shisu,agari_shisu_juni,3,436,88.19,7.48,79.73,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_shisu_juni+kyakushitsu+agari_shisu_juni,pace_shisu_juni,kyakushitsu,agari_shisu_juni,3,436,88.19,7.48,79.73,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+ten_shisu_juni,pace_yoso,omo_tekisei_code,ten_shisu_juni,4,444,91.93,13.04,79.15,False
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+tenkai_kigo_code+agari_shisu_juni,omo_tekisei_code,tenkai_kigo_code,agari_shisu_juni,18,3017,80.91,5.72,78.27,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+agari_shisu_juni,pace_yoso,omo_tekisei_code,agari_shisu_juni,8,865,83.3,8.25,77.59,False
KEIBAJO_SURFACE_07_芝_条件戦,manken_shirushi+tenkai_kigo_code+agari_shisu_juni,manken_shirushi,tenkai_kigo_code,agari_shisu_juni,3,359,84.97,6.98,77.08,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+omo_tekisei_code+gekiso_juni,kyori_tekisei,omo_tekisei_code,gekiso_juni,4,447,83.1,6.26,76.97,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+hizume_code+kyori_tekisei,pace_yoso,hizume_code,kyori_tekisei,8,1542,80.47,5.17,76.89,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+kyori_tekisei+omo_tekisei_code,hizume_code,kyori_tekisei,omo_tekisei_code,11,2554,82.0,9.79,76.21,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_start_shisu+omo_tekisei_code+ichi_shisu_juni,uma_start_shisu,omo_tekisei_code,ichi_shisu_juni,4,472,84.98,9.14,76.02,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_shisu_juni+tenkai_kigo_code+agari_shisu_juni,pace_shisu_juni,tenkai_kigo_code,agari_shisu_juni,3,358,83.63,6.9,75.83,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyakushitsu+gekiso_juni,uma_deokure_ritsu,kyakushitsu,gekiso_juni,4,439,81.03,5.56,75.58,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+hizume_code+omo_tekisei_code,pace_yoso,hizume_code,omo_tekisei_code,14,3207,79.65,7.97,75.47,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+tenkai_kigo_code+agari_shisu_juni,hizume_code,tenkai_kigo_code,agari_shisu_juni,7,944,81.88,9.27,75.01,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+tenkai_kigo_code+agari_shisu_juni,uma_deokure_ritsu,tenkai_kigo_code,agari_shisu_juni,11,1639,78.94,6.77,74.94,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+manken_shirushi+ichi_shisu,pace_yoso,manken_shirushi,ichi_shisu,6,762,79.23,5.53,74.8,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+manken_shirushi+kyakushitsu,pace_yoso,manken_shirushi,kyakushitsu,6,742,78.88,5.12,74.78,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+manken_shirushi+omo_tekisei_code,pace_yoso,manken_shirushi,omo_tekisei_code,8,882,84.74,14.78,74.49,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+gekiso_juni,pace_yoso,omo_tekisei_code,gekiso_juni,9,989,82.4,12.22,74.42,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyori_kubun+ten_shisu_juni,uma_deokure_ritsu,kyori_kubun,ten_shisu_juni,3,340,81.02,5.85,74.4,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+omo_tekisei_code+gekiso_juni,hizume_code,omo_tekisei_code,gekiso_juni,5,650,78.21,4.37,74.38,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+kyori_tekisei+kyakushitsu,hizume_code,kyori_tekisei,kyakushitsu,8,1372,80.87,9.53,74.27,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+tenkai_kigo_code+agari_shisu_juni,pace_yoso,tenkai_kigo_code,agari_shisu_juni,20,3165,78.62,10.3,74.11,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+manken_shirushi+kyori_tekisei,kyori_kubun,manken_shirushi,kyori_tekisei,14,1687,78.49,8.37,74.1,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+manken_shirushi+kyori_tekisei,pace_yoso,manken_shirushi,kyori_tekisei,11,1441,77.11,5.32,73.97,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+manken_shirushi+ichi_shisu_juni,pace_yoso,manken_shirushi,ichi_shisu_juni,7,971,79.44,7.39,73.96,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+hizume_code+kyori_tekisei,kyori_kubun,hizume_code,kyori_tekisei,9,1872,78.89,7.6,73.93,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_tekisei+omo_tekisei_code,pace_yoso,kyori_tekisei,omo_tekisei_code,20,4272,76.71,6.5,73.86,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+gekiso_juni,kyori_kubun,kyori_tekisei,gekiso_juni,16,2027,79.52,11.63,73.82,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+manken_shirushi+tenkai_kigo_code,pace_yoso,manken_shirushi,tenkai_kigo_code,6,658,77.53,4.7,73.77,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+omo_tekisei_code,kyori_kubun,kyori_tekisei,omo_tekisei_code,16,3957,77.56,8.14,73.57,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyakushitsu+ichi_shisu_juni,uma_deokure_ritsu,kyakushitsu,ichi_shisu_juni,6,859,78.0,5.63,73.49,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+agari_shisu_juni,pace_yoso,kyori_kubun,agari_shisu_juni,17,2333,77.85,9.65,73.26,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+uma_start_shisu,pace_yoso,kyori_kubun,uma_start_shisu,7,1655,77.67,5.96,73.25,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+hizume_code+uma_start_shisu,kyori_kubun,hizume_code,uma_start_shisu,5,983,79.44,7.06,73.25,False
