segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_08_芝_未勝利,omo_tekisei_code+agari_shisu_juni+shiba_tekisei_code+tenkai_kigo_code,omo_tekisei_code,agari_shisu_juni,shiba_tekisei_code,tenkai_kigo_code,5,629,78.69,5.36,73.99,False
KEIBAJO_SURFACE_08_芝_未勝利,kyakushitsu+agari_shisu_juni+shiba_tekisei_code+tenkai_kigo_code,kyakushitsu,agari_shisu_juni,shiba_tekisei_code,tenkai_kigo_code,4,462,83.75,12.65,71.35,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_kubun+kyakushitsu+omo_tekisei_code+shiba_tekisei_code,kyori_kubun,kyakushitsu,omo_tekisei_code,shiba_tekisei_code,5,641,74.35,3.92,70.91,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_kubun+kyori_tekisei+kyori_tekisei_2+shiba_tekisei_code,kyori_kubun,kyori_tekisei,kyori_tekisei_2,shiba_tekisei_code,5,803,75.31,5.94,70.1,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_kubun+kyori_tekisei+kyakushitsu+shiba_tekisei_code,kyori_kubun,kyori_tekisei,kyakushitsu,shiba_tekisei_code,8,1110,75.14,7.94,69.64,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_kubun+kyakushitsu+shiba_tekisei_code+tenkai_kigo_code,kyori_kubun,kyakushitsu,shiba_tekisei_code,tenkai_kigo_code,6,871,72.12,3.54,69.29,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_tekisei+kyori_tekisei_2+shiba_tekisei_code+tenkai_kigo_code,kyori_tekisei,kyori_tekisei_2,shiba_tekisei_code,tenkai_kigo_code,3,499,76.18,6.33,69.02,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_tekisei+kyakushitsu+omo_tekisei_code+shiba_tekisei_code,kyori_tekisei,kyakushitsu,omo_tekisei_code,shiba_tekisei_code,8,1119,74.16,8.54,68.24,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_tekisei+kyakushitsu+shiba_tekisei_code+tenkai_kigo_code,kyori_tekisei,kyakushitsu,shiba_tekisei_code,tenkai_kigo_code,8,1221,75.24,10.39,68.04,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_kubun+kyori_tekisei+omo_tekisei_code+shiba_tekisei_code,kyori_kubun,kyori_tekisei,omo_tekisei_code,shiba_tekisei_code,9,1549,71.23,6.09,67.25,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_kubun+kyori_tekisei+shiba_tekisei_code+tenkai_kigo_code,kyori_kubun,kyori_tekisei,shiba_tekisei_code,tenkai_kigo_code,7,1229,73.39,9.16,66.6,False
KEIBAJO_SURFACE_08_芝_未勝利,kyori_tekisei+omo_tekisei_code+shiba_tekisei_code+tenkai_kigo_code,kyori_tekisei,omo_tekisei_code,shiba_tekisei_code,tenkai_kigo_code,8,1301,74.61,12.01,66.29,False
