factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_tekisei_2,距離適性2,code,3,792,81.93,6.1,75.03,False
pace_yoso,ペース予想,code,3,4951,73.54,0.98,72.43,False
manken_shisu,万券指数,numeric,23,3184,76.27,10.1,72.14,False
kyori_kubun,距離区分,code,4,4951,73.15,1.07,72.1,False
hizume_code,蹄コード,code,8,4622,74.67,3.92,71.95,False
class_code,クラスコード,code,6,4845,77.9,7.63,71.8,False
rotation,ローテーション,numeric,12,4152,75.42,7.94,70.93,False
tenkai_kigo_code,展開記号,code,5,4951,74.4,4.24,70.68,False
kyakushitsu,脚質,code,4,4951,73.1,3.05,70.11,False
manken_shirushi,万券印,code,8,3229,74.66,6.84,69.91,False
uma_deokure_ritsu,馬出遅率,numeric,9,3426,72.82,5.21,69.42,False
uma_start_shisu,馬スタート指数,numeric,12,4427,73.93,8.19,69.3,False
ichi_shisu_juni,位置指数順位,numeric,14,4703,72.01,6.91,68.39,False
ten_shisu_juni,テン指数順位,numeric,15,4780,73.34,10.0,68.28,False
agari_shisu_juni,上がり指数順位,numeric,14,4743,75.17,13.83,67.93,False
idm,IDM指数,numeric,15,2682,72.81,11.88,66.8,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,12,4693,72.13,9.66,66.67,False
gekiso_juni,激走順位,numeric,14,4789,71.1,9.4,66.17,False
umakigo_code,馬記号,code,3,4943,71.31,4.66,66.03,False
pace_shisu_juni,ペース指数順位,numeric,14,4706,69.86,9.57,64.84,False
nyukyu_nannichimae,入厩何日前,numeric,8,1354,71.45,10.54,64.15,False
kishu_shisu,騎手指数,numeric,17,3966,69.63,11.88,63.98,False
ls_shisu_juni,LS指数順位,numeric,9,4930,69.46,10.29,62.73,False
joho_shisu,情報指数,numeric,7,2297,70.62,14.48,59.89,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,5,1026,68.79,10.31,59.75,False
omo_tekisei_code,重適性,code,3,4928,69.62,10.01,58.29,False
shiba_tekisei_code,芝適性,code,3,4815,73.41,17.97,53.08,False
kyori_tekisei,距離適性,code,4,4887,66.35,14.47,52.18,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,5,655,54.76,17.06,39.81,False
