segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+ten_shisu_juni,manken_shirushi,ten_shisu_juni,5,564,85.43,6.16,80.03,True
KEIBAJO_SURFACE_09_芝_条件戦,gekiso_juni+agari_shisu_juni,gekiso_juni,agari_shisu_juni,8,1002,85.61,8.32,79.85,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+ninki_shisu_decile,manken_shirushi,ninki_shisu_decile,19,2515,82.77,9.02,78.72,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+pace_shisu_juni,manken_shirushi,pace_shisu_juni,3,392,86.03,7.12,77.97,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_shisu_juni+gekiso_juni,pace_shisu_juni,gekiso_juni,6,874,84.63,8.37,77.93,False
KEIBAJO_SURFACE_09_芝_条件戦,gekiso_juni+kyusha_shisu_decile,gekiso_juni,kyusha_shisu_decile,17,2633,82.03,9.68,77.43,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kijun_ninkijun_tansho,manken_shirushi,kijun_ninkijun_tansho,12,1507,81.0,7.4,76.81,False
KEIBAJO_SURFACE_09_芝_条件戦,ten_shisu_juni+gekiso_juni,ten_shisu_juni,gekiso_juni,7,854,86.14,13.52,76.12,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+agari_shisu_juni,manken_shirushi,agari_shisu_juni,7,955,81.78,7.82,75.99,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kishu_minarai_code,manken_shirushi,kishu_minarai_code,8,5129,78.61,3.91,75.9,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+pace_yoso,manken_shirushi,pace_yoso,20,5265,78.48,6.53,75.62,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kyakushitsu,manken_shirushi,kyakushitsu,29,4931,79.03,9.65,75.51,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shisu_decile+agari_shisu_juni,manken_shisu_decile,agari_shisu_juni,14,1539,81.56,12.38,75.08,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kyusha_shisu_decile,manken_shirushi,kyusha_shisu_decile,23,2839,80.4,13.36,74.94,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+gekiso_juni,manken_shirushi,gekiso_juni,13,1847,80.22,9.71,74.94,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+hizume_code,pace_yoso,hizume_code,13,4463,79.73,9.56,74.54,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+tenkai_kigo_code,hizume_code,tenkai_kigo_code,13,4128,79.67,9.52,74.49,False
KEIBAJO_SURFACE_09_芝_条件戦,gekiso_juni+kishu_kitai_rentai_decile,gekiso_juni,kishu_kitai_rentai_decile,21,3223,78.43,9.47,74.37,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+class_code,manken_shirushi,class_code,12,3296,78.77,8.11,74.18,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+kishu_minarai_code,hizume_code,kishu_minarai_code,8,4484,79.65,7.9,74.17,False
KEIBAJO_SURFACE_09_芝_条件戦,bataiju_zogen+tenkai_kigo_code,bataiju_zogen,tenkai_kigo_code,14,3569,78.45,8.27,74.12,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+rotation_bin,manken_shirushi,rotation_bin,10,1317,81.43,11.8,74.11,False
KEIBAJO_SURFACE_09_芝_条件戦,gekiso_juni+kijun_ninkijun_tansho,gekiso_juni,kijun_ninkijun_tansho,16,2206,79.05,10.29,74.01,False
KEIBAJO_SURFACE_09_芝_条件戦,bataiju_zogen+kyakushitsu,bataiju_zogen,kyakushitsu,20,3821,78.6,10.75,73.89,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+kyusha_hyoka_code,hizume_code,kyusha_hyoka_code,8,4717,79.13,7.59,73.87,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+pace_shisu_juni,rotation_bin,pace_shisu_juni,11,1339,77.63,6.39,73.85,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kyori_tekisei,manken_shirushi,kyori_tekisei,24,5287,76.74,7.46,73.75,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+chokyo_shisu_decile,manken_shirushi,chokyo_shisu_decile,24,3041,79.01,13.15,73.75,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+omo_tekisei_code,manken_shirushi,omo_tekisei_code,16,3769,77.41,7.62,73.67,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kyori_kubun,manken_shirushi,kyori_kubun,16,4732,77.2,7.27,73.63,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+kyusha_hyoka_code,manken_shirushi,kyusha_hyoka_code,8,5036,76.15,3.79,73.52,False
KEIBAJO_SURFACE_09_芝_条件戦,bataiju+kishu_minarai_code,bataiju,kishu_minarai_code,37,6022,76.68,9.88,73.5,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+hizume_code,kyori_kubun,hizume_code,16,4584,77.7,8.99,73.3,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+tenkai_kigo_code,manken_shirushi,tenkai_kigo_code,27,5067,76.6,8.99,73.21,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+omo_tekisei_code,pace_yoso,omo_tekisei_code,7,5593,75.36,2.9,73.21,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+pace_yoso,kyori_kubun,pace_yoso,11,8507,74.16,1.63,73.2,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+sogo_shisu_decile,manken_shirushi,sogo_shisu_decile,28,3712,77.91,12.94,73.11,False
KEIBAJO_SURFACE_09_芝_条件戦,agari_shisu_juni+kyusha_shisu_decile,agari_shisu_juni,kyusha_shisu_decile,19,3063,78.63,12.3,73.1,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+bataiju_zogen,pace_yoso,bataiju_zogen,20,4393,77.7,10.48,73.1,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+idm_decile,manken_shirushi,idm_decile,29,4350,77.26,11.55,73.06,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+kishu_minarai_code,rotation_bin,kishu_minarai_code,6,4683,76.91,4.94,72.96,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+bataiju_zogen,omo_tekisei_code,bataiju_zogen,18,4761,76.63,8.05,72.92,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_tekisei+bataiju_zogen,kyori_tekisei,bataiju_zogen,15,3554,76.82,7.74,72.91,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+kyakushitsu,hizume_code,kyakushitsu,15,4227,77.32,8.84,72.84,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+uma_start_shisu_decile,pace_yoso,uma_start_shisu_decile,15,4909,77.75,9.8,72.79,False
KEIBAJO_SURFACE_09_芝_条件戦,uma_start_shisu_decile+kyakushitsu,uma_start_shisu_decile,kyakushitsu,15,4715,77.16,8.72,72.75,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+bataiju_zogen,rotation_bin,bataiju_zogen,17,2743,77.57,10.36,72.64,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+ten_shisu_juni,omo_tekisei_code,ten_shisu_juni,28,4971,75.7,8.28,72.63,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+kyori_tekisei,hizume_code,kyori_tekisei,16,4418,76.36,7.66,72.6,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+omo_tekisei_code,hizume_code,omo_tekisei_code,9,4724,77.78,7.96,72.58,False
KEIBAJO_SURFACE_09_芝_条件戦,uma_start_shisu_decile+omo_tekisei_code,uma_start_shisu_decile,omo_tekisei_code,14,5271,77.41,9.27,72.55,False
