segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_10_芝_未勝利,kishu_shisu_decile+sogo_shisu_decile,kishu_shisu_decile,sogo_shisu_decile,3,377,82.0,4.78,76.59,False
KEIBAJO_SURFACE_10_芝_未勝利,chokyo_shisu_decile+sogo_shisu_decile,chokyo_shisu_decile,sogo_shisu_decile,4,453,81.08,5.31,75.87,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+joho_shisu_decile,kyori_kubun,joho_shisu_decile,3,840,79.58,3.85,75.22,False
KEIBAJO_SURFACE_10_芝_未勝利,chokyo_shisu_decile+joho_shisu_decile,chokyo_shisu_decile,joho_shisu_decile,6,878,78.89,7.9,72.57,False
KEIBAJO_SURFACE_10_芝_未勝利,ls_shisu_juni+tenkai_kigo_code,ls_shisu_juni,tenkai_kigo_code,4,962,76.09,3.8,72.37,False
KEIBAJO_SURFACE_10_芝_未勝利,kishu_kitai_rentai_decile+sogo_shisu_decile,kishu_kitai_rentai_decile,sogo_shisu_decile,4,516,77.99,6.6,71.53,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+ninki_shisu_decile,kyori_kubun,ninki_shisu_decile,4,428,75.39,4.19,71.28,False
KEIBAJO_SURFACE_10_芝_未勝利,chokyo_shisu_decile+idm_decile,chokyo_shisu_decile,idm_decile,4,428,73.55,2.76,70.85,False
KEIBAJO_SURFACE_10_芝_未勝利,joho_shisu_decile+sogo_shisu_decile,joho_shisu_decile,sogo_shisu_decile,7,1155,80.22,14.13,69.75,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+shiba_tekisei_code,kyori_kubun,shiba_tekisei_code,3,1466,71.02,1.19,69.68,False
KEIBAJO_SURFACE_10_芝_未勝利,ten_shisu_juni+shiba_tekisei_code,ten_shisu_juni,shiba_tekisei_code,8,888,75.8,8.99,69.57,False
KEIBAJO_SURFACE_10_芝_未勝利,kyusha_shisu_decile+tenkai_kigo_code,kyusha_shisu_decile,tenkai_kigo_code,4,535,76.5,7.09,69.54,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+idm_decile,kyori_kubun,idm_decile,6,1306,71.59,3.36,68.9,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+kyori_tekisei,kyori_kubun,kyori_tekisei,5,1670,72.44,4.2,68.76,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+bataiju_zogen,kyori_kubun,bataiju_zogen,5,553,75.88,8.23,68.67,False
KEIBAJO_SURFACE_10_芝_未勝利,bataiju_zogen+omo_tekisei_code,bataiju_zogen,omo_tekisei_code,4,456,75.35,6.85,68.64,False
KEIBAJO_SURFACE_10_芝_未勝利,kyakushitsu+uma_deokure_bin,kyakushitsu,uma_deokure_bin,7,1104,72.31,5.47,68.26,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+tenkai_kigo_code,kyori_kubun,tenkai_kigo_code,6,1376,71.58,4.3,68.13,False
KEIBAJO_SURFACE_10_芝_未勝利,ninki_shisu_decile+sogo_shisu_decile,ninki_shisu_decile,sogo_shisu_decile,5,591,75.17,8.11,68.06,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+uma_deokure_bin,kyori_kubun,uma_deokure_bin,7,1340,72.13,5.56,68.01,False
KEIBAJO_SURFACE_10_芝_未勝利,joho_shisu_decile+tenkai_kigo_code,joho_shisu_decile,tenkai_kigo_code,4,834,75.44,7.68,67.91,False
KEIBAJO_SURFACE_10_芝_未勝利,ls_shisu_juni+shiba_tekisei_code,ls_shisu_juni,shiba_tekisei_code,5,1373,70.96,3.73,67.7,False
KEIBAJO_SURFACE_10_芝_未勝利,uma_deokure_bin+tenkai_kigo_code,uma_deokure_bin,tenkai_kigo_code,6,1141,75.06,9.48,67.48,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+tenkai_kigo_code,kyori_tekisei,tenkai_kigo_code,5,1194,71.56,4.72,67.42,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+omo_tekisei_code,kyori_kubun,omo_tekisei_code,7,1684,73.4,8.3,67.25,False
KEIBAJO_SURFACE_10_芝_未勝利,idm_decile+tenkai_kigo_code,idm_decile,tenkai_kigo_code,4,994,71.26,4.48,66.87,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+shiba_tekisei_code,kyori_tekisei,shiba_tekisei_code,3,1433,71.17,3.82,66.85,False
KEIBAJO_SURFACE_10_芝_未勝利,pace_shisu_juni+shiba_tekisei_code,pace_shisu_juni,shiba_tekisei_code,8,891,74.23,10.65,66.85,False
KEIBAJO_SURFACE_10_芝_未勝利,uma_start_shisu_decile+shiba_tekisei_code,uma_start_shisu_decile,shiba_tekisei_code,7,1430,73.53,9.04,66.84,False
KEIBAJO_SURFACE_10_芝_未勝利,joho_shisu_decile+idm_decile,joho_shisu_decile,idm_decile,7,1125,71.64,6.54,66.79,False
KEIBAJO_SURFACE_10_芝_未勝利,ninki_shisu_decile+joho_shisu_decile,ninki_shisu_decile,joho_shisu_decile,5,755,72.58,6.97,66.47,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+kyusha_shisu_decile,kyori_kubun,kyusha_shisu_decile,5,579,75.48,10.44,66.33,False
KEIBAJO_SURFACE_10_芝_未勝利,chokyo_shisu_decile+shiba_tekisei_code,chokyo_shisu_decile,shiba_tekisei_code,9,1368,73.72,11.37,66.29,False
KEIBAJO_SURFACE_10_芝_未勝利,chokyo_shisu_decile+tenkai_kigo_code,chokyo_shisu_decile,tenkai_kigo_code,5,586,83.95,20.36,66.1,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+omo_tekisei_code,kyori_tekisei,omo_tekisei_code,6,1481,73.86,9.81,66.01,False
KEIBAJO_SURFACE_10_芝_未勝利,kyakushitsu+sogo_shisu_decile,kyakushitsu,sogo_shisu_decile,7,986,71.64,7.63,65.99,False
KEIBAJO_SURFACE_10_芝_未勝利,bataiju_zogen+tenkai_kigo_code,bataiju_zogen,tenkai_kigo_code,5,618,75.67,11.05,65.98,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_kubun+uma_start_shisu_decile,kyori_kubun,uma_start_shisu_decile,5,925,77.79,13.61,65.86,False
KEIBAJO_SURFACE_10_芝_未勝利,sogo_shisu_decile+kishu_kitai_tansho_decile,sogo_shisu_decile,kishu_kitai_tansho_decile,6,745,75.9,12.77,65.68,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+uma_deokure_bin,kyori_tekisei,uma_deokure_bin,8,1263,71.23,8.02,65.68,False
KEIBAJO_SURFACE_10_芝_未勝利,manken_shisu_decile+omo_tekisei_code,manken_shisu_decile,omo_tekisei_code,7,938,76.34,14.45,65.64,False
KEIBAJO_SURFACE_10_芝_未勝利,idm_decile+kishu_kitai_tansho_decile,idm_decile,kishu_kitai_tansho_decile,5,585,73.43,8.93,65.6,False
KEIBAJO_SURFACE_10_芝_未勝利,kyakushitsu+shiba_tekisei_code,kyakushitsu,shiba_tekisei_code,4,1466,70.44,5.06,65.49,False
KEIBAJO_SURFACE_10_芝_未勝利,manken_shisu_decile+idm_decile,manken_shisu_decile,idm_decile,5,618,72.68,8.23,65.47,False
KEIBAJO_SURFACE_10_芝_未勝利,shiba_tekisei_code+idm_decile,shiba_tekisei_code,idm_decile,4,1391,69.94,4.68,65.36,False
KEIBAJO_SURFACE_10_芝_未勝利,ninki_shisu_decile+kishu_kitai_tansho_decile,ninki_shisu_decile,kishu_kitai_tansho_decile,5,655,70.06,5.54,65.2,False
KEIBAJO_SURFACE_10_芝_未勝利,uma_start_shisu_decile+tenkai_kigo_code,uma_start_shisu_decile,tenkai_kigo_code,3,698,80.5,13.69,65.01,False
KEIBAJO_SURFACE_10_芝_未勝利,hizume_code+tenkai_kigo_code,hizume_code,tenkai_kigo_code,5,806,74.92,11.36,64.97,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+idm_decile,kyori_tekisei,idm_decile,7,1305,69.99,6.79,64.96,False
KEIBAJO_SURFACE_10_芝_未勝利,ls_shisu_juni+omo_tekisei_code,ls_shisu_juni,omo_tekisei_code,4,1091,71.13,6.42,64.84,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+joho_shisu_decile,kyori_tekisei,joho_shisu_decile,3,785,73.3,7.53,64.78,False
KEIBAJO_SURFACE_10_芝_未勝利,ninki_shisu_decile+shiba_tekisei_code,ninki_shisu_decile,shiba_tekisei_code,8,1350,68.73,5.76,64.74,False
KEIBAJO_SURFACE_10_芝_未勝利,hizume_code+uma_deokure_bin,hizume_code,uma_deokure_bin,4,438,70.76,6.18,64.7,False
KEIBAJO_SURFACE_10_芝_未勝利,ninki_shisu_decile+idm_decile,ninki_shisu_decile,idm_decile,3,351,68.94,3.79,64.65,False
KEIBAJO_SURFACE_10_芝_未勝利,kyakushitsu+omo_tekisei_code,kyakushitsu,omo_tekisei_code,7,1457,72.66,10.91,64.57,False
KEIBAJO_SURFACE_10_芝_未勝利,kyori_tekisei+sogo_shisu_decile,kyori_tekisei,sogo_shisu_decile,8,1227,71.95,10.67,64.55,False
KEIBAJO_SURFACE_10_芝_未勝利,uma_start_shisu_decile+omo_tekisei_code,uma_start_shisu_decile,omo_tekisei_code,5,921,73.08,9.82,64.47,False
KEIBAJO_SURFACE_10_芝_未勝利,ls_shisu_juni+uma_deokure_bin,ls_shisu_juni,uma_deokure_bin,4,879,67.52,3.15,64.43,False
KEIBAJO_SURFACE_10_芝_未勝利,bataiju_zogen+shiba_tekisei_code,bataiju_zogen,shiba_tekisei_code,7,1105,70.16,7.8,64.38,False
