factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
manken_shirushi,万券印,code,8,36251,75.99,3.12,73.82,False
joho_shisu,情報指数,numeric,48,57435,75.62,7.99,73.36,False
kishu_shisu,騎手指数,numeric,35,57700,76.24,9.3,73.16,False
kyori_kubun,距離区分,code,4,57835,73.5,0.45,73.06,False
keibajo_code,競馬場,code,10,57835,73.59,1.05,72.94,False
omo_tekisei_code,重適性,code,3,57645,73.32,1.11,72.07,False
pace_shisu,ペース指数,numeric,196,50490,73.35,9.3,72.05,False
ten_shisu,テン指数,numeric,230,49877,73.26,9.68,72.01,False
ichi_shisu,位置指数,numeric,143,54921,73.36,8.71,71.93,False
hizume_code,蹄コード,code,18,57512,75.8,8.75,71.76,False
kyakushitsu,脚質,code,4,57831,73.08,1.58,71.54,False
agari_shisu,上がり指数,numeric,216,49184,72.7,10.26,71.33,False
uma_deokure_ritsu,馬出遅率,numeric,53,56518,73.2,7.16,71.27,False
pace_yoso,ペース予想,code,3,57835,72.83,1.42,71.22,False
gekiso_shisu,激走指数,numeric,178,53508,72.45,9.38,71.07,False
kakutoku_shokin_ruikei,獲得賞金累計,numeric,94,21815,73.55,12.34,71.06,False
ichi_shisu_juni,位置指数順位,numeric,16,57835,72.45,3.16,70.9,False
nyukyu_nannichimae,入厩何日前,numeric,32,27119,73.31,7.43,70.74,False
manken_shisu,万券指数,numeric,62,55760,73.02,10.49,70.41,False
sogo_shisu,総合指数,numeric,228,51097,71.78,13.72,69.99,False
kyusha_shisu,厩舎指数,numeric,230,42532,71.39,13.62,69.63,False
blinker,ブリンカー,code,3,9091,72.55,2.75,69.44,False
rotation,ローテーション,numeric,32,56527,71.77,6.98,69.35,False
uma_start_shisu,馬スタート指数,numeric,25,56812,71.68,6.22,69.24,False
ten_shisu_juni,テン指数順位,numeric,16,57835,71.58,5.12,69.08,False
pace_shisu_juni,ペース指数順位,numeric,16,57835,71.41,4.9,69.0,False
kyori_tekisei,距離適性,code,5,57289,72.73,4.89,68.44,False
chokyo_shisu,調教指数,numeric,293,52870,69.96,14.31,68.32,False
gekiso_juni,激走順位,numeric,16,57835,70.51,5.89,67.62,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,104,48397,69.74,13.09,67.23,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,85,38059,69.77,12.89,67.03,False
idm,IDM指数,numeric,69,49612,70.2,13.92,66.91,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,57835,74.0,15.01,66.64,False
agari_shisu_juni,上がり指数順位,numeric,16,57835,70.09,7.56,66.39,False
umakigo_code,馬記号,code,4,57828,70.29,4.17,66.2,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,108,42864,68.92,15.06,66.07,False
kyori_tekisei_2,距離適性2,code,4,8369,71.95,6.51,65.57,False
tenkai_kigo_code,展開記号,code,5,57835,73.55,9.29,65.41,False
shiba_tekisei_code,芝適性,code,3,36108,69.26,3.55,65.25,False
ls_shisu_juni,LS指数順位,numeric,10,57822,70.11,8.39,64.91,False
ninki_shisu,人気指数,numeric,175,35413,65.74,13.5,63.74,False
kyusha_hyoka_code,厩舎評価,code,4,57835,74.29,11.46,63.06,False
kishu_minarai_code,騎手見習,code,5,14339,69.7,10.0,60.94,False
kyuyo_riyu_bunrui_code,休養理由,code,5,15150,69.47,12.03,58.92,False
class_code,クラスコード,code,9,57352,67.19,15.2,57.25,False
