factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_tekisei_2,距離適性2,code,3,5484,76.8,2.3,74.19,False
kyori_kubun,距離区分,code,4,12680,72.83,0.96,71.89,False
keibajo_code,競馬場,code,10,12680,72.49,1.03,71.86,False
manken_shirushi,万券印,code,8,7697,73.83,3.13,71.66,False
hizume_code,蹄コード,code,12,12370,76.83,9.9,71.23,False
kyusha_hyoka_code,厩舎評価,code,4,12680,78.98,8.1,71.04,False
pace_yoso,ペース予想,code,3,12680,72.16,1.05,70.97,False
gekiso_juni,激走順位,numeric,16,12547,73.14,5.79,70.3,False
ten_shisu_juni,テン指数順位,numeric,16,12515,72.73,5.09,70.24,False
pace_shisu_juni,ペース指数順位,numeric,16,12516,72.67,5.24,70.11,False
bataiju,馬体重,numeric,44,11549,72.31,8.01,69.95,False
bataiju_zogen,馬体重増減,numeric,16,12388,73.13,6.64,69.87,False
uma_deokure_bin,馬出遅率ビン,code,5,12678,72.39,2.95,69.81,False
rotation_bin,ローテーションビン,code,8,12680,75.15,8.49,69.26,False
joho_shisu_decile,情報指数10分位,code,6,12680,72.61,4.29,69.18,False
manken_shisu_decile,万券指数10分位,code,10,12460,72.45,5.43,69.08,False
umakigo_code,馬記号,code,3,12674,79.04,9.32,68.5,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,12680,74.76,10.29,68.39,False
tenkai_kigo_code,展開記号,code,5,12680,73.02,5.39,68.29,False
ichi_shisu_juni,位置指数順位,numeric,16,12523,71.44,7.4,67.81,False
agari_shisu_juni,上がり指数順位,numeric,16,12527,71.43,7.56,67.73,False
kyakushitsu,脚質,code,4,12680,73.09,5.51,67.69,False
omo_tekisei_code,重適性,code,3,12677,73.54,5.34,67.5,False
chokyo_shisu_decile,調教指数10分位,code,10,12673,70.37,4.99,67.28,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,12680,73.63,10.26,67.27,False
kishu_shisu_decile,騎手指数10分位,code,10,12680,74.34,11.65,67.12,False
kyusha_shisu_decile,厩舎指数10分位,code,10,12680,70.75,5.93,67.08,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,12675,71.4,6.51,66.88,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,12593,76.93,21.82,66.24,False
ls_shisu_juni,LS指数順位,numeric,9,12648,72.97,10.48,66.12,False
idm_decile,IDM指数10分位,code,4,12616,69.91,4.08,65.91,False
kyori_tekisei,距離適性,code,6,12660,70.07,5.46,65.7,False
ninki_shisu_decile,人気指数10分位,code,10,12680,68.77,6.73,64.6,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,25,4085,70.87,18.45,63.64,False
class_code,クラスコード,code,6,12626,66.08,6.44,60.93,False
sogo_shisu_decile,総合指数10分位,code,4,12572,70.45,9.71,60.93,False
shiba_tekisei_code,芝適性,code,3,12503,68.86,7.38,60.5,False
