segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
SURFACE_2_芝_1勝クラス,manken_shirushi+kyusha_hyoka_code+pace_yoso+rotation,manken_shirushi,kyusha_hyoka_code,pace_yoso,rotation,3,320,82.38,5.0,76.72,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+kyusha_hyoka_code+pace_yoso,kyori_tekisei_2,kyori_kubun,kyusha_hyoka_code,pace_yoso,10,4346,78.91,7.97,73.97,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+keibajo_code+pace_yoso,kyori_tekisei_2,kyori_kubun,keibajo_code,pace_yoso,16,2516,76.53,8.04,72.6,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+keibajo_code+kyusha_hyoka_code,kyori_tekisei_2,kyori_kubun,keibajo_code,kyusha_hyoka_code,17,2873,76.18,8.99,71.9,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+pace_yoso+rotation,kyori_tekisei_2,kyusha_hyoka_code,pace_yoso,rotation,12,1858,77.08,9.95,71.45,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+nyukyu_nannichimae,kyori_kubun,kyusha_hyoka_code,pace_yoso,nyukyu_nannichimae,12,1469,77.94,12.26,71.01,False
SURFACE_2_芝_1勝クラス,kyori_kubun+pace_yoso+uma_deokure_ritsu+rotation,kyori_kubun,pace_yoso,uma_deokure_ritsu,rotation,3,319,75.4,3.98,70.9,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+uma_deokure_ritsu+rotation,kyori_kubun,kyusha_hyoka_code,uma_deokure_ritsu,rotation,3,338,74.15,3.22,70.51,False
SURFACE_2_芝_1勝クラス,kyori_kubun+hizume_code+pace_yoso+rotation,kyori_kubun,hizume_code,pace_yoso,rotation,4,416,73.48,3.03,70.51,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+pace_yoso+kishu_shisu+joho_shisu,kyori_tekisei_2,pace_yoso,kishu_shisu,joho_shisu,3,394,81.5,10.1,70.08,False
SURFACE_2_芝_1勝クラス,kyori_kubun+hizume_code+pace_yoso+uma_deokure_ritsu,kyori_kubun,hizume_code,pace_yoso,uma_deokure_ritsu,6,827,76.49,8.17,69.95,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+gekiso_juni,kyori_kubun,kyusha_hyoka_code,pace_yoso,gekiso_juni,49,8170,73.49,12.76,69.92,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+kyusha_hyoka_code+pace_yoso,kyori_kubun,keibajo_code,kyusha_hyoka_code,pace_yoso,35,9793,71.12,4.18,69.73,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+rotation,kyori_kubun,kyusha_hyoka_code,pace_yoso,rotation,32,6502,73.25,11.22,69.36,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+keibajo_code+kyusha_hyoka_code+pace_yoso,kyori_tekisei_2,keibajo_code,kyusha_hyoka_code,pace_yoso,17,3352,75.09,12.08,69.35,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+hizume_code+kyusha_hyoka_code+pace_yoso,kyori_tekisei_2,hizume_code,kyusha_hyoka_code,pace_yoso,13,2901,73.17,8.0,68.82,False
SURFACE_2_芝_1勝クラス,keibajo_code+manken_shirushi+kyusha_hyoka_code+pace_yoso,keibajo_code,manken_shirushi,kyusha_hyoka_code,pace_yoso,25,3221,73.29,11.48,68.79,False
SURFACE_2_芝_1勝クラス,kyori_kubun+manken_shirushi+kyusha_hyoka_code+pace_yoso,kyori_kubun,manken_shirushi,kyusha_hyoka_code,pace_yoso,30,5371,72.74,11.07,68.78,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+ten_shisu_juni+rotation,kyusha_hyoka_code,pace_yoso,ten_shisu_juni,rotation,8,828,78.82,14.65,68.68,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+pace_yoso+rotation,keibajo_code,kyusha_hyoka_code,pace_yoso,rotation,24,3851,72.93,10.72,68.64,False
