segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
SURFACE_2_芝_OP重賞,ten_shisu_juni+gekiso_juni,ten_shisu_juni,gekiso_juni,20,2266,82.46,10.39,77.91,False
SURFACE_2_芝_OP重賞,pace_shisu_juni+kijun_ninkijun_tansho,pace_shisu_juni,kijun_ninkijun_tansho,33,3880,80.36,7.77,77.7,False
SURFACE_2_芝_OP重賞,agari_shisu_juni+gekiso_juni,agari_shisu_juni,gekiso_juni,25,3094,79.81,9.63,76.03,False
SURFACE_2_芝_OP重賞,ichi_shisu_juni+kijun_ninkijun_tansho,ichi_shisu_juni,kijun_ninkijun_tansho,27,2963,80.09,11.32,75.82,False
SURFACE_2_芝_OP重賞,class_code+kishu_kitai_sanchakunai_ritsu,class_code,kishu_kitai_sanchakunai_ritsu,3,357,77.28,1.83,75.21,False
SURFACE_2_芝_OP重賞,pace_shisu_juni+gekiso_juni,pace_shisu_juni,gekiso_juni,22,2608,78.69,8.43,75.17,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+manken_shirushi,kyusha_hyoka_code,manken_shirushi,15,9256,78.39,6.92,74.89,False
SURFACE_2_芝_OP重賞,ichi_shisu_juni+gekiso_juni,ichi_shisu_juni,gekiso_juni,17,1911,79.94,10.85,74.78,False
SURFACE_2_芝_OP重賞,manken_shirushi+manken_shisu_decile,manken_shirushi,manken_shisu_decile,23,8767,77.33,7.07,74.45,False
SURFACE_2_芝_OP重賞,manken_shirushi+tenkai_kigo_code,manken_shirushi,tenkai_kigo_code,30,8678,77.97,10.28,74.29,False
SURFACE_2_芝_OP重賞,manken_shirushi+keibajo_code,manken_shirushi,keibajo_code,35,6675,76.5,8.56,73.67,False
SURFACE_2_芝_OP重賞,manken_shirushi+pace_yoso,manken_shirushi,pace_yoso,15,8902,75.93,4.73,73.53,False
SURFACE_2_芝_OP重賞,manken_shirushi+rotation_bin,manken_shirushi,rotation_bin,32,8139,76.62,8.93,73.52,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+uma_deokure_bin,kyusha_hyoka_code,uma_deokure_bin,10,15370,76.18,4.33,73.5,False
SURFACE_2_芝_OP重賞,manken_shirushi+hizume_code,manken_shirushi,hizume_code,37,7078,76.61,9.74,73.48,False
SURFACE_2_芝_OP重賞,class_code+pace_yoso,class_code,pace_yoso,15,15123,75.73,4.53,73.44,False
SURFACE_2_芝_OP重賞,class_code+kyori_kubun,class_code,kyori_kubun,27,15050,77.13,9.79,73.44,False
SURFACE_2_芝_OP重賞,manken_shirushi+agari_shisu_juni,manken_shirushi,agari_shisu_juni,19,2776,78.13,10.53,73.4,False
SURFACE_2_芝_OP重賞,keibajo_code+hizume_code,keibajo_code,hizume_code,46,12488,75.9,8.72,73.38,False
SURFACE_2_芝_OP重賞,bataiju+sogo_shisu_decile,bataiju,sogo_shisu_decile,39,10030,76.48,10.42,73.21,False
SURFACE_2_芝_OP重賞,manken_shirushi+bataiju_zogen,manken_shirushi,bataiju_zogen,42,5871,76.43,10.82,73.16,False
SURFACE_2_芝_OP重賞,ls_shisu_juni+tenkai_kigo_code,ls_shisu_juni,tenkai_kigo_code,33,15041,76.16,8.83,73.14,False
SURFACE_2_芝_OP重賞,bataiju_zogen+ichi_shisu_juni,bataiju_zogen,ichi_shisu_juni,58,7665,76.07,11.52,73.11,False
SURFACE_2_芝_OP重賞,ten_shisu_juni+pace_shisu_juni,ten_shisu_juni,pace_shisu_juni,30,4500,77.12,11.42,73.04,False
SURFACE_2_芝_OP重賞,manken_shirushi+uma_deokure_bin,manken_shirushi,uma_deokure_bin,37,9202,75.85,8.83,73.0,False
SURFACE_2_芝_OP重賞,omo_tekisei_code+bataiju,omo_tekisei_code,bataiju,53,10039,75.88,10.7,73.0,False
SURFACE_2_芝_OP重賞,manken_shirushi+pace_shisu_juni,manken_shirushi,pace_shisu_juni,14,1486,78.68,11.02,72.91,False
SURFACE_2_芝_OP重賞,keibajo_code+shiba_tekisei_code,keibajo_code,shiba_tekisei_code,19,15060,74.19,2.99,72.84,False
SURFACE_2_芝_OP重賞,class_code+uma_deokure_bin,class_code,uma_deokure_bin,29,14889,75.91,8.53,72.81,False
SURFACE_2_芝_OP重賞,manken_shirushi+chokyo_shisu_decile,manken_shirushi,chokyo_shisu_decile,47,7572,76.4,12.55,72.81,False
SURFACE_2_芝_OP重賞,manken_shirushi+kyori_kubun,manken_shirushi,kyori_kubun,32,9510,75.38,7.62,72.75,False
SURFACE_2_芝_OP重賞,pace_yoso+bataiju_zogen,pace_yoso,bataiju_zogen,25,14425,75.4,6.8,72.74,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+tenkai_kigo_code,kyusha_hyoka_code,tenkai_kigo_code,10,15445,76.42,5.97,72.72,False
SURFACE_2_芝_OP重賞,agari_shisu_juni+ichi_shisu_juni,agari_shisu_juni,ichi_shisu_juni,17,1816,77.54,10.19,72.7,False
SURFACE_2_芝_OP重賞,ten_shisu_juni+agari_shisu_juni,ten_shisu_juni,agari_shisu_juni,24,2664,77.2,11.24,72.7,False
SURFACE_2_芝_OP重賞,keibajo_code+kyori_kubun,keibajo_code,kyori_kubun,31,15690,73.6,2.59,72.69,False
SURFACE_2_芝_OP重賞,manken_shirushi+umakigo_code,manken_shirushi,umakigo_code,8,8915,75.75,4.44,72.68,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+bataiju_zogen,kyusha_hyoka_code,bataiju_zogen,25,14722,75.6,7.47,72.67,False
SURFACE_2_芝_OP重賞,pace_yoso+kyori_kubun,pace_yoso,kyori_kubun,11,15738,74.94,3.88,72.65,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+kyori_kubun,kyusha_hyoka_code,kyori_kubun,8,15445,75.95,4.79,72.63,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+ls_shisu_juni,kyusha_hyoka_code,ls_shisu_juni,15,15246,76.43,7.55,72.61,False
SURFACE_2_芝_OP重賞,pace_yoso+keibajo_code,pace_yoso,keibajo_code,18,15176,73.9,2.8,72.61,False
SURFACE_2_芝_OP重賞,manken_shirushi+uma_start_shisu_decile,manken_shirushi,uma_start_shisu_decile,44,8114,75.43,9.59,72.59,False
SURFACE_2_芝_OP重賞,ichi_shisu_juni+pace_shisu_juni,ichi_shisu_juni,pace_shisu_juni,29,3976,75.92,9.25,72.55,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+pace_yoso,kyusha_hyoka_code,pace_yoso,7,15624,75.67,4.22,72.54,False
SURFACE_2_芝_OP重賞,tenkai_kigo_code+gekiso_juni,tenkai_kigo_code,gekiso_juni,47,13427,75.35,9.94,72.51,False
SURFACE_2_芝_OP重賞,uma_start_shisu_decile+hizume_code,uma_start_shisu_decile,hizume_code,44,13260,74.52,6.98,72.46,False
SURFACE_2_芝_OP重賞,class_code+tenkai_kigo_code,class_code,tenkai_kigo_code,29,14796,75.91,9.54,72.44,False
SURFACE_2_芝_OP重賞,bataiju_zogen+shiba_tekisei_code,bataiju_zogen,shiba_tekisei_code,25,14331,75.3,7.31,72.43,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+kyuyo_riyu_bunrui_code,kyori_tekisei_2,kyuyo_riyu_bunrui_code,3,2264,75.39,2.63,72.42,False
SURFACE_2_芝_OP重賞,manken_shirushi+kyusha_shisu_decile,manken_shirushi,kyusha_shisu_decile,50,7533,75.13,9.91,72.38,False
SURFACE_2_芝_OP重賞,gekiso_juni+kijun_ninkijun_tansho,gekiso_juni,kijun_ninkijun_tansho,40,5510,75.63,10.57,72.35,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+keibajo_code,kyusha_hyoka_code,keibajo_code,16,15260,74.86,5.25,72.29,False
SURFACE_2_芝_OP重賞,bataiju+idm_decile,bataiju,idm_decile,39,10834,75.6,10.64,72.26,False
SURFACE_2_芝_OP重賞,manken_shirushi+shiba_tekisei_code,manken_shirushi,shiba_tekisei_code,16,9337,75.31,6.27,72.24,False
SURFACE_2_芝_OP重賞,bataiju_zogen+ten_shisu_juni,bataiju_zogen,ten_shisu_juni,58,7658,75.42,12.4,72.23,False
SURFACE_2_芝_OP重賞,uma_deokure_bin+ls_shisu_juni,uma_deokure_bin,ls_shisu_juni,37,15068,74.66,7.68,72.19,False
SURFACE_2_芝_OP重賞,ichi_shisu_juni+chokyo_shisu_decile,ichi_shisu_juni,chokyo_shisu_decile,72,9709,75.19,13.09,72.17,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+class_code,kyusha_hyoka_code,class_code,15,15090,75.58,6.76,72.16,False
SURFACE_2_芝_OP重賞,hizume_code+ichi_shisu_juni,hizume_code,ichi_shisu_juni,62,10627,75.3,12.66,72.15,False
SURFACE_2_芝_OP重賞,manken_shirushi+gekiso_juni,manken_shirushi,gekiso_juni,45,6734,75.6,11.8,72.15,False
SURFACE_2_芝_OP重賞,ichi_shisu_juni+kyusha_shisu_decile,ichi_shisu_juni,kyusha_shisu_decile,72,9408,75.21,13.36,72.12,False
