factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
manken_shirushi,万券印,code,8,29667,75.08,2.42,73.41,False
keibajo_code,競馬場,code,10,47181,73.57,0.56,73.22,False
pace_yoso,ペース予想,code,3,47181,73.72,0.46,73.2,False
kyori_kubun,距離区分,code,4,47181,73.5,0.51,72.99,False
uma_deokure_bin,馬出遅率ビン,code,5,47063,74.04,1.88,72.39,False
omo_tekisei_code,重適性,code,3,46904,73.65,1.72,71.7,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,46799,73.02,2.51,71.28,False
rotation_bin,ローテーションビン,code,8,47181,73.62,3.58,71.14,False
bataiju_zogen,馬体重増減,numeric,21,46481,73.34,5.42,71.03,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,17,47094,80.83,23.36,69.72,False
bataiju,馬体重,numeric,64,46252,71.76,8.42,69.69,False
gekiso_juni,激走順位,numeric,18,47166,71.95,5.07,69.61,False
ten_shisu_juni,テン指数順位,numeric,18,47181,71.79,4.87,69.54,False
pace_shisu_juni,ペース指数順位,numeric,18,47181,71.33,4.57,69.22,False
kyakushitsu,脚質,code,4,47180,72.64,4.23,68.49,False
agari_shisu_juni,上がり指数順位,numeric,18,47181,71.09,6.14,68.26,False
kyusha_hyoka_code,厩舎評価,code,4,47181,75.12,7.23,68.04,False
manken_shisu_decile,万券指数10分位,code,10,46436,71.03,5.22,67.79,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,86,27567,70.68,15.23,67.46,False
joho_shisu_decile,情報指数10分位,code,6,47181,73.05,7.04,67.42,False
ichi_shisu_juni,位置指数順位,numeric,18,47181,70.7,7.28,67.33,False
hizume_code,蹄コード,code,18,46791,70.9,8.74,66.87,False
tenkai_kigo_code,展開記号,code,5,47181,73.05,7.1,66.83,False
kyori_tekisei,距離適性,code,5,46911,71.53,5.43,66.77,False
ls_shisu_juni,LS指数順位,numeric,9,47066,71.4,7.33,66.61,False
kyori_tekisei_2,距離適性2,code,4,7730,72.39,6.8,65.73,False
kyusha_shisu_decile,厩舎指数10分位,code,10,47181,69.28,7.34,64.73,False
shiba_tekisei_code,芝適性,code,3,45972,72.92,7.28,64.69,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,47181,75.71,20.79,62.82,False
kishu_minarai_code,騎手見習,code,6,47181,67.6,6.78,62.18,False
chokyo_shisu_decile,調教指数10分位,code,10,47103,67.48,9.37,61.67,False
ninki_shisu_decile,人気指数10分位,code,10,47181,67.1,9.18,61.4,False
kishu_shisu_decile,騎手指数10分位,code,10,47181,74.66,21.79,61.15,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,47181,74.29,21.26,61.12,False
kyuyo_riyu_bunrui_code,休養理由,code,4,13476,68.62,9.93,58.89,False
class_code,クラスコード,code,9,46832,68.17,16.49,57.39,False
blinker,ブリンカー,code,3,3779,65.64,7.6,57.04,False
umakigo_code,馬記号,code,4,47083,65.92,11.99,54.18,False
idm_decile,IDM指数10分位,code,8,47134,66.58,18.97,53.43,False
sogo_shisu_decile,総合指数10分位,code,8,47134,64.9,18.8,51.87,False
joshodo_code,上昇度,code,3,47120,64.17,13.72,48.64,False
