segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
SURFACE_2_芝_新馬,agari_shisu+uma_deokure_ritsu,agari_shisu,uma_deokure_ritsu,4,425,84.61,5.63,79.1,False
SURFACE_2_芝_新馬,manken_shirushi+kyusha_hyoka_code,manken_shirushi,kyusha_hyoka_code,16,28983,77.81,5.06,75.33,False
SURFACE_2_芝_新馬,manken_shisu+ten_shisu_juni,manken_shisu,ten_shisu_juni,110,12986,77.01,10.68,75.01,False
SURFACE_2_芝_新馬,kyusha_hyoka_code+kyori_tekisei_2,kyusha_hyoka_code,kyori_tekisei_2,6,7387,77.14,2.95,74.77,False
SURFACE_2_芝_新馬,manken_shisu+agari_shisu_juni,manken_shisu,agari_shisu_juni,133,16824,76.21,9.8,74.54,False
SURFACE_2_芝_新馬,joho_shisu+kyusha_hyoka_code,joho_shisu,kyusha_hyoka_code,68,44471,76.79,9.53,74.53,False
SURFACE_2_芝_新馬,manken_shisu+ichi_shisu_juni,manken_shisu,ichi_shisu_juni,123,14662,76.47,11.07,74.52,False
SURFACE_2_芝_新馬,kyori_kubun+kyori_tekisei_2,kyori_kubun,kyori_tekisei_2,9,7576,76.08,2.54,74.43,False
SURFACE_2_芝_新馬,manken_shirushi+rotation,manken_shirushi,rotation,99,24691,76.17,9.38,74.32,False
SURFACE_2_芝_新馬,manken_shisu+kyori_tekisei_2,manken_shisu,kyori_tekisei_2,17,2087,79.65,11.27,74.29,False
SURFACE_2_芝_新馬,keibajo_code+kyori_tekisei_2,keibajo_code,kyori_tekisei_2,29,7544,76.69,7.01,74.14,False
SURFACE_2_芝_新馬,agari_shisu_juni+kyori_tekisei_2,agari_shisu_juni,kyori_tekisei_2,32,6632,77.47,9.65,74.13,False
SURFACE_2_芝_新馬,manken_shirushi+manken_shisu,manken_shirushi,manken_shisu,130,24908,75.73,9.68,74.06,False
SURFACE_2_芝_新馬,keibajo_code+kyusha_hyoka_code,keibajo_code,kyusha_hyoka_code,23,46416,76.93,7.08,74.04,False
SURFACE_2_芝_新馬,manken_shirushi+hizume_code,manken_shirushi,hizume_code,69,27492,75.75,7.41,74.0,False
SURFACE_2_芝_新馬,manken_shirushi+idm,manken_shirushi,idm,91,12364,76.24,11.08,73.97,False
SURFACE_2_芝_新馬,manken_shisu+pace_shisu_juni,manken_shisu,pace_shisu_juni,122,14753,75.92,11.3,73.91,False
SURFACE_2_芝_新馬,manken_shirushi+uma_deokure_ritsu,manken_shirushi,uma_deokure_ritsu,63,17811,75.99,8.86,73.8,False
SURFACE_2_芝_新馬,rotation+hizume_code,rotation,hizume_code,105,37195,75.38,8.33,73.78,False
SURFACE_2_芝_新馬,manken_shirushi+kyori_kubun,manken_shirushi,kyori_kubun,32,29667,75.23,4.2,73.77,False
SURFACE_2_芝_新馬,manken_shirushi+pace_yoso,manken_shirushi,pace_yoso,24,29667,75.1,3.43,73.73,False
SURFACE_2_芝_新馬,ten_shisu_juni+kyori_tekisei_2,ten_shisu_juni,kyori_tekisei_2,34,6458,76.38,8.19,73.62,False
SURFACE_2_芝_新馬,idm+uma_start_shisu,idm,uma_start_shisu,83,17178,76.06,11.59,73.57,False
SURFACE_2_芝_新馬,manken_shirushi+keibajo_code,manken_shirushi,keibajo_code,80,29667,75.18,7.41,73.56,False
SURFACE_2_芝_新馬,omo_tekisei_code+nyukyu_nannichimae,omo_tekisei_code,nyukyu_nannichimae,54,22921,75.87,8.7,73.55,False
SURFACE_2_芝_新馬,manken_shirushi+omo_tekisei_code,manken_shirushi,omo_tekisei_code,24,29555,75.22,4.19,73.54,False
SURFACE_2_芝_新馬,kishu_shisu+kyusha_hyoka_code,kishu_shisu,kyusha_hyoka_code,52,44969,76.66,11.66,73.49,False
SURFACE_2_芝_新馬,pace_yoso+nyukyu_nannichimae,pace_yoso,nyukyu_nannichimae,53,23118,75.44,7.46,73.43,False
SURFACE_2_芝_新馬,keibajo_code+pace_yoso,keibajo_code,pace_yoso,29,47111,73.89,1.38,73.38,False
SURFACE_2_芝_新馬,ichi_shisu+kyori_tekisei,ichi_shisu,kyori_tekisei,191,28033,75.04,11.82,73.37,False
SURFACE_2_芝_新馬,kyusha_hyoka_code+ls_shisu_juni,kyusha_hyoka_code,ls_shisu_juni,20,46553,76.88,8.16,73.3,False
