segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,02_芝_中距離,bamei_hahachichi,アグネスタキオン,104,82.9,86.4,0.454
COURSE_27,02_芝_中距離,bamei_hahachichi,キングカメハメハ,116,75.1,98.0,0.474
COURSE_27,02_芝_中距離,bamei_hahachichi,クロフネ,79,33.3,52.5,0.406
COURSE_27,02_芝_中距離,bamei_hahachichi,サンデーサイレンス,203,110.1,73.0,0.58
COURSE_27,02_芝_中距離,bamei_hahachichi,シンボリクリスエス,49,32.2,76.5,0.33
COURSE_27,02_芝_中距離,bamei_hahachichi,ジャングルポケット,44,35.9,103.1,0.315
COURSE_27,02_芝_中距離,bamei_hahachichi,ステイゴールド,46,167.0,74.2,0.321
COURSE_27,02_芝_中距離,bamei_hahachichi,スペシャルウィーク,43,50.8,46.3,0.312
COURSE_27,02_芝_中距離,bamei_hahachichi,ゼンノロブロイ,37,2.2,7.0,0.291
COURSE_27,02_芝_中距離,bamei_hahachichi,タイキシャトル,30,138.9,78.3,0.264
COURSE_27,02_芝_中距離,bamei_hahachichi,ダンスインザダーク,71,30.4,129.9,0.388
COURSE_27,02_芝_中距離,bamei_hahachichi,ディープインパクト,140,81.1,76.5,0.509
COURSE_27,02_芝_中距離,bamei_hahachichi,ハーツクライ,33,267.5,112.4,0.276
COURSE_27,02_芝_中距離,bamei_hahachichi,フジキセキ,41,49.0,57.5,0.305
COURSE_27,02_芝_中距離,bamei_hahachichi,フレンチデピュティ,58,237.6,76.8,0.356
COURSE_27,02_芝_中距離,bamei_hahachichi,ブライアンズタイム,52,51.0,54.9,0.339
COURSE_27,02_芝_中距離,bamei_hahachichi,マンハッタンカフェ,49,152.9,88.1,0.33
