segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,03_ダ_中距離,prev1_chakujun,1.0,346,67.6,63.0,0.681
COURSE_27,03_ダ_中距離,prev1_chakujun,10.0,341,243.6,75.0,0.678
COURSE_27,03_ダ_中距離,prev1_chakujun,11.0,335,39.8,58.8,0.675
COURSE_27,03_ダ_中距離,prev1_chakujun,12.0,305,43.0,63.6,0.658
COURSE_27,03_ダ_中距離,prev1_chakujun,13.0,271,70.1,22.4,0.636
COURSE_27,03_ダ_中距離,prev1_chakujun,14.0,241,89.2,96.0,0.613
COURSE_27,03_ダ_中距離,prev1_chakujun,15.0,192,0.0,41.7,0.569
COURSE_27,03_ダ_中距離,prev1_chakujun,16.0,114,74.5,59.3,0.471
COURSE_27,03_ダ_中距離,prev1_chakujun,2.0,419,59.6,81.7,0.715
COURSE_27,03_ダ_中距離,prev1_chakujun,3.0,452,80.2,72.6,0.728
COURSE_27,03_ダ_中距離,prev1_chakujun,4.0,455,77.4,83.4,0.729
COURSE_27,03_ダ_中距離,prev1_chakujun,5.0,488,85.7,86.3,0.741
COURSE_27,03_ダ_中距離,prev1_chakujun,6.0,360,92.6,99.3,0.688
COURSE_27,03_ダ_中距離,prev1_chakujun,7.0,404,162.3,98.0,0.709
COURSE_27,03_ダ_中距離,prev1_chakujun,8.0,452,110.1,93.0,0.728
COURSE_27,03_ダ_中距離,prev1_chakujun,9.0,412,80.3,56.7,0.712
