segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_ダ_短距離,prev1_corner4,00,85,22.4,38.0,0.419
COURSE_27,04_ダ_短距離,prev1_corner4,01,624,56.8,74.2,0.781
COURSE_27,04_ダ_短距離,prev1_corner4,02,826,74.4,87.6,0.821
COURSE_27,04_ダ_短距離,prev1_corner4,03,649,112.8,73.8,0.787
COURSE_27,04_ダ_短距離,prev1_corner4,04,589,68.3,77.6,0.772
COURSE_27,04_ダ_短距離,prev1_corner4,05,475,54.7,63.8,0.737
COURSE_27,04_ダ_短距離,prev1_corner4,06,458,65.6,105.6,0.731
COURSE_27,04_ダ_短距離,prev1_corner4,07,513,68.2,65.5,0.75
COURSE_27,04_ダ_短距離,prev1_corner4,08,405,52.3,63.9,0.709
COURSE_27,04_ダ_短距離,prev1_corner4,09,408,63.9,64.0,0.711
COURSE_27,04_ダ_短距離,prev1_corner4,10,367,52.8,59.9,0.692
COURSE_27,04_ダ_短距離,prev1_corner4,11,305,21.6,38.1,0.658
COURSE_27,04_ダ_短距離,prev1_corner4,12,290,68.1,67.5,0.648
COURSE_27,04_ダ_短距離,prev1_corner4,13,246,54.8,114.2,0.617
COURSE_27,04_ダ_短距離,prev1_corner4,14,216,60.3,57.2,0.592
COURSE_27,04_ダ_短距離,prev1_corner4,15,167,69.9,55.0,0.543
COURSE_27,04_ダ_短距離,prev1_corner4,16,113,223.4,79.8,0.469
