segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_芝_中距離,prev2_chakujun,1.0,341,34.1,59.2,0.678
COURSE_27,04_芝_中距離,prev2_chakujun,10.0,306,44.1,92.0,0.658
COURSE_27,04_芝_中距離,prev2_chakujun,11.0,254,89.2,54.3,0.623
COURSE_27,04_芝_中距離,prev2_chakujun,12.0,216,83.8,62.9,0.592
COURSE_27,04_芝_中距離,prev2_chakujun,13.0,210,15.6,80.3,0.587
COURSE_27,04_芝_中距離,prev2_chakujun,14.0,143,46.9,64.0,0.513
COURSE_27,04_芝_中距離,prev2_chakujun,15.0,125,105.1,43.1,0.488
COURSE_27,04_芝_中距離,prev2_chakujun,16.0,62,9.0,92.3,0.366
COURSE_27,04_芝_中距離,prev2_chakujun,2.0,379,85.1,93.9,0.698
COURSE_27,04_芝_中距離,prev2_chakujun,3.0,396,87.4,74.5,0.705
COURSE_27,04_芝_中距離,prev2_chakujun,4.0,431,94.1,79.9,0.72
COURSE_27,04_芝_中距離,prev2_chakujun,5.0,401,68.6,67.8,0.708
COURSE_27,04_芝_中距離,prev2_chakujun,6.0,418,102.7,70.9,0.715
COURSE_27,04_芝_中距離,prev2_chakujun,7.0,338,55.8,80.8,0.677
COURSE_27,04_芝_中距離,prev2_chakujun,8.0,383,28.9,62.3,0.699
COURSE_27,04_芝_中距離,prev2_chakujun,9.0,328,64.6,69.1,0.671
