segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_芝_長距離,prev1_corner4,01,116,39.4,46.2,0.474
COURSE_27,04_芝_長距離,prev1_corner4,02,173,80.1,82.1,0.549
COURSE_27,04_芝_長距離,prev1_corner4,03,140,103.2,89.6,0.509
COURSE_27,04_芝_長距離,prev1_corner4,04,123,101.1,73.4,0.485
COURSE_27,04_芝_長距離,prev1_corner4,05,135,37.0,80.2,0.502
COURSE_27,04_芝_長距離,prev1_corner4,06,116,41.0,50.6,0.474
COURSE_27,04_芝_長距離,prev1_corner4,07,143,126.1,102.6,0.513
COURSE_27,04_芝_長距離,prev1_corner4,08,119,95.2,83.6,0.479
COURSE_27,04_芝_長距離,prev1_corner4,09,108,19.1,39.5,0.461
COURSE_27,04_芝_長距離,prev1_corner4,10,102,31.7,61.6,0.451
COURSE_27,04_芝_長距離,prev1_corner4,11,92,35.5,75.6,0.432
COURSE_27,04_芝_長距離,prev1_corner4,12,80,151.4,52.4,0.408
COURSE_27,04_芝_長距離,prev1_corner4,13,68,60.1,96.1,0.381
COURSE_27,04_芝_長距離,prev1_corner4,14,51,1318.6,289.6,0.336
COURSE_27,04_芝_長距離,prev1_corner4,15,50,55.1,30.3,0.333
