segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,05_ダ_短距離,umaban,01,37,293.3,106.1,0.291
COURSE_27,05_ダ_短距離,umaban,02,37,184.3,107.8,0.291
COURSE_27,05_ダ_短距離,umaban,03,37,70.0,34.4,0.291
COURSE_27,05_ダ_短距離,umaban,04,37,34.4,43.0,0.291
COURSE_27,05_ダ_短距離,umaban,05,37,14.6,41.3,0.291
COURSE_27,05_ダ_短距離,umaban,06,37,107.0,41.1,0.291
COURSE_27,05_ダ_短距離,umaban,07,37,6.3,134.3,0.291
COURSE_27,05_ダ_短距離,umaban,08,37,45.6,59.4,0.291
COURSE_27,05_ダ_短距離,umaban,09,37,17.2,39.3,0.291
COURSE_27,05_ダ_短距離,umaban,10,37,149.1,89.8,0.291
COURSE_27,05_ダ_短距離,umaban,11,37,50.6,33.0,0.291
COURSE_27,05_ダ_短距離,umaban,12,36,0.0,30.0,0.287
COURSE_27,05_ダ_短距離,umaban,13,37,0.0,23.5,0.291
COURSE_27,05_ダ_短距離,umaban,14,35,18.0,22.0,0.284
COURSE_27,05_ダ_短距離,umaban,15,36,107.6,69.8,0.287
COURSE_27,05_ダ_短距離,umaban,16,35,16.4,57.0,0.284
