bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|49.0,39,1,,2.6,,6.5,72.3,X
稍重|50.0,118,12,,10.2,,137.6,122.3,O
稍重|51.0,495,33,,6.7,,84.4,83.1,O
稍重|52.0,961,89,,9.3,,95.1,77.4,X
稍重|53.0,1075,81,,7.5,,83.7,83.2,O
稍重|54.0,3520,338,,9.6,,84.0,80.4,O
稍重|55.0,2390,233,,9.7,,87.8,75.3,X
稍重|56.0,2138,198,,9.3,,66.3,73.5,X
稍重|57.0,1817,143,,7.9,,66.9,82.6,O
稍重|58.0,599,48,,8.0,,78.5,69.7,X
稍重|59.0,88,5,,5.7,,66.8,95.0,O
稍重|60.0,481,50,,10.4,,102.5,84.9,O
良|49.0,196,17,,8.7,,82.1,64.3,X
良|50.0,436,46,,10.6,,96.6,81.6,O
良|51.0,1976,126,,6.4,,81.2,71.8,X
良|52.0,3979,373,,9.4,,93.3,82.1,O
良|53.0,4395,348,,7.9,,77.4,77.5,X
良|54.0,14796,1397,,9.4,,76.4,80.1,O
良|55.0,11780,1058,,9.0,,76.0,72.2,X
良|56.0,9098,802,,8.8,,81.4,79.5,X
良|57.0,7984,662,,8.3,,75.2,78.8,X
良|57.5,48,6,,12.5,,196.4,126.4,O
良|58.0,2625,188,,7.2,,80.8,84.4,O
良|59.0,241,15,,6.2,,40.8,61.7,X
良|60.0,1918,200,,10.4,,90.8,82.4,O
良|61.0,56,11,,19.6,,75.4,85.2,O
良|62.0,38,6,,15.8,,71.9,94.1,O
重以上|50.0,89,7,,7.9,,63.0,64.5,X
重以上|51.0,292,17,,5.8,,38.2,69.3,X
重以上|52.0,618,53,,8.6,,85.9,79.4,X
重以上|53.0,711,64,,9.0,,54.7,88.1,O
重以上|54.0,2072,185,,8.9,,83.6,84.1,O
重以上|55.0,1567,147,,9.4,,83.4,82.4,O
重以上|56.0,1362,110,,8.1,,64.1,69.9,X
重以上|57.0,1073,91,,8.5,,75.3,81.3,O
重以上|58.0,287,26,,9.1,,106.3,77.7,X
重以上|59.0,34,1,,2.9,,36.3,53.9,X
重以上|60.0,193,21,,10.9,,119.9,107.7,O
