bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|1.2,200,80,,40.0,,79.8,86.0,O
稍重|1.3,387,139,,35.9,,82.9,87.0,O
稍重|1.4,535,150,,28.0,,77.1,85.5,O
稍重|1.5,503,105,,20.9,,70.0,79.0,X
稍重|1.6,501,104,,20.8,,84.0,76.6,X
稍重|1.7,453,78,,17.2,,97.8,87.7,O
稍重|1.8,463,65,,14.0,,86.4,88.8,O
稍重|1.9,399,48,,12.0,,65.9,73.6,X
稍重|2.0,349,36,,10.3,,65.9,81.8,O
稍重|2.1,347,39,,11.2,,101.7,66.1,X
稍重|2.2,327,32,,9.8,,79.3,75.3,X
稍重|2.3,305,27,,8.9,,76.1,71.9,X
稍重|2.4,304,25,,8.2,,89.5,76.5,X
稍重|2.5,290,18,,6.2,,59.0,78.2,X
稍重|2.6,278,23,,8.3,,76.3,60.8,X
稍重|2.7,272,22,,8.1,,77.3,71.7,X
稍重|2.8,278,20,,7.2,,105.9,74.1,X
稍重|2.9,293,18,,6.1,,99.3,77.6,X
稍重|3.0,244,18,,7.4,,90.8,58.7,X
稍重|3.1,234,10,,4.3,,103.8,74.3,X
稍重|3.2,260,11,,4.2,,76.6,89.0,O
稍重|3.3,215,13,,6.0,,129.5,81.8,O
稍重|3.4,233,6,,2.6,,48.4,71.9,X
稍重|3.5,215,4,,1.9,,26.9,64.5,X
稍重|3.6,223,6,,2.7,,49.3,80.5,O
稍重|3.7,201,10,,5.0,,122.0,83.6,O
稍重|3.8,180,9,,5.0,,76.7,84.9,O
稍重|3.9,199,9,,4.5,,121.7,91.2,O
稍重|4.0,204,6,,2.9,,46.9,69.4,X
稍重|4.1,161,4,,2.5,,68.0,97.1,O
稍重|4.2,158,2,,1.3,,39.9,47.1,X
稍重|4.3,146,3,,2.1,,16.2,82.4,O
稍重|4.4,154,6,,3.9,,73.2,86.9,O
稍重|4.5,150,6,,4.0,,103.3,92.7,O
稍重|4.6,147,4,,2.7,,111.9,50.7,X
稍重|4.7,135,1,,0.7,,26.3,53.9,X
稍重|4.8,154,3,,1.9,,42.9,80.5,O
稍重|4.9,128,2,,1.6,,36.1,70.5,X
稍重|5.0,144,2,,1.4,,58.7,46.3,X
稍重|5.1,133,3,,2.3,,35.6,75.6,X
稍重|5.2,138,5,,3.6,,120.7,144.8,O
稍重|5.3,124,2,,1.6,,30.4,87.6,O
稍重|5.4,108,2,,1.9,,44.5,46.1,X
稍重|5.5,87,2,,2.3,,77.3,72.2,X
稍重|5.6,113,2,,1.8,,80.4,87.8,O
稍重|5.7,105,1,,1.0,,69.2,59.1,X
稍重|5.8,103,3,,2.9,,179.3,149.1,O
稍重|5.9,88,2,,2.3,,69.1,131.0,O
稍重|6.0,96,7,,7.3,,250.0,152.1,O
稍重|6.1,92,2,,2.2,,120.2,90.5,O
稍重|6.2,80,3,,3.8,,228.6,76.3,X
稍重|6.3,69,2,,2.9,,29.8,84.4,O
稍重|6.4,74,4,,5.4,,195.1,99.2,O
稍重|6.5,63,1,,1.6,,12.0,58.6,X
稍重|6.6,78,3,,3.8,,181.0,78.1,X
稍重|6.7,68,1,,1.5,,65.5,98.4,O
稍重|6.8,61,1,,1.6,,28.1,31.1,X
稍重|6.9,64,2,,3.1,,148.6,101.5,O
稍重|7.0,57,0,,0.0,,0.0,80.2,O
稍重|7.1,65,3,,4.6,,129.6,79.2,X
稍重|7.2,56,0,,0.0,,0.0,46.0,X
稍重|7.3,72,1,,1.4,,30.4,28.3,X
稍重|7.4,48,0,,0.0,,0.0,60.4,X
稍重|7.5,45,0,,0.0,,0.0,28.8,X
稍重|7.6,56,1,,1.8,,76.9,79.2,X
稍重|7.7,56,1,,1.8,,215.5,139.1,O
稍重|7.8,30,0,,0.0,,0.0,105.6,O
稍重|7.9,49,0,,0.0,,0.0,120.5,O
稍重|8.0,40,0,,0.0,,0.0,143.1,O
稍重|8.1,45,1,,2.2,,72.6,94.1,O
稍重|8.2,51,2,,3.9,,246.9,65.3,X
稍重|8.4,30,1,,3.3,,372.5,66.3,X
稍重|8.6,31,0,,0.0,,0.0,9.2,X
稍重|9.0,33,0,,0.0,,0.0,96.7,O
稍重|9.4,31,3,,9.7,,416.2,113.6,O
良|1.2,795,369,,46.4,,81.7,92.0,O
良|1.3,1635,539,,33.0,,77.4,85.6,O
良|1.4,2128,578,,27.2,,79.5,87.0,O
良|1.5,2142,468,,21.8,,79.2,80.9,O
良|1.6,2004,376,,18.8,,76.3,82.0,O
良|1.7,1975,303,,15.3,,75.0,75.6,X
良|1.8,1904,296,,15.5,,83.3,78.4,X
良|1.9,1695,222,,13.1,,86.7,82.8,O
良|10.0,71,3,,4.2,,49.6,59.2,X
良|10.1,72,0,,0.0,,0.0,108.2,O
良|10.2,69,2,,2.9,,148.8,171.0,O
良|10.3,67,1,,1.5,,26.4,43.4,X
良|10.4,71,3,,4.2,,84.6,97.4,O
良|10.5,61,0,,0.0,,0.0,66.2,X
良|10.6,61,1,,1.6,,43.8,89.0,O
良|10.7,62,0,,0.0,,0.0,0.0,X
良|10.8,43,1,,2.3,,317.8,150.2,O
