bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|0.0,3509,270,,7.7,,94.4,82.4,O
05|1.0,16215,1316,,8.1,,71.1,76.5,X
05|10.0,3677,370,,10.1,,80.3,83.3,O
05|11.0,3122,291,,9.3,,90.8,83.3,O
05|12.0,2643,240,,9.1,,77.1,80.5,O
05|13.0,2207,203,,9.2,,91.1,76.4,X
05|14.0,1914,147,,7.7,,68.2,70.0,X
05|15.0,1613,133,,8.2,,65.3,66.9,X
05|16.0,1358,98,,7.2,,68.7,72.3,X
05|17.0,1143,96,,8.4,,94.9,65.7,X
05|18.0,925,72,,7.8,,78.5,71.8,X
05|19.0,795,67,,8.4,,121.3,80.4,O
05|2.0,18333,1770,,9.7,,73.8,76.9,X
05|20.0,749,77,,10.3,,107.7,93.1,O
05|21.0,586,40,,6.8,,60.4,66.6,X
05|22.0,476,36,,7.6,,74.2,73.7,X
05|23.0,392,35,,8.9,,90.6,90.9,O
05|24.0,273,23,,8.4,,118.9,129.8,O
05|25.0,334,25,,7.5,,52.2,62.8,X
05|26.0,567,43,,7.6,,88.5,74.1,X
05|27.0,375,27,,7.2,,79.6,85.0,O
05|28.0,298,22,,7.4,,83.5,80.5,O
05|29.0,239,23,,9.6,,64.7,71.4,X
05|3.0,11613,1061,,9.1,,70.0,72.1,X
05|30.0,232,14,,6.0,,24.0,50.0,X
05|31.0,200,24,,12.0,,68.5,78.0,X
05|32.0,166,12,,7.2,,107.6,74.3,X
05|33.0,160,18,,11.2,,128.7,90.4,O
05|34.0,146,12,,8.2,,127.1,107.0,O
05|35.0,141,9,,6.4,,37.8,67.3,X
05|36.0,123,9,,7.3,,92.3,78.6,X
05|37.0,102,12,,11.8,,96.7,62.0,X
05|38.0,109,8,,7.3,,67.7,71.3,X
05|39.0,90,6,,6.7,,36.6,85.7,O
05|4.0,5190,462,,8.9,,72.3,83.2,O
05|40.0,103,7,,6.8,,34.6,39.1,X
05|41.0,84,6,,7.1,,41.7,30.2,X
05|42.0,82,6,,7.3,,53.6,42.3,X
05|43.0,59,6,,10.2,,80.6,135.0,O
05|44.0,72,7,,9.7,,70.7,54.3,X
05|45.0,68,5,,7.4,,121.0,103.9,O
05|46.0,61,3,,4.9,,60.8,46.9,X
05|47.0,59,3,,5.1,,29.7,59.7,X
05|48.0,47,1,,2.1,,1.8,82.9,O
05|49.0,32,0,,0.0,,0.0,11.5,X
05|5.0,4556,390,,8.6,,86.5,77.1,X
05|50.0,41,3,,7.3,,46.3,18.8,X
05|51.0,44,4,,9.1,,108.4,136.8,O
05|53.0,31,4,,12.9,,33.7,55.1,X
05|6.0,4464,434,,9.7,,92.0,91.4,O
05|7.0,4555,454,,10.0,,87.8,78.3,X
05|8.0,4672,433,,9.3,,85.1,81.4,O
