bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|-10,86,18,,20.9,,55.8,58.4,X
05|0,103,18,,17.5,,66.2,75.0,X
06|-10,282,47,,16.7,,70.0,71.3,X
06|0,340,63,,18.5,,70.4,83.7,O
06|10,46,9,,19.6,,67.2,85.3,O
07|-10,807,134,,16.6,,72.5,66.5,X
07|-20,40,4,,10.0,,71.5,31.6,X
07|0,1130,165,,14.6,,64.3,70.2,X
07|10,178,28,,15.7,,69.8,90.4,O
08|-10,2282,322,,14.1,,66.8,75.7,X
08|-20,153,17,,11.1,,110.7,107.8,O
08|0,3069,420,,13.7,,69.6,82.5,O
08|10,482,70,,14.5,,75.7,79.2,X
08|20,47,6,,12.8,,103.8,122.9,O
09|-10,3564,411,,11.5,,84.9,81.7,O
09|-20,257,27,,10.5,,100.9,67.6,X
09|0,5032,671,,13.3,,75.7,79.0,X
09|10,754,96,,12.7,,70.6,86.0,O
09|20,86,12,,14.0,,36.0,41.2,X
10|-10,5468,619,,11.3,,72.6,84.9,O
10|-20,400,38,,9.5,,62.8,70.6,X
10|0,7615,889,,11.7,,77.7,79.1,X
10|10,1137,122,,10.7,,63.2,68.0,X
10|20,109,15,,13.8,,136.0,93.2,O
11|-10,6677,715,,10.7,,84.1,84.0,O
11|-20,511,55,,10.8,,111.4,77.3,X
11|0,8877,957,,10.8,,82.3,79.7,X
11|10,1403,134,,9.6,,55.5,70.0,X
11|20,143,20,,14.0,,92.1,104.7,O
12|-10,8972,860,,9.6,,80.2,78.2,X
12|-20,672,56,,8.3,,77.9,89.0,O
12|-30,40,1,,2.5,,36.5,38.2,X
12|0,12528,1306,,10.4,,82.5,78.9,X
12|10,1858,188,,10.1,,86.8,78.5,X
12|20,183,5,,2.7,,16.2,82.1,O
13|-10,8962,882,,9.8,,79.7,78.5,X
13|-20,713,48,,6.7,,58.6,70.2,X
13|0,12104,1137,,9.4,,74.4,78.7,X
13|10,1859,158,,8.5,,70.6,71.5,X
13|20,206,23,,11.2,,131.5,86.7,O
14|-10,12893,1191,,9.2,,82.9,80.9,O
14|-20,1096,77,,7.0,,65.2,76.6,X
14|-30,46,2,,4.3,,19.5,45.1,X
14|0,17993,1625,,9.0,,75.3,77.1,X
14|10,2966,236,,8.0,,73.5,75.9,X
14|20,318,20,,6.3,,70.6,72.7,X
14|30,30,4,,13.3,,208.7,118.0,O
15|-10,14496,1235,,8.5,,80.3,78.1,X
15|-20,1256,80,,6.4,,77.9,71.2,X
15|-30,74,3,,4.1,,34.7,102.8,O
15|0,18835,1668,,8.9,,77.2,77.5,X
15|10,2877,218,,7.6,,72.6,84.0,O
15|20,329,25,,7.6,,102.9,74.4,X
16|-10,45268,3710,,8.2,,79.1,78.1,X
16|-20,3792,221,,5.8,,66.1,79.5,X
16|-30,161,8,,5.0,,91.4,85.8,O
16|0,61046,5298,,8.7,,80.3,79.8,X
16|10,9913,749,,7.6,,79.9,79.6,X
16|20,1118,85,,7.6,,114.4,94.3,O
16|30,127,9,,7.1,,78.7,97.7,O
17|-10,1947,159,,8.2,,75.0,82.7,O
17|-20,153,13,,8.5,,103.0,60.6,X
17|0,2707,218,,8.1,,68.3,80.3,O
17|10,465,34,,7.3,,54.5,71.8,X
17|20,43,4,,9.3,,40.6,35.8,X
18|-10,9705,729,,7.5,,75.2,74.5,X
18|-20,796,46,,5.8,,85.8,89.0,O
18|-30,42,2,,4.8,,77.4,100.1,O
18|0,12831,1016,,7.9,,78.6,77.9,X
18|10,2170,168,,7.7,,92.2,89.3,O
18|20,240,25,,10.4,,80.8,94.9,O
18|30,32,3,,9.4,,342.5,204.1,O
