bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|A,139,43,,30.9,,104.2,85.4,O
05|B,54,10,,18.5,,64.3,99.9,O
06|A,369,83,,22.5,,70.6,82.6,O
06|B,213,39,,18.3,,77.6,70.2,X
06|C,107,12,,11.2,,46.7,61.9,X
06|D,91,12,,13.2,,101.8,88.4,O
07|A,1249,254,,20.3,,79.4,75.8,X
07|B,594,75,,12.6,,61.8,67.6,X
07|C,291,25,,8.6,,51.6,65.9,X
07|D,277,22,,7.9,,39.5,60.6,X
07|E,44,4,,9.1,,12.2,31.2,X
08|A,3141,563,,17.9,,77.7,82.7,O
08|B,1609,199,,12.4,,74.6,80.3,O
08|C,792,87,,11.0,,69.4,82.9,O
08|D,826,66,,8.0,,45.8,68.7,X
08|E,178,7,,3.9,,57.3,76.6,X
09|A,4708,770,,16.4,,76.2,80.9,O
09|B,2648,318,,12.0,,98.1,82.5,O
09|C,1389,126,,9.1,,87.9,75.6,X
09|D,1284,92,,7.2,,63.5,76.4,X
09|E,343,19,,5.5,,53.8,69.6,X
10|A,6942,1015,,14.6,,80.1,80.4,O
10|B,3834,389,,10.1,,75.7,79.1,X
10|C,2255,182,,8.1,,64.2,85.1,O
10|D,2009,173,,8.6,,66.1,77.2,X
10|E,450,25,,5.6,,41.1,58.3,X
11|A,8095,1118,,13.8,,86.8,82.9,O
11|B,4782,489,,10.2,,82.4,80.4,O
11|C,2799,200,,7.1,,68.6,71.9,X
11|D,2510,197,,7.8,,72.7,81.8,O
11|E,645,29,,4.5,,53.9,54.0,X
12|A,10085,1227,,12.2,,78.2,79.9,X
12|B,6448,624,,9.7,,88.4,82.5,O
12|C,4034,328,,8.1,,84.2,81.2,O
12|D,3505,284,,8.1,,82.9,71.7,X
12|E,992,58,,5.8,,66.1,63.3,X
13|A,10357,1253,,12.1,,76.4,81.5,O
13|B,6273,530,,8.4,,74.5,77.2,X
13|C,3943,301,,7.6,,90.6,76.8,X
13|D,3546,253,,7.1,,75.7,73.6,X
13|E,964,56,,5.8,,53.4,74.8,X
14|A,13652,1483,,10.9,,80.5,79.9,X
14|B,9053,818,,9.0,,73.7,77.0,X
14|C,5931,437,,7.4,,73.9,75.8,X
14|D,5315,353,,6.6,,78.1,76.0,X
14|E,1579,98,,6.2,,69.9,78.0,X
15|A,13652,1415,,10.4,,75.6,77.6,X
15|B,10086,846,,8.4,,75.6,79.7,X
15|C,7484,570,,7.6,,82.8,80.2,O
15|D,6360,423,,6.7,,79.6,76.0,X
15|E,1758,108,,6.1,,80.5,73.0,X
16|A,44317,4471,,10.1,,82.2,79.7,X
16|B,32310,2692,,8.3,,80.8,79.2,X
16|C,24445,1752,,7.2,,79.8,81.4,O
16|D,20952,1370,,6.5,,78.0,76.3,X
16|E,6204,377,,6.1,,79.9,76.4,X
17|A,2900,299,,10.3,,79.4,76.5,X
17|B,1395,106,,7.6,,69.8,85.2,O
17|C,843,51,,6.0,,69.6,72.0,X
17|D,734,33,,4.5,,54.8,82.4,O
17|E,205,8,,3.9,,18.6,117.9,O
18|A,12617,1216,,9.6,,86.2,78.8,X
18|B,6821,449,,6.6,,77.0,81.4,O
18|C,4270,269,,6.3,,82.5,72.3,X
18|D,3560,211,,5.9,,59.3,71.4,X
18|E,1016,44,,4.3,,74.8,91.4,O
