bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|0,93,17,,18.3,,56.8,67.8,X
05|2,103,25,,24.3,,74.7,77.0,X
05|5,46,8,,17.4,,57.0,73.2,X
06|0,355,58,,16.3,,73.3,71.9,X
06|1,73,12,,16.4,,76.0,113.2,O
06|2,271,54,,19.9,,65.9,80.0,O
06|5,145,24,,16.6,,70.0,58.3,X
07|0,836,112,,13.4,,62.1,61.8,X
07|1,218,30,,13.8,,52.4,71.4,X
07|2,998,166,,16.6,,70.8,75.8,X
07|3,30,6,,20.0,,68.2,48.0,X
07|5,521,83,,15.9,,75.7,70.8,X
08|0,1915,226,,11.8,,64.9,78.4,X
08|1,564,68,,12.1,,52.7,76.9,X
08|2,2896,414,,14.3,,69.0,81.4,O
08|3,114,15,,13.2,,52.2,61.4,X
08|5,1474,234,,15.9,,91.1,81.6,O
09|0,2964,324,,10.9,,84.6,79.5,X
09|1,948,107,,11.3,,84.9,73.9,X
09|2,4445,608,,13.7,,72.5,79.8,X
09|3,139,14,,10.1,,81.4,106.6,O
09|5,2452,318,,13.0,,82.5,81.1,O
09|6,34,5,,14.7,,21.7,84.3,O
10|0,4063,415,,10.2,,70.6,79.1,X
10|1,1628,183,,11.2,,71.4,76.8,X
10|2,6779,835,,12.3,,79.0,81.4,O
10|3,222,27,,12.2,,68.5,79.6,X
10|5,3514,398,,11.3,,76.0,79.5,X
10|6,67,5,,7.5,,16.0,60.6,X
11|0,5327,517,,9.7,,88.4,79.6,X
11|1,2436,227,,9.3,,77.5,77.3,X
11|2,7458,849,,11.4,,77.3,81.1,O
11|3,270,30,,11.1,,53.6,73.6,X
11|5,4189,467,,11.1,,80.1,79.9,X
11|6,79,16,,20.3,,324.7,121.3,O
12|0,7251,627,,8.6,,87.6,78.0,X
12|1,4634,462,,10.0,,85.3,80.1,O
12|2,8599,919,,10.7,,78.9,77.8,X
12|3,281,38,,13.5,,129.7,87.7,O
12|5,5591,580,,10.4,,71.6,82.6,O
12|6,75,8,,10.7,,26.8,63.2,X
13|0,6520,531,,8.1,,80.7,78.2,X
13|1,3836,326,,8.5,,69.9,76.6,X
13|2,9096,927,,10.2,,74.2,77.1,X
13|3,257,18,,7.0,,111.1,79.7,X
13|5,6320,656,,10.4,,82.0,79.0,X
13|6,83,9,,10.8,,50.0,53.4,X
14|0,11746,903,,7.7,,74.5,79.1,X
14|1,6083,515,,8.5,,79.2,77.0,X
14|2,11176,1076,,9.6,,76.1,77.8,X
14|3,375,36,,9.6,,74.3,64.8,X
14|5,7972,800,,10.0,,80.4,80.4,O
14|6,127,11,,8.7,,137.7,76.4,X
15|0,10537,695,,6.6,,77.8,76.6,X
15|1,8165,681,,8.3,,75.4,77.5,X
15|2,12004,1128,,9.4,,75.0,77.7,X
15|3,239,26,,10.9,,156.4,79.1,X
15|5,9432,902,,9.6,,78.7,80.9,O
15|6,113,10,,8.8,,62.2,57.0,X
16|0,36623,2417,,6.6,,83.9,78.4,X
16|1,32708,2759,,8.4,,79.3,77.9,X
16|2,29277,2624,,9.0,,85.3,80.4,O
16|3,816,76,,9.3,,82.3,73.6,X
16|5,32239,3014,,9.3,,76.0,79.8,X
16|6,343,35,,10.2,,98.4,63.9,X
17|0,1740,118,,6.8,,70.8,78.1,X
17|1,1185,88,,7.4,,69.3,74.8,X
17|2,1490,139,,9.3,,77.2,84.2,O
17|5,1753,151,,8.6,,69.5,80.6,O
17|6,35,5,,14.3,,116.5,130.4,O
18|0,7842,481,,6.1,,76.7,76.7,X
18|1,6973,482,,6.9,,77.0,75.5,X
18|2,5397,491,,9.1,,75.8,81.1,O
18|3,111,12,,10.8,,163.1,92.9,O
18|5,8552,753,,8.8,,80.7,79.7,X
18|6,87,5,,5.7,,59.7,64.2,X
