bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
06|1,34,2,,5.9,,7.0,12.9,X
06|2,34,8,,23.5,,47.2,71.4,X
06|3,35,5,,14.3,,35.1,64.1,X
06|4,36,10,,27.8,,85.0,56.1,X
07|1,62,6,,9.7,,19.4,70.8,X
07|2,61,14,,23.0,,64.9,49.4,X
07|3,58,10,,17.2,,45.4,42.4,X
07|4,60,7,,11.7,,32.2,91.6,O
08|1,144,12,,8.3,,38.9,60.3,X
08|2,153,26,,17.0,,40.9,65.1,X
08|3,143,14,,9.8,,56.1,88.3,O
08|4,149,20,,13.4,,46.9,51.5,X
08|5,151,20,,13.2,,56.2,84.8,O
09|1,236,20,,8.5,,92.9,89.6,O
09|2,229,33,,14.4,,104.3,82.2,O
09|3,231,37,,16.0,,82.3,83.5,O
09|4,221,29,,13.1,,113.4,83.9,O
09|5,219,24,,11.0,,39.0,64.7,X
09|6,220,27,,12.3,,69.4,78.7,X
10|1,336,37,,11.0,,95.0,79.6,X
10|2,327,40,,12.2,,83.7,80.1,O
10|3,325,32,,9.8,,70.2,78.6,X
10|4,330,33,,10.0,,91.5,77.3,X
10|5,317,39,,12.3,,48.6,73.8,X
10|6,310,44,,14.2,,101.8,71.2,X
10|7,308,33,,10.7,,87.7,80.4,O
11|1,414,46,,11.1,,135.0,92.8,O
11|2,401,42,,10.5,,72.1,87.8,O
11|3,401,40,,10.0,,61.5,70.1,X
11|4,396,48,,12.1,,115.9,75.9,X
11|5,395,40,,10.1,,85.1,77.9,X
11|6,380,30,,7.9,,55.8,57.8,X
11|7,380,50,,13.2,,72.2,69.4,X
11|8,365,32,,8.8,,63.4,88.5,O
12|1,684,55,,8.0,,91.2,77.5,X
12|2,668,89,,13.3,,120.1,84.7,O
12|3,654,76,,11.6,,69.7,80.2,O
12|4,644,60,,9.3,,49.6,64.4,X
12|5,627,41,,6.5,,53.7,85.5,O
12|6,622,52,,8.4,,45.7,68.9,X
12|7,600,74,,12.3,,90.2,72.1,X
12|8,601,58,,9.7,,84.5,78.2,X
13|1,549,49,,8.9,,86.7,74.7,X
13|2,537,53,,9.9,,64.3,65.3,X
13|3,523,52,,9.9,,103.4,100.5,O
13|4,507,54,,10.7,,95.0,79.7,X
13|5,496,50,,10.1,,78.9,84.1,O
13|6,506,55,,10.9,,103.5,86.4,O
13|7,490,53,,10.8,,99.2,99.7,O
13|8,469,36,,7.7,,68.6,75.1,X
14|1,1099,74,,6.7,,68.6,77.2,X
14|2,1058,97,,9.2,,89.6,84.9,O
14|3,1058,84,,7.9,,68.1,75.4,X
14|4,1041,102,,9.8,,75.3,78.3,X
14|5,1025,98,,9.6,,105.1,81.2,O
14|6,987,85,,8.6,,68.9,78.2,X
14|7,965,82,,8.5,,76.0,82.3,O
14|8,932,76,,8.2,,71.6,88.2,O
15|1,1349,137,,10.2,,92.9,79.4,X
15|2,1325,112,,8.5,,71.7,71.3,X
15|3,1302,150,,11.5,,87.4,81.7,O
15|4,1267,129,,10.2,,81.4,88.9,O
15|5,1268,115,,9.1,,91.8,81.5,O
15|6,1231,130,,10.6,,84.7,85.7,O
15|7,1197,106,,8.9,,96.7,74.1,X
15|8,1144,93,,8.1,,78.6,73.3,X
16|1,1624,104,,6.4,,65.7,76.0,X
16|2,1606,134,,8.3,,69.1,67.0,X
16|3,1560,161,,10.3,,74.4,76.5,X
16|4,1555,146,,9.4,,107.8,89.4,O
16|5,1530,141,,9.2,,71.3,82.4,O
16|6,1487,124,,8.3,,73.5,80.8,O
16|7,1452,130,,9.0,,87.8,85.5,O
16|8,1435,119,,8.3,,98.7,81.0,O
17|1,79,5,,6.3,,63.9,69.5,X
17|2,78,9,,11.5,,69.6,98.7,O
17|3,72,4,,5.6,,88.3,41.5,X
17|4,72,4,,5.6,,19.5,59.9,X
17|5,73,3,,4.1,,12.6,43.9,X
17|6,71,4,,5.6,,31.4,45.4,X
17|7,69,9,,13.0,,151.0,95.3,O
17|8,68,12,,17.6,,50.2,107.8,O
18|1,410,24,,5.9,,39.7,72.9,X
18|2,411,34,,8.3,,82.8,86.7,O
18|3,414,38,,9.2,,41.8,65.2,X
18|4,407,35,,8.6,,114.4,83.5,O
18|5,386,39,,10.1,,124.1,94.6,O
18|6,380,42,,11.1,,96.5,69.8,X
18|7,376,35,,9.3,,94.5,78.7,X
18|8,363,30,,8.3,,72.0,80.6,O
