bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
06|02,39,7,,17.9,,53.1,52.7,X
07|01,37,5,,13.5,,32.8,38.1,X
07|02,113,18,,15.9,,64.0,81.7,O
07|05,37,6,,16.2,,33.5,77.2,X
08|01,100,13,,13.0,,43.1,89.9,O
08|02,232,36,,15.5,,82.3,70.1,X
08|03,128,14,,10.9,,60.1,66.7,X
08|04,106,16,,15.1,,82.6,76.4,X
08|05,149,24,,16.1,,45.3,71.8,X
08|06,71,9,,12.7,,39.2,75.4,X
08|07,32,3,,9.4,,38.4,75.7,X
08|09,55,9,,16.4,,97.0,98.5,O
08|10,32,5,,15.6,,37.7,63.8,X
09|01,150,19,,12.7,,108.3,71.8,X
09|02,413,44,,10.7,,101.3,94.7,O
09|03,170,20,,11.8,,89.8,75.3,X
09|04,170,17,,10.0,,85.3,91.0,O
09|05,240,32,,13.3,,68.5,70.9,X
09|06,137,14,,10.2,,75.9,69.1,X
09|07,94,20,,21.3,,64.8,83.5,O
09|08,82,10,,12.2,,83.6,97.1,O
09|09,102,16,,15.7,,63.4,52.3,X
09|10,60,10,,16.7,,75.4,67.2,X
10|01,204,24,,11.8,,87.5,89.7,O
10|02,542,50,,9.2,,63.8,73.7,X
10|03,327,32,,9.8,,61.9,81.4,O
10|04,338,42,,12.4,,112.2,75.8,X
10|05,416,64,,15.4,,114.9,84.6,O
10|06,292,28,,9.6,,80.7,80.4,O
10|07,165,12,,7.3,,45.2,77.0,X
10|08,121,19,,15.7,,100.3,71.7,X
10|09,201,21,,10.4,,67.0,67.8,X
10|10,120,17,,14.2,,97.1,71.8,X
11|01,223,19,,8.5,,51.0,61.9,X
11|02,754,77,,10.2,,75.7,74.0,X
11|03,387,29,,7.5,,65.4,85.9,O
11|04,504,51,,10.1,,73.1,75.3,X
11|05,501,68,,13.6,,101.7,63.8,X
11|06,379,34,,9.0,,40.4,69.5,X
11|07,210,23,,11.0,,82.0,80.3,O
11|08,194,17,,8.8,,60.6,85.1,O
11|09,288,37,,12.8,,67.5,84.4,O
11|10,151,22,,14.6,,124.1,83.3,O
12|01,857,87,,10.2,,62.2,74.4,X
12|02,1518,138,,9.1,,67.6,76.4,X
12|03,578,44,,7.6,,78.2,70.2,X
12|04,761,76,,10.0,,96.9,85.2,O
12|05,787,74,,9.4,,77.3,85.5,O
12|06,574,61,,10.6,,86.9,80.1,O
12|07,396,38,,9.6,,66.4,75.4,X
12|08,321,39,,12.1,,80.2,64.7,X
12|09,442,46,,10.4,,74.0,89.6,O
12|10,223,21,,9.4,,108.7,67.5,X
12|30,36,2,,5.6,,11.1,108.2,O
13|01,520,43,,8.3,,74.0,75.9,X
13|02,797,68,,8.5,,49.5,80.8,O
13|03,639,50,,7.8,,90.7,72.4,X
13|04,792,64,,8.1,,59.7,81.4,O
13|05,751,93,,12.4,,105.1,79.6,X
13|06,592,48,,8.1,,58.9,72.1,X
13|07,380,27,,7.1,,57.7,88.8,O
13|08,330,39,,11.8,,84.7,79.5,X
13|09,451,56,,12.4,,79.9,93.3,O
13|10,237,24,,10.1,,88.0,87.2,O
14|01,2101,171,,8.1,,74.7,75.8,X
14|02,2129,180,,8.5,,75.3,74.1,X
14|03,1252,99,,7.9,,76.8,78.5,X
14|04,1297,106,,8.2,,66.0,86.1,O
14|05,1493,166,,11.1,,97.8,82.1,O
14|06,935,63,,6.7,,57.2,67.4,X
14|07,826,77,,9.3,,87.5,85.6,O
14|08,652,63,,9.7,,73.0,76.7,X
14|09,913,89,,9.7,,122.4,90.8,O
14|10,508,55,,10.8,,87.0,76.8,X
14|30,53,2,,3.8,,107.7,100.2,O
15|01,398,28,,7.0,,89.7,65.2,X
15|02,493,35,,7.1,,75.0,65.2,X
15|03,2245,192,,8.6,,66.2,75.3,X
15|04,2438,222,,9.1,,72.7,79.6,X
15|05,3039,238,,7.8,,81.7,77.2,X
15|06,2153,166,,7.7,,91.5,71.5,X
15|07,1236,108,,8.7,,88.8,74.9,X
15|08,827,67,,8.1,,70.7,87.7,O
15|09,1333,147,,11.0,,104.2,92.8,O
15|10,796,72,,9.0,,89.6,85.0,O
15|42,30,0,,0.0,,0.0,174.3,O
15|43,47,3,,6.4,,46.3,73.3,X
15|44,38,1,,2.6,,73.7,106.6,O
15|45,58,2,,3.4,,155.0,65.9,X
15|48,36,1,,2.8,,17.8,112.4,O
15|50,56,4,,7.1,,59.8,73.7,X
16|01,1402,107,,7.6,,71.5,78.1,X
16|02,1507,114,,7.6,,80.5,81.3,O
16|03,2144,178,,8.3,,89.2,80.5,O
16|04,2401,176,,7.3,,75.9,80.0,O
16|05,3520,302,,8.6,,69.7,80.8,O
16|06,3200,224,,7.0,,68.6,76.9,X
16|07,1523,134,,8.8,,81.3,80.4,O
16|08,1077,110,,10.2,,106.4,85.1,O
16|09,1291,108,,8.4,,80.7,70.3,X
16|10,1497,110,,7.3,,78.8,84.9,O
16|30,31,1,,3.2,,231.4,106.7,O
16|45,31,2,,6.5,,368.3,186.8,O
16|50,49,2,,4.1,,90.1,124.7,O
17|03,105,6,,5.7,,75.6,70.3,X
17|04,205,17,,8.3,,65.8,65.5,X
17|05,199,15,,7.5,,114.6,95.7,O
17|06,75,8,,10.7,,48.5,42.7,X
17|07,57,5,,8.8,,27.5,61.5,X
17|08,36,2,,5.6,,29.5,44.2,X
17|09,55,7,,12.7,,67.3,50.4,X
17|10,50,1,,2.0,,6.6,42.6,X
18|01,147,9,,6.1,,62.0,101.5,O
18|02,163,13,,8.0,,88.6,64.2,X
18|03,721,53,,7.4,,89.6,83.6,O
18|04,1268,96,,7.6,,87.9,81.1,O
18|05,997,77,,7.7,,80.7,61.9,X
18|06,413,27,,6.5,,43.1,73.9,X
