bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|0,6062,571,,9.4,,83.4,77.4,X
2|1,1128,148,,13.1,,70.2,74.9,X
2|2,2245,290,,12.9,,80.1,78.9,X
2|3,2173,181,,8.3,,72.1,77.2,X
2|4,1378,106,,7.7,,77.0,73.3,X
3|0,905,42,,4.6,,88.5,58.1,X
3|1,4521,576,,12.7,,84.6,78.3,X
3|2,11091,1236,,11.1,,85.1,80.7,O
3|3,11889,1054,,8.9,,76.6,78.4,X
3|4,6385,435,,6.8,,66.0,73.2,X
4|1,2208,217,,9.8,,79.3,74.2,X
4|2,5117,483,,9.4,,82.8,77.6,X
4|3,5964,481,,8.1,,74.0,82.2,O
4|4,3229,228,,7.1,,73.5,80.7,O
5|1,1146,100,,8.7,,63.7,78.0,X
5|2,2783,240,,8.6,,96.6,82.9,O
5|3,3832,270,,7.0,,76.7,80.8,O
5|4,2506,141,,5.6,,96.2,77.3,X
6|1,471,35,,7.4,,81.6,82.7,O
6|2,1072,73,,6.8,,91.3,90.9,O
6|3,1610,100,,6.2,,78.5,80.1,O
6|4,1403,61,,4.3,,75.9,72.3,X
7|1,203,18,,8.9,,64.7,63.7,X
7|2,342,26,,7.6,,72.2,81.0,O
7|3,641,36,,5.6,,74.4,68.5,X
7|4,639,28,,4.4,,52.2,79.4,X
8|1,65,5,,7.7,,47.2,84.4,O
8|2,118,8,,6.8,,56.1,60.6,X
8|3,217,14,,6.5,,87.5,67.8,X
8|4,194,10,,5.2,,122.1,149.3,O
9|3,46,2,,4.3,,24.5,24.6,X
9|4,51,2,,3.9,,15.7,53.9,X
