bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|221,40,0,,0.0,,0.0,42.8,X
2|1,113,11,,9.7,,68.8,100.3,O
2|11,159,21,,13.2,,60.1,78.4,X
2|111,227,25,,11.0,,75.1,78.4,X
2|112,34,6,,17.6,,301.7,89.6,O
2|113,41,7,,17.1,,44.8,68.2,X
2|121,485,63,,13.0,,107.9,87.9,O
2|122,2280,244,,10.7,,75.5,77.4,X
2|132,850,107,,12.6,,97.1,91.7,O
2|133,1556,148,,9.5,,90.8,83.0,O
2|2,872,92,,10.6,,75.2,75.4,X
2|21,2419,268,,11.1,,73.7,81.2,O
2|211,532,75,,14.1,,105.0,86.3,O
2|212,300,55,,18.3,,147.6,98.1,O
2|213,298,32,,10.7,,55.9,88.6,O
2|22,1664,177,,10.6,,79.9,78.5,X
2|221,855,108,,12.6,,85.2,89.5,O
2|222,5315,571,,10.7,,71.9,81.8,O
2|223,342,26,,7.6,,27.5,53.7,X
2|232,1469,162,,11.0,,85.5,81.9,O
2|233,3527,378,,10.7,,69.8,75.6,X
2|3,46,3,,6.5,,46.7,60.0,X
2|32,3847,368,,9.6,,85.5,74.5,X
2|321,247,21,,8.5,,82.5,67.3,X
2|322,638,58,,9.1,,53.9,64.3,X
2|323,806,58,,7.2,,63.0,77.8,X
2|33,697,36,,5.2,,42.9,56.9,X
2|331,60,6,,10.0,,248.7,166.2,O
2|332,296,35,,11.8,,77.4,58.3,X
2|333,345,30,,8.7,,63.2,69.0,X
3|1,477,43,,9.0,,53.8,101.7,O
3|11,1174,132,,11.2,,75.0,75.9,X
3|111,1894,235,,12.4,,80.4,83.5,O
3|112,122,12,,9.8,,106.5,80.8,O
3|113,102,13,,12.7,,91.6,61.6,X
3|121,4603,571,,12.4,,88.3,84.7,O
3|122,11672,1287,,11.0,,83.6,83.5,O
3|123,35,5,,14.3,,67.1,80.5,O
3|132,6484,628,,9.7,,73.7,78.7,X
3|133,6828,586,,8.6,,72.8,79.7,X
3|2,437,43,,9.8,,81.6,78.0,X
3|21,9956,1037,,10.4,,81.6,79.4,X
3|211,2545,313,,12.3,,96.1,85.8,O
3|212,1337,151,,11.3,,68.6,72.1,X
3|213,1456,147,,10.1,,71.8,84.4,O
3|22,5986,565,,9.4,,66.2,75.0,X
3|221,4948,587,,11.9,,83.0,82.3,O
3|222,18287,1978,,10.8,,79.4,79.0,X
3|223,1216,118,,9.7,,89.9,80.8,O
3|232,8480,870,,10.3,,73.3,77.4,X
3|233,12987,1350,,10.4,,79.6,78.9,X
3|3,87,5,,5.7,,9.1,72.0,X
3|311,63,10,,15.9,,220.1,133.8,O
3|32,13007,1138,,8.7,,78.1,77.8,X
3|321,1062,116,,10.9,,81.8,84.9,O
3|322,2494,249,,10.0,,78.3,80.7,O
3|323,2298,170,,7.4,,80.4,75.1,X
3|33,2928,202,,6.9,,69.4,80.3,O
3|331,61,6,,9.8,,142.5,65.8,X
3|332,1048,109,,10.4,,112.9,83.3,O
3|333,962,74,,7.7,,54.8,66.5,X
4|1,61,7,,11.5,,167.6,101.3,O
4|11,873,92,,10.5,,77.1,75.4,X
4|111,1495,202,,13.5,,116.7,87.8,O
4|112,57,1,,1.8,,6.1,51.1,X
4|113,62,8,,12.9,,138.4,95.9,O
4|121,4747,490,,10.3,,88.4,80.9,O
4|122,7768,787,,10.1,,82.4,84.6,O
4|132,5758,519,,9.0,,75.7,80.0,O
4|133,4040,334,,8.3,,71.7,82.9,O
4|2,52,3,,5.8,,15.7,109.0,O
4|21,5395,484,,9.0,,76.6,78.1,X
4|211,1272,156,,12.3,,110.7,87.7,O
4|212,640,70,,10.9,,74.8,80.4,O
4|213,613,51,,8.3,,70.3,71.2,X
4|22,3076,290,,9.4,,74.9,74.1,X
4|221,4070,461,,11.3,,86.1,85.1,O
4|222,7690,754,,9.8,,77.9,80.7,O
4|223,412,31,,7.5,,46.2,68.1,X
4|232,6329,588,,9.3,,83.8,80.1,O
4|233,6317,514,,8.1,,72.6,74.5,X
4|311,75,12,,16.0,,78.1,80.2,O
4|32,5405,430,,8.0,,76.6,77.5,X
4|321,619,65,,10.5,,48.6,68.3,X
4|322,1045,84,,8.0,,60.4,66.6,X
4|323,623,39,,6.3,,46.8,69.9,X
4|33,1420,94,,6.6,,61.6,74.1,X
4|332,703,65,,9.2,,77.4,82.5,O
4|333,377,29,,7.7,,52.8,60.1,X
5|11,838,96,,11.5,,114.8,84.5,O
5|111,1119,106,,9.5,,86.1,80.3,O
5|113,36,2,,5.6,,78.5,119.0,O
5|121,4150,333,,8.0,,82.9,84.5,O
5|122,5055,396,,7.8,,72.0,78.0,X
5|132,4732,363,,7.7,,88.1,81.1,O
5|133,3073,192,,6.2,,80.2,82.6,O
5|21,3319,281,,8.5,,77.6,83.4,O
5|211,825,78,,9.5,,71.2,74.5,X
5|212,256,23,,9.0,,118.5,84.2,O
5|213,251,22,,8.8,,107.1,85.9,O
5|22,1926,147,,7.6,,85.4,76.7,X
5|221,3181,246,,7.7,,63.8,81.7,O
5|222,4134,325,,7.9,,74.3,79.6,X
5|223,171,9,,5.3,,65.4,53.5,X
5|232,4640,319,,6.9,,93.2,80.7,O
5|233,3488,184,,5.3,,84.3,75.4,X
5|311,35,2,,5.7,,20.6,42.6,X
5|32,2944,158,,5.4,,65.2,68.3,X
5|321,436,42,,9.6,,152.1,82.0,O
5|322,557,48,,8.6,,119.4,81.2,O
5|323,171,6,,3.5,,68.6,64.2,X
5|33,895,54,,6.0,,58.2,75.0,X
5|332,521,36,,6.9,,73.8,83.6,O
5|333,176,10,,5.7,,170.0,81.0,O
6|11,458,25,,5.5,,52.7,73.2,X
6|111,655,38,,5.8,,65.1,74.9,X
6|121,2613,169,,6.5,,91.3,70.1,X
6|122,2616,148,,5.7,,65.7,77.5,X
6|132,2471,122,,4.9,,59.3,77.1,X
6|133,1493,78,,5.2,,78.1,71.4,X
6|21,1384,71,,5.1,,61.4,74.8,X
6|211,404,26,,6.4,,70.9,75.1,X
6|212,54,3,,5.6,,90.3,92.3,O
6|213,57,7,,12.3,,94.0,91.2,O
6|22,880,57,,6.5,,119.4,91.5,O
6|221,1686,104,,6.2,,59.4,68.4,X
6|222,1676,90,,5.4,,69.0,69.5,X
6|223,32,3,,9.4,,21.6,82.1,O
6|232,2183,126,,5.8,,77.5,76.3,X
6|233,1181,50,,4.2,,74.0,79.7,X
6|32,1065,43,,4.0,,54.3,65.1,X
6|321,209,13,,6.2,,64.0,75.9,X
6|322,182,10,,5.5,,51.9,46.8,X
6|323,39,2,,5.1,,21.4,60.8,X
6|33,279,8,,2.9,,86.7,64.7,X
