bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|01,4882,471,,9.6,,73.1,76.3,X
2|02,4896,501,,10.2,,77.1,79.2,X
2|03,4857,497,,10.2,,80.8,78.1,X
2|04,4884,549,,11.2,,91.7,76.7,X
2|05,4856,511,,10.5,,73.6,79.9,X
2|06,4799,526,,11.0,,80.0,81.5,O
2|07,4675,520,,11.1,,83.7,77.1,X
2|08,4579,499,,10.9,,86.8,84.1,O
2|09,4197,433,,10.3,,76.7,75.1,X
2|10,3886,380,,9.8,,85.6,80.5,O
2|11,3400,305,,9.0,,73.4,80.3,O
2|12,3046,321,,10.5,,83.2,77.3,X
2|13,2540,234,,9.2,,89.9,86.9,O
2|14,2140,189,,8.8,,76.3,72.2,X
2|15,1808,145,,8.0,,84.7,74.1,X
2|16,1384,98,,7.1,,94.2,84.6,O
2|17,360,26,,7.2,,78.8,85.1,O
2|18,283,19,,6.7,,42.3,58.2,X
3|01,10294,1029,,10.0,,78.9,78.7,X
3|02,10175,1015,,10.0,,88.0,82.0,O
3|03,10217,984,,9.6,,77.0,80.0,O
3|04,10156,1074,,10.6,,85.6,80.7,O
3|05,10202,1028,,10.1,,77.8,78.2,X
3|06,10236,1075,,10.5,,81.5,81.5,O
3|07,10156,1025,,10.1,,82.1,78.3,X
3|08,9993,976,,9.8,,69.3,78.5,X
3|09,9889,970,,9.8,,73.4,75.7,X
3|10,9605,1007,,10.5,,78.0,78.9,X
3|11,8971,879,,9.8,,77.5,76.1,X
3|12,8468,799,,9.4,,74.5,80.0,O
3|13,7754,702,,9.1,,70.5,79.6,X
3|14,7081,713,,10.1,,84.2,83.7,O
3|15,6209,577,,9.3,,74.9,78.0,X
3|16,5027,486,,9.7,,86.1,77.8,X
3|17,921,68,,7.4,,58.2,62.6,X
3|18,826,61,,7.4,,95.7,85.6,O
4|01,5284,517,,9.8,,66.7,75.2,X
4|02,5237,505,,9.6,,86.3,81.7,O
4|03,5199,476,,9.2,,75.0,74.0,X
4|04,5254,542,,10.3,,77.2,81.4,O
4|05,5229,485,,9.3,,75.9,75.9,X
4|06,5227,508,,9.7,,86.7,85.3,O
4|07,5351,512,,9.6,,76.9,78.6,X
4|08,5247,534,,10.2,,81.0,78.7,X
4|09,4957,423,,8.5,,65.6,76.5,X
4|10,4799,428,,8.9,,82.7,83.2,O
4|11,4427,414,,9.4,,82.8,78.9,X
4|12,4048,393,,9.7,,84.4,85.1,O
4|13,3568,294,,8.2,,72.0,76.6,X
4|14,3052,251,,8.2,,76.0,79.3,X
4|15,2518,224,,8.9,,83.6,80.2,O
