bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-10|1,10884,2666,,24.5,,82.6,81.7,O
-10|2,11047,2103,,19.0,,80.2,82.3,O
-10|3,10953,1535,,14.0,,78.8,81.1,O
-10|4,10986,1089,,9.9,,76.3,78.2,X
-10|5,10675,872,,8.2,,78.6,76.7,X
-10|6,10381,748,,7.2,,79.6,79.1,X
-20|1,606,115,,19.0,,81.2,84.6,O
-20|2,653,105,,16.1,,73.9,78.8,X
-20|3,725,94,,13.0,,86.6,74.9,X
-20|4,737,70,,9.5,,74.4,70.6,X
-20|5,853,63,,7.4,,71.8,79.6,X
-20|6,807,54,,6.7,,56.6,69.7,X
-30|5,32,3,,9.4,,16.2,56.3,X
-30|6,40,1,,2.5,,8.8,109.4,O
0|1,15872,3881,,24.5,,77.5,81.1,O
0|2,15555,2933,,18.9,,82.8,82.3,O
0|3,15332,2135,,13.9,,74.5,78.9,X
0|4,15157,1671,,11.0,,82.8,79.8,X
0|5,14893,1167,,7.8,,69.4,77.9,X
0|6,14291,925,,6.5,,68.2,77.1,X
10|1,2165,491,,22.7,,74.9,82.0,O
10|2,2147,396,,18.4,,75.4,81.6,O
10|3,2242,332,,14.8,,85.3,79.7,X
10|4,2227,216,,9.7,,67.3,76.7,X
10|5,2188,153,,7.0,,75.4,80.3,O
10|6,2171,160,,7.4,,85.1,82.3,O
20|1,203,50,,24.6,,73.9,70.7,X
20|2,204,38,,18.6,,90.5,79.7,X
20|3,243,36,,14.8,,110.7,95.0,O
20|4,215,20,,9.3,,78.3,77.1,X
20|5,222,25,,11.3,,143.0,123.6,O
20|6,231,22,,9.5,,138.0,91.1,O
