bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|404,32,5,,15.6,,77.3,42.6,X
2|406,35,1,,2.9,,6.7,22.6,X
2|408,36,5,,13.9,,102.9,93.9,O
2|410,46,6,,13.0,,38.6,83.3,O
2|412,62,13,,21.0,,356.9,97.9,O
2|414,70,6,,8.6,,40.6,67.6,X
2|416,82,10,,12.2,,115.5,85.6,O
2|418,87,9,,10.3,,37.8,81.0,O
2|420,124,17,,13.7,,77.2,94.3,O
2|422,111,15,,13.5,,77.8,56.5,X
2|424,152,16,,10.5,,113.7,65.7,X
2|426,155,19,,12.3,,100.1,100.8,O
2|428,147,22,,15.0,,128.0,79.0,X
2|430,225,31,,13.8,,57.0,62.6,X
2|432,211,32,,15.2,,90.8,103.9,O
2|434,208,30,,14.4,,77.3,95.9,O
2|436,258,24,,9.3,,59.0,71.0,X
2|438,258,33,,12.8,,89.9,88.8,O
2|440,323,52,,16.1,,115.2,78.2,X
2|442,366,40,,10.9,,62.1,63.0,X
2|444,356,44,,12.4,,63.9,71.7,X
2|446,364,49,,13.5,,61.5,63.0,X
2|448,406,58,,14.3,,143.5,91.0,O
2|450,443,55,,12.4,,67.0,80.8,O
2|452,415,53,,12.8,,59.0,72.6,X
2|454,447,59,,13.2,,122.9,85.5,O
2|456,492,68,,13.8,,100.4,86.9,O
2|458,487,62,,12.7,,81.0,85.1,O
2|460,497,59,,11.9,,50.9,79.1,X
2|462,519,80,,15.4,,99.2,95.3,O
2|464,532,95,,17.9,,99.9,80.5,O
2|466,514,71,,13.8,,89.3,73.1,X
2|468,543,67,,12.3,,62.9,72.5,X
2|470,582,92,,15.8,,82.7,85.8,O
2|472,536,79,,14.7,,65.6,87.2,O
2|474,524,73,,13.9,,77.9,84.1,O
2|476,542,80,,14.8,,82.0,94.5,O
2|478,507,73,,14.4,,82.2,73.7,X
2|480,539,83,,15.4,,79.5,77.7,X
2|482,522,82,,15.7,,90.6,74.0,X
2|484,487,75,,15.4,,95.1,71.3,X
2|486,473,73,,15.4,,84.6,96.8,O
2|488,471,71,,15.1,,85.3,76.4,X
2|490,437,69,,15.8,,83.0,76.4,X
2|492,425,75,,17.6,,122.0,85.3,O
2|494,326,50,,15.3,,82.5,88.6,O
2|496,347,50,,14.4,,64.2,73.1,X
2|498,334,55,,16.5,,68.9,71.8,X
2|500,341,70,,20.5,,141.5,88.0,O
2|502,336,56,,16.7,,89.8,101.8,O
2|504,284,45,,15.8,,72.5,87.4,O
2|506,254,32,,12.6,,77.9,74.7,X
2|508,231,28,,12.1,,55.1,80.5,O
2|510,205,38,,18.5,,109.5,96.4,O
2|512,181,23,,12.7,,60.3,87.5,O
2|514,194,41,,21.1,,94.9,69.8,X
2|516,176,31,,17.6,,87.9,79.7,X
2|518,147,23,,15.6,,118.2,70.1,X
2|520,132,14,,10.6,,46.2,76.5,X
2|522,105,16,,15.2,,98.8,97.3,O
2|524,105,17,,16.2,,71.3,83.1,O
2|526,93,21,,22.6,,79.0,85.9,O
2|528,51,6,,11.8,,54.4,69.7,X
2|530,80,17,,21.2,,94.7,113.2,O
2|532,56,5,,8.9,,36.9,70.2,X
2|534,57,14,,24.6,,81.3,102.9,O
2|536,57,7,,12.3,,41.1,65.7,X
2|538,40,8,,20.0,,110.5,146.5,O
3|390,36,1,,2.8,,17.6,61.7,X
3|392,58,2,,3.4,,16.8,64.7,X
3|394,44,2,,4.5,,108.9,130.4,O
3|396,60,1,,1.7,,25.4,85.9,O
3|398,74,3,,4.1,,26.0,64.4,X
3|400,119,5,,4.2,,23.5,55.6,X
3|402,134,7,,5.2,,50.5,70.4,X
3|404,159,10,,6.3,,86.2,85.1,O
3|406,163,9,,5.5,,137.0,80.4,O
3|408,174,7,,4.0,,57.9,77.5,X
3|410,198,10,,5.1,,94.0,91.4,O
3|412,248,10,,4.0,,113.3,93.1,O
3|414,280,16,,5.7,,43.6,46.4,X
3|416,283,16,,5.7,,70.1,71.0,X
3|418,365,22,,6.0,,74.6,83.2,O
3|420,436,21,,4.8,,39.8,75.4,X
3|422,439,19,,4.3,,56.0,60.7,X
3|424,470,30,,6.4,,98.7,84.0,O
3|426,534,25,,4.7,,63.0,90.3,O
3|428,603,34,,5.6,,56.5,88.5,O
3|430,707,34,,4.8,,53.6,80.5,O
3|432,687,44,,6.4,,97.0,80.6,O
3|434,782,50,,6.4,,51.8,70.7,X
3|436,782,60,,7.7,,82.9,93.8,O
3|438,877,49,,5.6,,84.4,91.3,O
3|440,978,79,,8.1,,102.8,79.8,X
3|442,983,58,,5.9,,59.6,81.5,O
3|444,1075,51,,4.7,,64.1,76.8,X
3|446,1070,70,,6.5,,99.4,81.0,O
3|448,1087,86,,7.9,,109.8,84.2,O
3|450,1166,77,,6.6,,65.9,76.2,X
3|452,1270,72,,5.7,,72.7,76.0,X
3|454,1265,86,,6.8,,85.8,93.7,O
3|456,1371,83,,6.1,,77.6,81.5,O
3|458,1331,98,,7.4,,91.6,85.3,O
3|460,1502,99,,6.6,,87.0,81.4,O
3|462,1368,94,,6.9,,60.7,68.6,X
3|464,1375,98,,7.1,,73.7,71.6,X
3|466,1434,125,,8.7,,92.3,76.2,X
3|468,1370,86,,6.3,,60.7,66.3,X
3|470,1414,94,,6.6,,87.2,74.6,X
3|472,1346,100,,7.4,,68.8,89.4,O
3|474,1348,91,,6.8,,88.2,74.4,X
3|476,1356,97,,7.2,,88.6,72.7,X
3|478,1394,89,,6.4,,80.7,74.6,X
3|480,1379,107,,7.8,,83.5,79.0,X
3|482,1257,84,,6.7,,83.5,83.1,O
3|484,1087,89,,8.2,,98.1,81.6,O
3|486,1157,81,,7.0,,69.6,70.4,X
3|488,1090,77,,7.1,,87.1,79.8,X
3|490,1133,77,,6.8,,109.2,79.8,X
3|492,966,71,,7.3,,80.8,82.8,O
3|494,948,70,,7.4,,79.0,78.5,X
3|496,904,53,,5.9,,56.2,67.8,X
3|498,835,44,,5.3,,43.2,79.3,X
3|500,809,58,,7.2,,81.8,80.7,O
3|502,758,53,,7.0,,51.7,77.7,X
3|504,696,48,,6.9,,73.5,59.1,X
3|506,614,48,,7.8,,70.1,76.6,X
3|508,574,52,,9.1,,67.0,79.7,X
3|510,536,41,,7.6,,61.4,60.8,X
3|512,416,27,,6.5,,74.1,86.4,O
3|514,381,32,,8.4,,98.5,78.9,X
3|516,382,23,,6.0,,35.3,59.2,X
3|518,320,18,,5.6,,37.1,65.8,X
3|520,328,17,,5.2,,59.2,53.8,X
3|522,273,27,,9.9,,123.2,87.1,O
3|524,230,18,,7.8,,107.7,110.3,O
3|526,226,12,,5.3,,48.1,59.4,X
3|528,169,12,,7.1,,67.4,87.0,O
3|530,155,17,,11.0,,82.0,63.0,X
3|532,149,7,,4.7,,42.7,53.3,X
3|534,117,2,,1.7,,8.2,52.3,X
3|536,104,11,,10.6,,86.3,50.5,X
3|538,88,4,,4.5,,39.9,72.9,X
3|540,66,7,,10.6,,247.4,159.1,O
3|542,68,4,,5.9,,21.4,29.0,X
3|544,62,6,,9.7,,162.3,110.9,O
3|546,53,8,,15.1,,84.6,56.9,X
3|548,43,1,,2.3,,2.8,43.0,X
3|550,35,4,,11.4,,28.9,90.1,O
3|554,31,1,,3.2,,9.9,2.3,X
4|452,32,1,,3.1,,182.9,127.0,O
4|456,35,1,,2.9,,33.8,154.8,O
4|470,33,1,,3.0,,73.9,139.6,O
4|482,30,0,,0.0,,0.0,7.3,X
