bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|00,103,13,,12.6,,43.1,63.2,X
01|01,67,9,,13.4,,31.5,114.6,O
01|02,101,22,,21.8,,85.8,90.6,O
01|03,79,14,,17.7,,78.8,86.4,O
01|04,72,12,,16.7,,30.4,84.1,O
01|05,76,9,,11.8,,43.7,88.2,O
01|06,58,11,,19.0,,68.8,115.2,O
01|07,54,10,,18.5,,132.8,116.8,O
01|08,56,6,,10.7,,22.8,62.7,X
01|09,61,11,,18.0,,92.8,99.4,O
01|10,47,3,,6.4,,19.1,49.4,X
01|11,36,5,,13.9,,45.0,66.4,X
02|00,79,9,,11.4,,82.7,102.2,O
02|01,100,8,,8.0,,86.9,76.9,X
02|02,177,21,,11.9,,67.8,74.6,X
02|03,146,12,,8.2,,55.7,73.1,X
02|04,145,15,,10.3,,65.7,72.3,X
02|05,143,23,,16.1,,100.6,80.5,O
02|06,134,12,,9.0,,116.3,104.3,O
02|07,108,20,,18.5,,111.1,86.5,O
02|08,105,16,,15.2,,113.0,76.2,X
02|09,95,6,,6.3,,25.8,56.0,X
02|10,88,7,,8.0,,58.9,85.3,O
02|11,72,6,,8.3,,47.7,50.0,X
02|12,80,7,,8.8,,40.8,116.2,O
02|13,68,8,,11.8,,52.0,74.4,X
02|14,43,3,,7.0,,42.2,50.6,X
02|15,42,2,,4.8,,33.1,26.5,X
02|16,31,2,,6.5,,10.8,36.8,X
03|00,49,2,,4.1,,15.5,47.3,X
03|01,273,24,,8.8,,56.9,58.2,X
03|02,305,35,,11.5,,83.6,66.9,X
03|03,263,27,,10.3,,70.3,72.9,X
03|04,202,21,,10.4,,95.5,58.8,X
03|05,204,20,,9.8,,83.7,97.1,O
03|06,186,19,,10.2,,48.5,59.3,X
03|07,208,19,,9.1,,57.2,71.2,X
03|08,183,10,,5.5,,47.0,86.5,O
03|09,184,16,,8.7,,65.8,75.8,X
03|10,158,16,,10.1,,59.1,63.7,X
03|11,118,10,,8.5,,37.6,50.3,X
03|12,112,6,,5.4,,24.4,67.8,X
03|13,99,8,,8.1,,70.3,68.9,X
03|14,100,6,,6.0,,73.6,77.6,X
03|15,77,8,,10.4,,82.7,83.9,O
03|16,53,4,,7.5,,32.9,106.5,O
03|17,35,1,,2.9,,16.4,22.1,X
04|00,139,11,,7.9,,106.5,75.3,X
04|01,576,74,,12.8,,104.1,83.7,O
04|02,805,100,,12.4,,125.5,98.1,O
04|03,647,74,,11.4,,81.6,82.6,O
04|04,584,66,,11.3,,92.7,76.8,X
04|05,594,69,,11.6,,63.6,70.9,X
04|06,505,42,,8.3,,50.3,70.4,X
04|07,547,65,,11.9,,70.6,78.5,X
04|08,526,54,,10.3,,90.5,88.3,O
04|09,493,42,,8.5,,53.9,69.9,X
04|10,457,48,,10.5,,61.4,59.3,X
04|11,483,42,,8.7,,59.3,76.3,X
04|12,418,48,,11.5,,94.3,84.4,O
04|13,385,46,,11.9,,99.3,70.8,X
04|14,315,28,,8.9,,99.9,77.4,X
04|15,269,15,,5.6,,27.3,52.6,X
04|16,203,23,,11.3,,131.4,79.4,X
04|17,108,14,,13.0,,143.1,77.4,X
04|18,64,3,,4.7,,12.5,55.2,X
05|01,81,12,,14.8,,97.2,69.6,X
05|02,123,21,,17.1,,84.2,85.7,O
05|03,89,13,,14.6,,69.6,81.9,O
05|04,68,11,,16.2,,121.2,110.1,O
05|05,81,11,,13.6,,40.7,92.2,O
05|06,57,8,,14.0,,88.8,91.4,O
05|07,48,4,,8.3,,18.0,41.2,X
05|09,36,7,,19.4,,104.4,57.3,X
06|00,205,15,,7.3,,109.8,77.5,X
06|01,553,42,,7.6,,66.5,68.4,X
06|02,718,61,,8.5,,69.4,82.1,O
06|03,621,51,,8.2,,77.5,78.1,X
06|04,550,52,,9.5,,71.1,90.2,O
06|05,523,43,,8.2,,76.7,81.1,O
06|06,483,30,,6.2,,55.2,73.0,X
06|07,522,39,,7.5,,72.9,84.7,O
06|08,425,30,,7.1,,84.7,74.4,X
06|09,351,30,,8.5,,163.5,102.5,O
06|10,362,22,,6.1,,85.5,65.3,X
06|11,303,20,,6.6,,141.9,80.1,O
06|12,242,8,,3.3,,16.2,66.6,X
06|13,216,10,,4.6,,52.2,62.3,X
06|14,168,10,,6.0,,60.3,33.4,X
06|15,132,3,,2.3,,20.9,45.5,X
06|16,93,5,,5.4,,71.0,94.5,O
06|17,31,1,,3.2,,134.9,156.6,O
08|01,106,18,,17.0,,100.2,90.4,O
08|02,161,31,,19.3,,97.7,97.6,O
08|03,149,20,,13.4,,70.5,89.0,O
08|04,108,13,,12.0,,63.6,56.9,X
08|05,99,16,,16.2,,75.0,75.4,X
08|06,83,9,,10.8,,51.8,60.8,X
08|07,82,11,,13.4,,88.6,63.3,X
08|08,63,6,,9.5,,42.9,75.1,X
08|09,43,5,,11.6,,40.7,87.9,O
08|10,45,7,,15.6,,103.0,81.7,O
09|00,182,10,,5.5,,29.9,84.8,O
09|01,1009,96,,9.5,,104.2,84.1,O
09|02,1346,115,,8.5,,93.1,89.8,O
09|03,1102,110,,10.0,,81.2,80.4,O
09|04,930,80,,8.6,,111.7,89.2,O
09|05,914,90,,9.8,,88.3,82.8,O
09|06,854,63,,7.4,,71.2,84.7,O
09|07,861,61,,7.1,,79.1,81.3,O
09|08,759,43,,5.7,,66.1,71.5,X
09|09,686,62,,9.0,,147.2,83.4,O
09|10,566,38,,6.7,,97.4,77.4,X
09|11,502,33,,6.6,,84.4,62.7,X
09|12,484,28,,5.8,,107.5,84.8,O
09|13,371,24,,6.5,,91.3,79.3,X
09|14,281,15,,5.3,,50.9,69.4,X
09|15,198,15,,7.6,,228.8,111.9,O
09|16,126,5,,4.0,,67.4,48.6,X
09|17,64,2,,3.1,,57.6,76.3,X
09|18,40,0,,0.0,,0.0,6.8,X
11|00,30,2,,6.7,,9.1,14.3,X
11|01,300,40,,13.3,,41.5,74.9,X
11|02,359,63,,17.5,,52.2,72.4,X
11|03,322,68,,21.1,,95.2,73.1,X
11|04,220,46,,20.9,,68.1,68.4,X
11|05,222,43,,19.4,,67.6,84.1,O
11|06,189,32,,16.9,,61.4,65.2,X
11|07,155,34,,21.9,,98.4,105.6,O
11|08,129,19,,14.7,,41.2,56.0,X
11|09,77,10,,13.0,,104.5,62.5,X
11|10,70,13,,18.6,,76.6,99.0,O
11|11,44,7,,15.9,,51.7,56.2,X
12|00,356,18,,5.1,,68.9,96.5,O
12|01,2009,218,,10.9,,100.2,78.0,X
12|02,2627,275,,10.5,,85.8,82.9,O
12|03,2284,242,,10.6,,88.8,85.1,O
12|04,1835,167,,9.1,,64.7,78.3,X
12|05,1855,183,,9.9,,80.7,83.9,O
12|06,1795,143,,8.0,,77.2,73.2,X
12|07,1717,136,,7.9,,61.1,74.9,X
12|08,1588,112,,7.1,,57.4,70.9,X
12|09,1309,102,,7.8,,68.4,67.8,X
12|10,1179,79,,6.7,,49.5,81.6,O
12|11,963,68,,7.1,,80.9,76.1,X
12|12,754,38,,5.0,,44.5,69.0,X
12|13,611,28,,4.6,,76.7,79.8,X
12|14,425,24,,5.6,,129.1,76.3,X
12|15,290,12,,4.1,,76.6,105.7,O
12|16,197,10,,5.1,,174.0,98.5,O
12|17,68,1,,1.5,,6.2,22.5,X
12|18,44,1,,2.3,,7.6,113.8,O
14|00,84,10,,11.9,,56.1,43.9,X
14|01,523,91,,17.4,,79.7,70.7,X
14|02,671,147,,21.9,,75.3,85.8,O
14|03,539,124,,23.0,,75.9,84.4,O
14|04,438,84,,19.2,,83.7,88.4,O
14|05,382,70,,18.3,,75.4,71.2,X
14|06,343,64,,18.7,,74.2,85.5,O
14|07,308,53,,17.2,,80.8,81.2,O
14|08,230,43,,18.7,,107.6,81.4,O
14|09,180,24,,13.3,,85.2,73.9,X
14|10,132,23,,17.4,,66.1,80.7,O
14|11,106,15,,14.2,,40.7,73.7,X
14|12,73,14,,19.2,,57.3,64.0,X
14|13,54,10,,18.5,,96.2,80.9,O
14|14,38,9,,23.7,,108.2,152.5,O
15|00,920,49,,5.3,,80.9,78.5,X
15|01,3761,359,,9.5,,80.5,79.9,X
15|02,4885,464,,9.5,,83.7,82.5,O
15|03,4112,383,,9.3,,74.2,79.0,X
15|04,3393,296,,8.7,,70.5,76.0,X
15|05,3272,295,,9.0,,75.6,79.8,X
15|06,2940,252,,8.6,,83.7,81.9,O
15|07,3041,236,,7.8,,78.0,75.1,X
15|08,2629,204,,7.8,,99.9,74.5,X
15|09,2413,165,,6.8,,85.8,79.2,X
15|10,2084,128,,6.1,,62.1,74.1,X
15|11,1852,119,,6.4,,80.3,67.2,X
15|12,1543,81,,5.2,,71.2,81.1,O
15|13,1370,74,,5.4,,56.8,72.8,X
15|14,992,58,,5.8,,109.6,72.9,X
15|15,863,50,,5.8,,93.5,88.2,O
15|16,532,19,,3.6,,51.5,58.5,X
15|17,271,10,,3.7,,45.2,59.6,X
15|18,130,5,,3.8,,26.4,67.8,X
17|00,55,9,,16.4,,117.6,92.4,O
17|01,994,219,,22.0,,76.5,75.2,X
17|02,1263,319,,25.3,,78.9,84.2,O
17|03,980,246,,25.1,,80.8,84.3,O
17|04,758,178,,23.5,,70.7,76.1,X
17|05,634,160,,25.2,,66.1,81.7,O
17|06,449,95,,21.2,,65.9,79.6,X
17|07,441,95,,21.5,,59.4,76.9,X
17|08,291,59,,20.3,,70.5,82.5,O
17|09,202,40,,19.8,,54.7,75.7,X
17|10,171,29,,17.0,,52.9,79.1,X
17|11,137,26,,19.0,,80.4,74.7,X
17|12,82,7,,8.5,,25.9,63.9,X
17|13,53,10,,18.9,,52.6,93.6,O
17|14,32,6,,18.8,,79.5,77.6,X
18|00,315,16,,5.1,,98.4,60.9,X
18|01,3785,292,,7.7,,61.4,70.3,X
18|02,5662,571,,10.1,,85.3,78.7,X
18|03,4817,438,,9.1,,74.1,76.5,X
18|04,4079,373,,9.1,,77.0,77.8,X
18|05,4143,360,,8.7,,75.8,80.8,O
18|06,3688,302,,8.2,,74.7,76.6,X
18|07,4072,305,,7.5,,72.1,77.2,X
18|08,3622,256,,7.1,,90.0,81.2,O
18|09,3274,233,,7.1,,75.7,75.7,X
18|10,3003,213,,7.1,,99.7,82.9,O
18|11,2642,147,,5.6,,68.7,77.3,X
18|12,2168,116,,5.4,,72.7,74.2,X
18|13,1905,94,,4.9,,80.2,85.0,O
18|14,1512,96,,6.3,,104.5,83.8,O
18|15,1092,54,,4.9,,80.8,95.9,O
18|16,771,52,,6.7,,97.6,86.1,O
18|17,342,9,,2.6,,37.7,68.3,X
18|18,173,6,,3.5,,64.1,69.8,X
23|02,33,3,,9.1,,355.4,90.8,O
23|04,39,2,,5.1,,81.6,95.7,O
24|01,160,18,,11.2,,61.9,83.6,O
24|02,210,37,,17.6,,83.6,67.6,X
24|03,153,28,,18.3,,160.7,98.5,O
24|04,135,11,,8.1,,66.3,77.8,X
24|05,139,13,,9.4,,49.5,75.1,X
24|06,105,12,,11.4,,54.8,92.8,O
24|07,119,8,,6.7,,72.0,79.4,X
24|08,128,11,,8.6,,39.5,62.1,X
24|09,90,10,,11.1,,80.9,68.8,X
24|10,96,13,,13.5,,80.8,85.6,O
24|11,88,9,,10.2,,29.8,84.6,O
24|12,79,7,,8.9,,64.5,90.6,O
24|13,71,9,,12.7,,42.5,54.6,X
24|14,61,6,,9.8,,34.6,90.4,O
24|15,57,3,,5.3,,38.2,101.7,O
25|01,61,16,,26.2,,212.4,101.3,O
25|02,80,11,,13.8,,128.3,77.0,X
25|03,53,9,,17.0,,58.3,56.7,X
25|04,57,10,,17.5,,74.9,76.1,X
25|05,37,2,,5.4,,63.7,80.8,O
25|06,35,10,,28.6,,169.6,124.2,O
25|07,33,3,,9.1,,41.6,78.7,X
26|01,442,58,,13.1,,112.6,94.3,O
26|02,584,48,,8.2,,70.6,94.2,O
26|03,445,43,,9.7,,125.0,85.8,O
26|04,458,39,,8.5,,57.9,81.1,O
26|05,388,29,,7.5,,54.5,75.5,X
26|06,382,22,,5.8,,55.6,65.7,X
26|07,365,23,,6.3,,64.5,75.1,X
26|08,344,21,,6.1,,75.5,75.6,X
26|09,342,24,,7.0,,65.0,62.6,X
26|10,302,18,,6.0,,83.2,76.9,X
26|11,253,16,,6.3,,154.5,83.4,O
26|12,268,9,,3.4,,49.0,79.4,X
26|13,231,11,,4.8,,61.4,101.0,O
26|14,182,7,,3.8,,51.5,66.3,X
26|15,117,7,,6.0,,231.8,75.5,X
26|16,93,2,,2.2,,91.1,99.5,O
28|01,110,19,,17.3,,59.2,59.1,X
28|02,153,22,,14.4,,76.8,75.3,X
28|03,115,20,,17.4,,68.5,75.2,X
28|04,88,12,,13.6,,43.0,54.5,X
28|05,65,12,,18.5,,52.3,77.0,X
28|06,70,7,,10.0,,85.8,81.3,O
28|07,45,3,,6.7,,21.2,48.5,X
28|08,37,5,,13.5,,134.1,80.5,O
28|09,39,8,,20.5,,79.9,62.8,X
28|10,36,5,,13.9,,64.3,94.0,O
29|01,865,99,,11.4,,77.6,75.8,X
29|02,1250,110,,8.8,,73.8,77.9,X
29|03,915,71,,7.8,,73.8,74.8,X
29|04,776,74,,9.5,,91.5,81.9,O
