bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|1,244,78,,32.0,,68.7,85.2,O
01|2,154,28,,18.2,,55.9,75.3,X
01|3,105,12,,11.4,,64.9,89.1,O
01|4,74,9,,12.2,,90.0,77.3,X
01|5,66,3,,4.5,,23.5,73.7,X
01|6,55,2,,3.6,,22.5,67.6,X
01|7,45,2,,4.4,,20.9,67.4,X
02|1,193,54,,28.0,,85.3,87.1,O
02|2,219,42,,19.2,,111.6,92.7,O
02|3,165,26,,15.8,,84.0,92.8,O
02|4,166,17,,10.2,,77.2,75.0,X
02|5,141,10,,7.1,,102.3,83.5,O
02|6,141,11,,7.8,,57.2,58.0,X
02|7,127,6,,4.7,,66.5,80.0,O
03|1,296,79,,26.7,,91.4,92.0,O
03|2,305,47,,15.4,,89.5,75.9,X
03|3,301,41,,13.6,,72.4,71.4,X
03|4,238,22,,9.2,,71.1,57.9,X
03|5,233,18,,7.7,,75.1,64.6,X
03|6,197,10,,5.1,,80.3,106.0,O
03|7,201,9,,4.5,,55.3,73.0,X
04|1,1065,288,,27.0,,76.8,82.2,O
04|2,833,156,,18.7,,78.7,82.0,O
04|3,738,98,,13.3,,79.0,77.1,X
04|4,698,77,,11.0,,88.3,77.7,X
04|5,663,63,,9.5,,90.3,90.1,O
04|6,592,51,,8.6,,112.1,84.2,O
04|7,520,31,,6.0,,97.3,84.9,O
05|1,177,60,,33.9,,116.7,100.3,O
05|2,77,5,,6.5,,40.7,50.2,X
05|3,101,7,,6.9,,30.3,48.2,X
05|4,74,11,,14.9,,130.6,86.7,O
05|5,76,8,,10.5,,89.4,70.3,X
05|6,47,4,,8.5,,119.3,95.8,O
05|7,35,2,,5.7,,70.3,87.8,O
06|1,386,94,,24.4,,73.4,76.7,X
06|2,425,68,,16.0,,73.6,88.1,O
06|3,445,51,,11.5,,68.8,81.0,O
06|4,504,57,,11.3,,84.5,73.7,X
06|5,526,38,,7.2,,75.6,82.4,O
06|6,527,38,,7.2,,79.0,86.3,O
06|7,501,26,,5.2,,64.0,73.9,X
08|1,289,71,,24.6,,90.3,80.2,O
08|2,246,48,,19.5,,82.0,75.7,X
08|3,158,14,,8.9,,46.7,72.7,X
08|4,107,8,,7.5,,70.5,67.1,X
08|5,75,4,,5.3,,85.3,66.9,X
08|6,44,4,,9.1,,110.0,78.9,X
08|7,39,2,,5.1,,59.8,96.9,O
09|1,694,168,,24.2,,71.3,78.0,X
09|2,792,139,,17.6,,82.2,80.4,O
09|3,891,103,,11.6,,65.3,77.9,X
09|4,961,102,,10.6,,81.4,85.4,O
09|5,987,72,,7.3,,67.3,71.0,X
09|6,981,68,,6.9,,102.2,82.2,O
09|7,954,50,,5.2,,71.2,70.6,X
11|1,775,227,,29.3,,73.4,77.2,X
11|2,520,85,,16.3,,66.2,72.5,X
11|3,335,48,,14.3,,72.5,82.8,O
11|4,214,15,,7.0,,62.7,64.0,X
11|5,134,5,,3.7,,36.2,75.2,X
11|6,70,4,,5.7,,18.3,65.9,X
11|7,50,4,,8.0,,137.3,68.0,X
12|1,1438,435,,30.3,,83.2,85.5,O
12|2,1768,327,,18.5,,79.6,79.8,X
12|3,1982,253,,12.8,,77.0,82.4,O
12|4,2120,219,,10.3,,76.2,78.6,X
12|5,2101,124,,5.9,,61.7,68.6,X
12|6,2104,126,,6.0,,71.6,79.8,X
12|7,1895,89,,4.7,,66.0,78.3,X
14|1,1391,419,,30.1,,81.8,85.0,O
14|2,989,184,,18.6,,81.0,81.3,O
14|3,588,82,,13.9,,65.7,80.5,O
14|4,429,51,,11.9,,89.2,69.8,X
14|5,260,22,,8.5,,56.2,73.8,X
14|6,165,6,,3.6,,21.0,59.4,X
14|7,94,7,,7.4,,104.9,83.0,O
15|1,2308,604,,26.2,,74.9,79.1,X
15|2,2956,546,,18.5,,81.4,82.3,O
15|3,3497,468,,13.4,,77.8,82.9,O
15|4,3722,348,,9.3,,74.5,76.9,X
15|5,3918,313,,8.0,,80.9,77.3,X
15|6,3790,239,,6.3,,82.1,75.4,X
15|7,3610,170,,4.7,,73.9,76.7,X
17|1,2724,933,,34.3,,78.3,85.2,O
17|2,1642,321,,19.5,,64.3,81.1,O
17|3,937,133,,14.2,,76.5,82.6,O
17|4,516,68,,13.2,,73.8,75.4,X
17|5,296,22,,7.4,,67.4,59.7,X
17|6,190,19,,10.0,,94.7,69.7,X
17|7,100,3,,3.0,,42.7,51.9,X
18|1,2111,585,,27.7,,76.0,85.8,O
18|2,3436,664,,19.3,,87.0,84.3,O
18|3,4352,614,,14.1,,87.1,81.9,O
18|4,4852,463,,9.5,,71.3,78.4,X
18|5,5105,389,,7.6,,79.4,74.8,X
18|6,5053,300,,5.9,,83.3,77.4,X
18|7,4722,231,,4.9,,75.9,69.8,X
23|1,40,11,,27.5,,47.3,55.4,X
23|2,33,4,,12.1,,59.5,65.9,X
23|3,32,3,,9.4,,67.3,62.8,X
24|1,277,90,,32.5,,89.9,80.1,O
24|2,218,32,,14.7,,85.3,93.0,O
24|3,176,28,,15.9,,93.6,72.8,X
24|4,155,10,,6.5,,55.3,78.4,X
24|5,126,11,,8.7,,73.7,105.3,O
24|6,114,7,,6.1,,38.9,75.3,X
24|7,116,6,,5.2,,61.1,101.7,O
25|1,113,33,,29.2,,71.1,85.0,O
25|2,85,15,,17.6,,78.2,84.5,O
25|3,73,11,,15.1,,66.9,77.5,X
25|4,68,6,,8.8,,91.0,93.0,O
25|5,44,4,,9.1,,73.0,58.0,X
25|6,35,4,,11.4,,202.1,73.8,X
26|1,287,87,,30.3,,80.1,90.9,O
26|2,327,50,,15.3,,80.3,80.6,O
26|3,372,38,,10.2,,61.3,69.5,X
26|4,405,42,,10.4,,87.9,84.0,O
26|5,431,39,,9.0,,99.4,82.0,O
26|6,443,26,,5.9,,67.3,61.7,X
26|7,417,18,,4.3,,78.0,89.2,O
28|1,282,72,,25.5,,71.8,70.6,X
28|2,197,26,,13.2,,54.4,76.9,X
28|3,123,7,,5.7,,31.8,67.6,X
28|4,85,9,,10.6,,101.1,75.4,X
28|5,45,1,,2.2,,30.3,51.4,X
28|6,35,1,,2.9,,77.6,42.5,X
29|1,565,181,,32.0,,92.1,82.5,O
29|2,677,112,,16.5,,74.0,87.4,O
29|3,745,91,,12.2,,72.8,78.0,X
29|4,790,79,,10.0,,81.9,76.5,X
29|5,832,60,,7.2,,75.0,72.3,X
29|6,818,44,,5.4,,65.9,68.3,X
29|7,818,41,,5.0,,71.2,73.7,X
31|1,746,238,,31.9,,90.2,85.7,O
31|2,499,69,,13.8,,52.4,73.7,X
31|3,320,41,,12.8,,82.6,76.2,X
31|4,187,14,,7.5,,85.6,73.3,X
