bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
49.0|A,72,5,,6.9,,86.7,60.6,X
49.0|B,50,3,,6.0,,50.7,92.9,O
49.0|C,49,3,,6.1,,35.8,58.2,X
49.0|D,63,6,,9.5,,57.8,63.2,X
50.0|A,280,22,,7.9,,89.7,100.1,O
50.0|B,127,20,,15.7,,186.3,91.4,O
50.0|C,110,7,,6.4,,29.0,58.5,X
50.0|D,58,4,,6.9,,60.3,66.3,X
50.0|S,68,12,,17.6,,151.9,78.3,X
51.0|A,699,62,,8.9,,83.6,80.9,O
51.0|B,703,40,,5.7,,73.4,59.1,X
51.0|C,643,35,,5.4,,62.7,81.4,O
51.0|D,448,20,,4.5,,86.2,67.6,X
51.0|S,270,19,,7.0,,80.7,75.9,X
52.0|A,1478,155,,10.5,,121.4,83.5,O
52.0|B,1428,105,,7.4,,78.4,90.6,O
52.0|C,1133,71,,6.3,,74.3,74.6,X
52.0|D,560,27,,4.8,,68.4,60.1,X
52.0|S,957,156,,16.3,,102.6,84.7,O
53.0|A,1666,142,,8.5,,79.3,81.0,O
53.0|B,1556,125,,8.0,,87.4,82.8,O
53.0|C,1340,72,,5.4,,58.3,84.0,O
53.0|D,430,8,,1.9,,15.9,43.1,X
53.0|S,1186,146,,12.3,,95.7,84.3,O
54.0|A,5562,504,,9.1,,91.9,82.1,O
54.0|B,5230,335,,6.4,,71.8,76.1,X
54.0|C,2505,121,,4.8,,56.9,83.9,O
54.0|D,1187,39,,3.3,,43.5,69.4,X
54.0|S,5856,917,,15.7,,87.0,83.7,O
55.0|A,4578,407,,8.9,,85.2,76.1,X
55.0|B,3834,268,,7.0,,75.7,69.5,X
55.0|C,2104,98,,4.7,,72.1,60.2,X
55.0|D,598,15,,2.5,,39.7,57.7,X
55.0|S,4602,650,,14.1,,80.7,81.6,O
56.0|A,3842,359,,9.3,,79.1,71.5,X
56.0|B,3009,189,,6.3,,79.6,76.0,X
56.0|C,1543,80,,5.2,,73.7,91.2,O
56.0|D,521,21,,4.0,,72.9,61.8,X
56.0|S,3625,459,,12.7,,75.2,81.3,O
57.0|A,3352,252,,7.5,,72.4,85.8,O
57.0|B,2660,170,,6.4,,82.4,75.3,X
57.0|C,1171,59,,5.0,,61.2,72.3,X
57.0|D,536,20,,3.7,,66.0,69.1,X
57.0|S,3139,394,,12.6,,74.6,80.8,O
58.0|A,1152,92,,8.0,,68.2,77.8,X
58.0|B,727,38,,5.2,,95.1,77.8,X
58.0|C,438,18,,4.1,,74.9,92.1,O
58.0|D,128,1,,0.8,,21.0,57.9,X
58.0|S,1017,109,,10.7,,98.6,85.7,O
59.0|A,125,12,,9.6,,76.1,78.2,X
59.0|B,76,2,,2.6,,67.2,72.6,X
59.0|C,36,0,,0.0,,0.0,14.1,X
59.0|S,108,7,,6.5,,36.6,81.0,O
60.0|A,784,72,,9.2,,112.3,91.2,O
60.0|B,595,48,,8.1,,89.9,83.8,O
60.0|C,256,22,,8.6,,66.5,77.9,X
60.0|D,165,4,,2.4,,70.8,101.1,O
60.0|S,792,125,,15.8,,99.9,79.5,X
61.0|A,35,6,,17.1,,64.8,97.8,O
