bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
49.0|01,67,3,,4.5,,27.0,60.2,X
49.0|03,100,14,,14.0,,127.6,71.3,X
49.0|04,45,3,,6.7,,58.8,54.9,X
50.0|01,135,10,,7.4,,44.3,61.8,X
50.0|03,259,33,,12.7,,170.8,93.1,O
50.0|04,157,12,,7.6,,43.5,82.9,O
50.0|05,46,6,,13.0,,52.6,137.9,O
50.0|07,37,2,,5.4,,50.0,79.5,X
51.0|01,624,42,,6.7,,74.6,72.4,X
51.0|03,1160,72,,6.2,,77.8,80.5,O
51.0|04,568,37,,6.5,,82.3,66.8,X
51.0|05,190,11,,5.8,,111.4,68.8,X
51.0|07,189,12,,6.3,,36.9,63.8,X
52.0|01,1232,117,,9.5,,118.1,88.3,O
52.0|03,2425,225,,9.3,,104.0,81.9,O
52.0|04,1107,94,,8.5,,64.2,76.8,X
52.0|05,389,32,,8.2,,50.6,73.5,X
52.0|06,47,2,,4.3,,19.1,42.0,X
52.0|07,338,42,,12.4,,63.7,74.9,X
53.0|01,1344,108,,8.0,,88.2,77.2,X
53.0|03,2709,220,,8.1,,69.3,81.0,O
53.0|04,1233,94,,7.6,,70.4,78.8,X
53.0|05,452,28,,6.2,,59.6,60.6,X
53.0|06,53,5,,9.4,,166.3,121.9,O
53.0|07,371,36,,9.7,,108.7,91.3,O
54.0|01,4301,377,,8.8,,77.4,83.4,O
54.0|02,44,3,,6.8,,66.3,134.4,O
54.0|03,8805,847,,9.6,,74.1,80.1,O
54.0|04,4203,414,,9.9,,88.5,79.9,X
54.0|05,1564,163,,10.4,,82.5,83.4,O
54.0|06,229,22,,9.6,,117.2,94.4,O
54.0|07,1231,91,,7.4,,67.0,69.6,X
55.0|01,3201,286,,8.9,,87.6,76.9,X
55.0|03,7023,641,,9.1,,73.0,72.4,X
55.0|04,3281,314,,9.6,,71.0,69.3,X
55.0|05,1140,100,,8.8,,103.8,78.5,X
55.0|06,111,5,,4.5,,50.5,77.4,X
55.0|07,949,90,,9.5,,88.0,80.2,O
56.0|01,2689,251,,9.3,,74.6,80.8,O
56.0|03,5531,463,,8.4,,73.3,77.0,X
56.0|04,2600,224,,8.6,,83.9,78.7,X
56.0|05,915,94,,10.3,,91.1,70.3,X
56.0|06,129,7,,5.4,,29.6,48.4,X
56.0|07,707,68,,9.6,,82.2,81.1,O
57.0|01,2277,194,,8.5,,81.9,83.4,O
57.0|03,4740,396,,8.4,,68.9,77.7,X
57.0|04,2259,186,,8.2,,86.2,80.6,O
57.0|05,818,67,,8.2,,69.3,73.3,X
57.0|06,112,3,,2.7,,34.4,101.5,O
57.0|07,647,49,,7.6,,50.6,83.8,O
57.5|03,30,4,,13.3,,172.2,117.5,O
58.0|01,692,68,,9.8,,112.1,91.0,O
58.0|03,1482,104,,7.0,,78.4,79.8,X
58.0|04,721,51,,7.1,,68.4,73.3,X
58.0|05,298,19,,6.4,,68.0,69.0,X
58.0|06,66,3,,4.5,,33.4,55.1,X
58.0|07,251,17,,6.8,,94.5,108.7,O
59.0|01,72,3,,4.2,,9.6,81.9,O
59.0|03,152,8,,5.3,,53.8,65.6,X
59.0|04,82,7,,8.5,,85.0,66.8,X
59.0|05,35,3,,8.6,,23.6,61.7,X
60.0|01,498,33,,6.6,,89.8,74.7,X
60.0|03,1055,129,,12.2,,105.8,89.3,O
60.0|04,561,59,,10.5,,63.6,75.0,X
60.0|05,281,34,,12.1,,117.0,103.4,O
60.0|07,170,13,,7.6,,87.8,76.9,X
61.0|03,37,5,,13.5,,84.8,90.7,O
